,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-02-09,0.946,0.964,0.966,0.945,1638388,157225136.0,0.0,0.0,0.0,135.19
1,2022-02-10,0.966,0.956,0.975,0.949,809817,77536900.0,2.7,-0.83,-0.008,66.82
2,2022-02-11,0.956,0.942,0.958,0.937,483418,45844011.0,2.2,-1.46,-0.014,39.89
3,2022-02-14,0.937,0.944,0.945,0.933,1011876,94890345.0,1.27,0.21,0.002,83.5
4,2022-02-15,0.949,0.94,0.949,0.936,727659,68380339.0,1.38,-0.42,-0.004,60.04
5,2022-02-16,0.945,0.95,0.954,0.945,1077723,102444610.0,0.96,1.06,0.01,88.93
6,2022-02-17,0.948,0.957,0.961,0.948,416206,39792707.0,1.37,0.74,0.007,34.34
7,2022-02-18,0.948,0.942,0.954,0.94,312921,29701724.0,1.46,-1.57,-0.015,25.82
8,2022-02-21,0.922,0.925,0.942,0.922,687494,63799239.0,2.12,-1.8,-0.017,56.73
9,2022-02-22,0.924,0.899,0.924,0.898,494901,44707457.0,2.81,-2.81,-0.026,40.84
10,2022-02-23,0.905,0.919,0.92,0.903,403375,36967695.0,1.89,2.22,0.02,33.28
11,2022-02-24,0.91,0.89,0.912,0.88,408971,36577851.0,3.48,-3.16,-0.029,33.75
12,2022-02-25,0.898,0.899,0.906,0.894,126425,11376971.0,1.35,1.01,0.009,10.43
13,2022-02-28,0.891,0.874,0.892,0.87,713756,62463749.0,2.45,-2.78,-0.025,58.9
14,2022-03-01,0.882,0.892,0.892,0.882,412313,36519207.0,1.14,2.06,0.018,34.02
15,2022-03-02,0.886,0.866,0.886,0.866,152612,13323701.0,2.24,-2.91,-0.026,12.59
16,2022-03-03,0.872,0.852,0.873,0.85,716665,61587284.0,2.66,-1.62,-0.014,59.14
17,2022-03-04,0.847,0.82,0.847,0.817,554436,45818916.0,3.52,-3.76,-0.032,45.75
18,2022-03-07,0.812,0.789,0.812,0.777,797521,63158967.0,4.27,-3.78,-0.031,65.81
19,2022-03-08,0.794,0.77,0.796,0.767,470271,36673864.0,3.68,-2.41,-0.019,38.8
20,2022-03-09,0.774,0.762,0.788,0.742,429556,32772161.0,5.97,-1.04,-0.008,35.45
21,2022-03-10,0.789,0.771,0.798,0.769,641105,50011379.0,3.81,1.18,0.009,52.9
22,2022-03-11,0.739,0.751,0.752,0.72,411976,30426770.0,4.15,-2.59,-0.02,33.99
23,2022-03-14,0.741,0.703,0.741,0.703,335160,23996691.0,5.06,-6.39,-0.048,27.66
24,2022-03-15,0.677,0.657,0.713,0.634,430958,29437565.0,11.24,-6.54,-0.046,35.56
25,2022-03-16,0.672,0.723,0.723,0.668,510947,35136380.0,8.37,10.05,0.066,42.16
26,2022-03-17,0.795,0.786,0.795,0.776,566420,44644177.0,2.63,8.71,0.063,46.74
27,2022-03-18,0.77,0.791,0.8,0.756,725332,56600243.0,5.6,0.64,0.005,59.85
28,2022-03-21,0.799,0.781,0.811,0.778,363617,28819557.0,4.17,-1.26,-0.01,30.0
29,2022-03-22,0.784,0.791,0.799,0.774,645834,50821496.0,3.2,1.28,0.01,53.29
30,2022-03-23,0.796,0.824,0.836,0.796,586087,48321440.0,5.06,4.17,0.033,48.36
31,2022-03-24,0.824,0.798,0.824,0.798,401142,32443359.0,3.16,-3.16,-0.026,33.1
32,2022-03-25,0.798,0.763,0.8,0.76,470830,36408942.0,5.01,-4.39,-0.035,38.85
33,2022-03-28,0.768,0.78,0.793,0.757,664714,51660409.0,4.72,2.23,0.017,54.85
34,2022-03-29,0.786,0.79,0.796,0.782,479492,37742944.0,1.79,1.28,0.01,39.57
35,2022-03-30,0.795,0.8,0.809,0.789,413835,32951410.0,2.53,1.27,0.01,34.15
36,2022-03-31,0.8,0.781,0.8,0.776,290081,22700701.0,3.0,-2.38,-0.019,23.94
37,2022-04-01,0.776,0.774,0.777,0.758,700387,53831243.0,2.43,-0.9,-0.007,57.79
38,2022-04-06,0.779,0.791,0.81,0.779,413430,32599135.0,4.01,2.2,0.017,34.11
39,2022-04-07,0.788,0.767,0.796,0.767,655362,51002643.0,3.67,-3.03,-0.024,54.08
40,2022-04-08,0.77,0.764,0.771,0.753,314168,23924511.0,2.35,-0.39,-0.003,25.92
41,2022-04-11,0.757,0.722,0.757,0.722,802893,58826553.0,4.58,-5.5,-0.042,66.25
42,2022-04-12,0.725,0.74,0.745,0.713,488117,35654003.0,4.43,2.49,0.018,40.28
43,2022-04-13,0.732,0.735,0.744,0.725,653754,48161064.0,2.57,-0.68,-0.005,53.94
