,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-02-11,0.965,0.921,0.965,0.914,976216,91245475.0,0.0,0.0,0.0,6.39
1,2022-02-14,0.922,0.924,0.929,0.917,476598,43992043.0,1.3,0.33,0.003,3.12
2,2022-02-15,0.924,0.952,0.955,0.924,785688,74373576.0,3.35,3.03,0.028,5.14
3,2022-02-16,0.957,0.966,0.968,0.957,194142,18717622.0,1.16,1.47,0.014,1.27
4,2022-02-17,0.971,0.98,0.984,0.969,394252,38528211.0,1.55,1.45,0.014,2.58
5,2022-02-18,0.977,0.975,0.98,0.966,128125,12504343.0,1.43,-0.51,-0.005,0.84
6,2022-02-21,0.972,0.973,0.977,0.965,183346,17765914.0,1.23,-0.21,-0.002,1.2
7,2022-02-22,0.966,0.95,0.966,0.937,197272,18632498.0,2.98,-2.36,-0.023,1.29
8,2022-02-23,0.956,0.975,0.975,0.953,79985,7708517.0,2.32,2.63,0.025,0.52
9,2022-02-24,0.966,0.946,0.969,0.931,115981,11074529.0,3.9,-2.97,-0.029,0.76
10,2022-02-25,0.955,0.966,0.975,0.949,288674,28003904.0,2.75,2.11,0.02,1.89
11,2022-02-28,0.966,0.951,0.968,0.943,163614,15535352.0,2.59,-1.55,-0.015,1.07
12,2022-03-01,0.96,0.973,0.976,0.955,117433,11361349.0,2.21,2.31,0.022,0.77
13,2022-03-02,0.975,0.953,0.975,0.951,63858,6102100.0,2.47,-2.06,-0.02,0.42
14,2022-03-03,0.955,0.942,0.957,0.94,120151,11328095.0,1.78,-1.15,-0.011,0.79
15,2022-03-04,0.937,0.906,0.937,0.904,95214,8711329.0,3.5,-3.82,-0.036,0.62
16,2022-03-07,0.897,0.867,0.897,0.85,127739,11084227.0,5.19,-4.3,-0.039,0.84
17,2022-03-08,0.863,0.843,0.875,0.837,157407,13530775.0,4.38,-2.77,-0.024,1.03
18,2022-03-09,0.84,0.819,0.849,0.802,96890,7928408.0,5.58,-2.85,-0.024,0.63
19,2022-03-10,0.836,0.841,0.86,0.836,95069,8046724.0,2.93,2.69,0.022,0.62
20,2022-03-11,0.824,0.824,0.825,0.791,276356,22424953.0,4.04,-2.02,-0.017,1.81
21,2022-03-14,0.795,0.767,0.809,0.766,277686,21877538.0,5.22,-6.92,-0.057,1.82
22,2022-03-15,0.762,0.699,0.77,0.694,481359,35734001.0,9.91,-8.87,-0.068,3.15
23,2022-03-16,0.71,0.767,0.769,0.709,152948,11356638.0,8.58,9.73,0.068,1.0
24,2022-03-17,0.834,0.844,0.844,0.818,193315,16123674.0,3.39,10.04,0.077,1.26
