,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-07-15,0.953,0.945,0.96,0.933,294961,27957751.0,0.0,0.0,0.0,42.07
1,2022-07-18,0.949,0.959,0.96,0.904,294096,27799631.0,5.93,1.48,0.014,41.95
2,2022-07-19,0.959,0.953,0.968,0.949,50297,4821125.0,1.98,-0.63,-0.006,7.17
3,2022-07-20,0.965,0.98,0.987,0.965,568126,55539774.0,2.31,2.83,0.027,81.03
4,2022-07-21,0.979,0.971,0.988,0.968,247004,24122202.0,2.04,-0.92,-0.009,35.23
5,2022-07-22,0.98,0.976,0.986,0.971,96146,9397443.0,1.54,0.51,0.005,13.71
6,2022-07-25,0.967,0.96,0.981,0.952,46847,4501358.0,2.97,-1.64,-0.016,6.68
7,2022-07-26,0.964,0.971,0.981,0.964,116857,11381598.0,1.77,1.15,0.011,16.67
8,2022-07-27,0.972,0.962,0.972,0.962,68331,6607473.0,1.03,-0.93,-0.009,9.75
9,2022-07-28,0.971,0.968,0.98,0.964,47033,4576001.0,1.66,0.62,0.006,6.71
10,2022-07-29,0.959,0.907,0.962,0.906,172733,15992434.0,5.79,-6.3,-0.061,24.64
11,2022-08-01,0.904,0.907,0.917,0.898,66807,6069061.0,2.09,0.0,0.0,9.53
12,2022-08-02,0.894,0.876,0.901,0.867,67910,5959474.0,3.75,-3.42,-0.031,9.69
13,2022-08-03,0.88,0.892,0.904,0.88,178682,15961394.0,2.74,1.83,0.016,25.49
14,2022-08-04,0.906,0.924,0.926,0.906,82937,7623967.0,2.24,3.59,0.032,11.83
15,2022-08-05,0.927,0.922,0.933,0.916,94118,8684423.0,1.84,-0.22,-0.002,13.42
16,2022-08-08,0.919,0.907,0.919,0.903,69782,6345189.0,1.74,-1.63,-0.015,9.95
17,2022-08-09,0.903,0.898,0.906,0.89,34495,3098974.0,1.76,-0.99,-0.009,4.92
18,2022-08-10,0.891,0.869,0.891,0.866,61410,5379401.0,2.78,-3.23,-0.029,8.76
