,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-11-05,1.05,1.013,1.057,1.006,1706189,173290528.0,0.0,0.0,0.0,7.01
1,2020-11-06,1.009,1.005,1.011,1.004,898932,90613753.0,0.69,-0.79,-0.008,3.69
2,2020-11-09,1.021,1.03,1.038,1.02,941912,96794041.0,1.79,2.49,0.025,3.87
3,2020-11-10,1.005,0.995,1.006,0.989,859174,85628161.0,1.65,-3.4,-0.035,3.53
4,2020-11-11,0.978,0.983,0.984,0.976,571652,56035865.0,0.8,-1.21,-0.012,2.35
5,2020-11-12,0.997,0.998,0.999,0.992,744118,74078054.0,0.71,1.53,0.015,3.06
6,2020-11-13,0.994,0.999,1.0,0.992,195795,19496016.0,0.8,0.1,0.001,0.8
7,2020-11-16,1.008,1.004,1.008,1.003,297049,29858890.0,0.5,0.5,0.005,1.22
8,2020-11-17,1.005,1.002,1.006,0.998,343073,34370855.0,0.8,-0.2,-0.002,1.41
9,2020-11-18,0.994,0.991,0.996,0.99,207622,20626288.0,0.6,-1.1,-0.011,0.85
10,2020-11-19,0.989,0.99,0.991,0.985,295494,29191140.0,0.61,-0.1,-0.001,1.21
11,2020-11-20,0.995,1.0,1.0,0.995,210309,20988315.0,0.51,1.01,0.01,0.86
12,2020-11-23,1.0,0.996,1.0,0.992,142233,14135219.0,0.8,-0.4,-0.004,0.58
13,2020-11-24,0.997,0.999,0.999,0.995,148993,14856325.0,0.4,0.3,0.003,0.61
14,2020-11-25,1.009,1.011,1.018,1.008,481338,48688703.0,1.0,1.2,0.012,1.98
15,2020-11-26,1.015,1.014,1.015,1.012,221162,22422434.0,0.3,0.3,0.003,0.91
16,2020-11-27,1.012,1.015,1.016,1.01,239711,24278141.0,0.59,0.1,0.001,0.98
17,2020-11-30,1.019,1.016,1.024,1.016,307627,31384122.0,0.79,0.1,0.001,1.26
18,2020-12-01,1.025,1.03,1.032,1.025,362883,37372268.0,0.69,1.38,0.014,1.49
19,2020-12-02,1.033,1.031,1.033,1.03,218561,22538398.0,0.29,0.1,0.001,0.9
20,2020-12-03,1.033,1.035,1.036,1.032,210562,21763918.0,0.39,0.39,0.004,0.86
21,2020-12-04,1.035,1.034,1.035,1.033,102708,10617394.0,0.19,-0.1,-0.001,0.42
22,2020-12-07,1.035,1.033,1.038,1.03,224494,23175888.0,0.77,-0.1,-0.001,0.92
23,2020-12-08,1.037,1.039,1.039,1.035,186178,19319432.0,0.39,0.58,0.006,0.76
24,2020-12-09,1.042,1.043,1.045,1.042,141738,14785240.0,0.29,0.38,0.004,0.58
25,2020-12-10,1.023,1.021,1.025,1.02,199255,20353266.0,0.48,-2.11,-0.022,0.82
26,2020-12-11,1.027,1.025,1.027,1.021,167943,17183981.0,0.59,0.39,0.004,0.69
27,2020-12-14,1.026,1.026,1.028,1.025,84069,8628856.0,0.29,0.1,0.001,0.35
28,2020-12-15,1.031,1.034,1.034,1.029,174880,18035794.0,0.49,0.78,0.008,0.72
29,2020-12-16,1.042,1.042,1.045,1.04,111531,11627479.0,0.48,0.77,0.008,0.46
30,2020-12-17,1.047,1.048,1.048,1.044,200448,20969483.0,0.38,0.58,0.006,0.82
31,2020-12-18,1.05,1.052,1.053,1.049,152226,16004822.0,0.38,0.38,0.004,0.63
32,2020-12-21,1.053,1.056,1.057,1.052,143397,15124034.0,0.48,0.38,0.004,0.59
33,2020-12-22,1.052,1.045,1.053,1.045,163665,17178244.0,0.76,-1.04,-0.011,0.67
34,2020-12-23,1.048,1.051,1.051,1.047,147448,15466635.0,0.38,0.57,0.006,0.61
