,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-17,0.95,0.899,0.955,0.898,963298,87233930.0,0.0,0.0,0.0,15.98
1,2021-06-18,0.881,0.885,0.888,0.855,441604,38518501.0,3.67,-1.56,-0.014,7.33
2,2021-06-21,0.888,0.898,0.899,0.888,211188,18892267.0,1.24,1.47,0.013,3.5
3,2021-06-22,0.908,0.924,0.926,0.907,157994,14473696.0,2.12,2.9,0.026,2.62
4,2021-06-23,0.924,0.912,0.925,0.899,110241,10023519.0,2.81,-1.3,-0.012,1.83
5,2021-06-24,0.921,0.917,0.922,0.917,79291,7292502.0,0.55,0.55,0.005,1.32
6,2021-06-25,0.929,0.935,0.947,0.929,107746,10092536.0,1.96,1.96,0.018,1.79
7,2021-06-28,0.933,0.935,0.936,0.924,69728,6498236.0,1.28,0.0,0.0,1.16
8,2021-06-29,0.94,0.932,0.941,0.931,50479,4724510.0,1.07,-0.32,-0.003,0.84
9,2021-06-30,0.937,0.935,0.937,0.931,48644,4541910.0,0.64,0.32,0.003,0.81
10,2021-07-01,0.929,0.93,0.936,0.929,29088,2713455.0,0.75,-0.53,-0.005,0.48
11,2021-07-02,0.917,0.905,0.926,0.9,311534,28345076.0,2.8,-2.69,-0.025,5.17
12,2021-07-05,0.902,0.891,0.903,0.868,363292,32198626.0,3.87,-1.55,-0.014,6.03
13,2021-07-06,0.885,0.895,0.911,0.884,128378,11526659.0,3.03,0.45,0.004,2.13
14,2021-07-07,0.872,0.867,0.89,0.865,303019,26346521.0,2.79,-3.13,-0.028,5.03
15,2021-07-08,0.862,0.831,0.862,0.83,372675,31402717.0,3.69,-4.15,-0.036,6.18
16,2021-07-09,0.824,0.823,0.83,0.815,175944,14448363.0,1.81,-0.96,-0.008,2.92
17,2021-07-12,0.833,0.828,0.842,0.826,187545,15631338.0,1.94,0.61,0.005,3.11
18,2021-07-13,0.83,0.831,0.833,0.819,179604,14859383.0,1.69,0.36,0.003,2.98
19,2021-07-14,0.834,0.841,0.845,0.833,225306,18937487.0,1.44,1.2,0.01,3.74
20,2021-07-15,0.845,0.835,0.846,0.826,118711,9874646.0,2.38,-0.71,-0.006,1.97
21,2021-07-16,0.839,0.817,0.839,0.815,201164,16637839.0,2.87,-2.16,-0.018,3.34
22,2021-07-19,0.808,0.793,0.819,0.75,243171,19328867.0,8.45,-2.94,-0.024,4.03
23,2021-07-20,0.784,0.766,0.784,0.761,405867,31194589.0,2.9,-3.4,-0.027,6.73
24,2021-07-21,0.769,0.779,0.783,0.769,162341,12629719.0,1.83,1.7,0.013,2.69
25,2021-07-22,0.793,0.817,0.824,0.793,425987,34662934.0,3.98,4.88,0.038,7.07
26,2021-07-23,0.81,0.761,0.81,0.759,557089,43481014.0,6.24,-6.85,-0.056,9.24
27,2021-07-26,0.685,0.685,0.685,0.685,110287,7554660.0,0.0,-9.99,-0.076,1.83
28,2021-07-27,0.617,0.617,0.617,0.617,60290,3719893.0,0.0,-9.93,-0.068,1.0
29,2021-07-28,0.555,0.555,0.555,0.555,103282,5732151.0,0.0,-10.05,-0.062,1.71
30,2021-07-29,0.552,0.543,0.56,0.538,1571192,85841117.0,3.96,-2.16,-0.012,26.07
31,2021-07-30,0.531,0.534,0.538,0.525,1040383,55110900.0,2.39,-1.66,-0.009,17.26
32,2021-08-02,0.532,0.54,0.544,0.528,635391,34020819.0,3.0,1.12,0.006,10.54
33,2021-08-03,0.541,0.533,0.541,0.532,513141,27422177.0,1.67,-1.3,-0.007,8.51
34,2021-08-04,0.535,0.545,0.548,0.534,483063,26130597.0,2.63,2.25,0.012,8.01
35,2021-08-05,0.542,0.525,0.542,0.525,933874,49603265.0,3.12,-3.67,-0.02,15.49
36,2021-08-06,0.527,0.522,0.527,0.518,531883,27745159.0,1.71,-0.57,-0.003,8.82
37,2021-08-09,0.521,0.534,0.536,0.519,521125,27584984.0,3.26,2.3,0.012,8.65
38,2021-08-10,0.535,0.552,0.552,0.535,728284,39665051.0,3.18,3.37,0.018,12.08
39,2021-08-11,0.552,0.545,0.56,0.545,534343,29296377.0,2.72,-1.27,-0.007,8.87
