,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-11-27,0.978,0.97,0.98,0.964,675913,65729719.0,0.0,0.0,0.0,47.82
1,2023-11-28,0.97,0.964,0.97,0.96,235728,22750231.0,1.03,-0.62,-0.006,16.68
2,2023-11-29,0.964,0.936,0.964,0.932,171013,16156687.0,3.32,-2.9,-0.028,12.1
3,2023-11-30,0.938,0.941,0.95,0.934,125091,11754298.0,1.71,0.53,0.005,8.85
4,2023-12-01,0.941,0.943,0.949,0.934,154951,14608951.0,1.59,0.21,0.002,10.96
5,2023-12-04,0.943,0.925,0.949,0.925,234231,21905303.0,2.55,-1.91,-0.018,16.57
6,2023-12-05,0.917,0.89,0.924,0.889,158656,14285639.0,3.78,-3.78,-0.035,11.23
7,2023-12-06,0.894,0.903,0.909,0.891,105138,9485498.0,2.02,1.46,0.013,7.44
8,2023-12-07,0.894,0.893,0.901,0.887,83883,7480730.0,1.55,-1.11,-0.01,5.93
9,2023-12-08,0.896,0.893,0.903,0.893,50829,4553632.0,1.12,0.0,0.0,3.6
10,2023-12-11,0.893,0.885,0.893,0.871,121024,10625556.0,2.46,-0.9,-0.008,8.56
11,2023-12-12,0.887,0.897,0.897,0.887,71253,6347881.0,1.13,1.36,0.012,5.04
12,2023-12-13,0.896,0.881,0.896,0.88,26069,2306008.0,1.78,-1.78,-0.016,1.84
13,2023-12-14,0.885,0.881,0.898,0.88,87480,7738062.0,2.04,0.0,0.0,6.19
14,2023-12-15,0.887,0.899,0.91,0.887,149611,13450142.0,2.61,2.04,0.018,10.59
15,2023-12-18,0.897,0.894,0.901,0.894,44881,4027987.0,0.78,-0.56,-0.005,3.18
16,2023-12-19,0.895,0.889,0.902,0.888,29528,2630294.0,1.57,-0.56,-0.005,2.09
17,2023-12-20,0.892,0.89,0.898,0.888,83281,7429532.0,1.12,0.11,0.001,5.89
18,2023-12-21,0.887,0.89,0.894,0.882,56278,5003541.0,1.35,0.0,0.0,3.98
19,2023-12-22,0.892,0.889,0.903,0.887,194666,17410239.0,1.8,-0.11,-0.001,13.77
20,2023-12-25,0.893,0.887,0.896,0.885,31621,2805637.0,1.24,-0.22,-0.002,2.24
21,2023-12-26,0.886,0.882,0.892,0.88,56372,4980754.0,1.35,-0.56,-0.005,3.99
22,2023-12-27,0.886,0.895,0.895,0.882,108343,9642093.0,1.47,1.47,0.013,7.67
23,2023-12-28,0.895,0.917,0.92,0.893,85700,7774239.0,3.02,2.46,0.022,6.06
24,2023-12-29,0.918,0.915,0.925,0.911,56111,5134211.0,1.53,-0.22,-0.002,3.97
25,2024-01-02,0.924,0.902,0.924,0.9,60859,5509992.0,2.62,-1.42,-0.013,4.31
26,2024-01-03,0.906,0.904,0.906,0.898,13717,1238837.0,0.89,0.22,0.002,0.97
27,2024-01-04,0.908,0.904,0.909,0.896,33351,3005250.0,1.44,0.0,0.0,2.36
28,2024-01-05,0.899,0.901,0.913,0.899,47405,4290601.0,1.55,-0.33,-0.003,3.35
29,2024-01-08,0.906,0.878,0.907,0.877,48343,4280396.0,3.33,-2.55,-0.023,3.42
30,2024-01-09,0.88,0.88,0.887,0.876,51130,4507698.0,1.25,0.23,0.002,3.62
31,2024-01-10,0.876,0.865,0.877,0.863,92475,8027876.0,1.59,-1.7,-0.015,6.54
32,2024-01-11,0.872,0.881,0.887,0.868,35649,3126888.0,2.2,1.85,0.016,2.52
33,2024-01-12,0.873,0.877,0.884,0.873,74939,6593173.0,1.25,-0.45,-0.004,5.3
34,2024-01-15,0.869,0.878,0.886,0.869,13011,1143174.0,1.94,0.11,0.001,0.92
35,2024-01-16,0.87,0.868,0.888,0.862,39439,3426256.0,2.96,-1.14,-0.01,2.79
36,2024-01-17,0.862,0.83,0.865,0.83,55454,4686138.0,4.03,-4.38,-0.038,3.92
37,2024-01-18,0.826,0.835,0.835,0.82,63852,5274887.0,1.81,0.6,0.005,4.52
38,2024-01-19,0.839,0.826,0.842,0.825,24209,2021976.0,2.04,-1.08,-0.009,1.71
39,2024-01-22,0.829,0.799,0.829,0.796,95788,7732092.0,4.0,-3.27,-0.027,6.78
40,2024-01-23,0.799,0.829,0.834,0.794,87267,7139763.0,5.01,3.75,0.03,6.17
41,2024-01-24,0.837,0.848,0.852,0.826,50590,4255247.0,3.14,2.29,0.019,3.58
42,2024-01-25,0.856,0.886,0.889,0.856,164350,14468347.0,3.89,4.48,0.038,11.63
43,2024-01-26,0.886,0.881,0.892,0.875,131431,11620604.0,1.92,-0.56,-0.005,9.3
