,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-02,0.986,0.96,0.99,0.956,607040,59011041.0,0.0,0.0,0.0,3.9
1,2021-07-05,0.96,0.951,0.965,0.943,300575,28602252.0,2.29,-0.94,-0.009,1.93
2,2021-07-06,0.955,0.937,0.955,0.932,241013,22596914.0,2.42,-1.47,-0.014,1.55
3,2021-07-07,0.935,0.934,0.942,0.928,139119,13018216.0,1.49,-0.32,-0.003,0.89
4,2021-07-08,0.938,0.912,0.94,0.91,243854,22521149.0,3.21,-2.36,-0.022,1.57
5,2021-07-09,0.911,0.931,0.935,0.909,200760,18547974.0,2.85,2.08,0.019,1.29
6,2021-07-12,0.935,0.942,0.945,0.93,228767,21470807.0,1.61,1.18,0.011,1.47
7,2021-07-13,0.948,0.942,0.953,0.941,153357,14520368.0,1.27,0.0,0.0,0.98
8,2021-07-14,0.946,0.956,0.96,0.945,216989,20719215.0,1.59,1.49,0.014,1.39
9,2021-07-15,0.955,0.953,0.962,0.95,47388,4523512.0,1.26,-0.31,-0.003,0.3
10,2021-07-16,0.954,0.955,0.958,0.95,103576,9883009.0,0.84,0.21,0.002,0.67
11,2021-07-19,0.953,0.945,0.953,0.941,69148,6535084.0,1.26,-1.05,-0.01,0.44
12,2021-07-20,0.944,0.927,0.95,0.923,106340,9906428.0,2.86,-1.9,-0.018,0.68
13,2021-07-21,0.928,0.926,0.93,0.923,89773,8306278.0,0.76,-0.11,-0.001,0.58
14,2021-07-22,0.926,0.928,0.931,0.926,63930,5938619.0,0.54,0.22,0.002,0.41
15,2021-07-23,0.928,0.917,0.928,0.915,112832,10370354.0,1.4,-1.19,-0.011,0.72
16,2021-07-26,0.912,0.866,0.912,0.853,320068,28150714.0,6.43,-5.56,-0.051,2.06
17,2021-07-27,0.86,0.793,0.863,0.793,462333,38260947.0,8.08,-8.43,-0.073,2.97
18,2021-07-28,0.803,0.813,0.82,0.788,283317,22752631.0,4.04,2.52,0.02,1.82
19,2021-07-29,0.85,0.866,0.876,0.846,508026,43774494.0,3.69,6.52,0.053,3.26
20,2021-07-30,0.86,0.842,0.86,0.84,166757,14095881.0,2.31,-2.77,-0.024,1.07
21,2021-08-02,0.848,0.859,0.859,0.833,131987,11215762.0,3.09,2.02,0.017,0.85
22,2021-08-03,0.859,0.862,0.862,0.849,107871,9240525.0,1.51,0.35,0.003,0.69
23,2021-08-04,0.869,0.884,0.887,0.864,154038,13540830.0,2.67,2.55,0.022,0.99
24,2021-08-05,0.887,0.868,0.894,0.865,116476,10271277.0,3.28,-1.81,-0.016,0.75
25,2021-08-06,0.872,0.862,0.878,0.858,79028,6825103.0,2.3,-0.69,-0.006,0.51
26,2021-08-09,0.855,0.864,0.865,0.848,120092,10312938.0,1.97,0.23,0.002,0.77
27,2021-08-10,0.869,0.88,0.881,0.868,160373,14005311.0,1.5,1.85,0.016,1.03
28,2021-08-11,0.88,0.867,0.881,0.865,64577,5640983.0,1.82,-1.48,-0.013,0.41
29,2021-08-12,0.867,0.847,0.867,0.846,137884,11751988.0,2.42,-2.31,-0.02,0.89
30,2021-08-13,0.848,0.839,0.852,0.835,69515,5853115.0,2.01,-0.94,-0.008,0.45
31,2021-08-16,0.836,0.825,0.837,0.822,96040,7947731.0,1.79,-1.67,-0.014,0.62
32,2021-08-17,0.822,0.801,0.83,0.795,207569,16789396.0,4.24,-2.91,-0.024,1.33
33,2021-08-18,0.805,0.809,0.813,0.805,71410,5783854.0,1.0,1.0,0.008,0.46
34,2021-08-19,0.809,0.795,0.817,0.795,148795,11965651.0,2.72,-1.73,-0.014,0.96
35,2021-08-20,0.791,0.766,0.792,0.751,430144,33109597.0,5.16,-3.65,-0.029,2.76
36,2021-08-23,0.773,0.786,0.792,0.773,205849,16172972.0,2.48,2.61,0.02,1.32
37,2021-08-24,0.795,0.82,0.823,0.795,312695,25482334.0,3.56,4.33,0.034,2.01
38,2021-08-25,0.836,0.82,0.841,0.819,241277,20052289.0,2.68,0.0,0.0,1.55
39,2021-08-26,0.824,0.8,0.825,0.797,154552,12505020.0,3.41,-2.44,-0.02,0.99
40,2021-08-27,0.8,0.803,0.82,0.8,140515,11394178.0,2.5,0.38,0.003,0.9
41,2021-08-30,0.804,0.816,0.82,0.801,183464,14928191.0,2.37,1.62,0.013,1.18
42,2021-08-31,0.818,0.83,0.831,0.806,251090,20535755.0,3.06,1.72,0.014,1.61
43,2021-09-01,0.84,0.839,0.846,0.828,231311,19408608.0,2.17,1.08,0.009,1.49
44,2021-09-02,0.848,0.845,0.86,0.84,207504,17650316.0,2.38,0.72,0.006,1.33
45,2021-09-03,0.847,0.842,0.851,0.838,212874,17935587.0,1.54,-0.36,-0.003,1.37
46,2021-09-06,0.841,0.856,0.857,0.84,215021,18320538.0,2.02,1.66,0.014,1.38
47,2021-09-07,0.857,0.858,0.862,0.855,141758,12182043.0,0.82,0.23,0.002,0.91
48,2021-09-08,0.861,0.858,0.869,0.852,177186,15245453.0,1.98,0.0,0.0,1.14
49,2021-09-09,0.854,0.836,0.854,0.833,161811,13637940.0,2.45,-2.56,-0.022,1.04
50,2021-09-10,0.838,0.84,0.845,0.838,99460,8375380.0,0.84,0.48,0.004,0.64
51,2021-09-13,0.839,0.823,0.839,0.822,110612,9145180.0,2.02,-2.02,-0.017,0.71
52,2021-09-14,0.828,0.827,0.837,0.826,143689,11965475.0,1.34,0.49,0.004,0.92
53,2021-09-15,0.822,0.818,0.827,0.815,119620,9809616.0,1.45,-1.09,-0.009,0.77
54,2021-09-16,0.817,0.802,0.817,0.801,130587,10534077.0,1.96,-1.96,-0.016,0.84
55,2021-09-17,0.803,0.83,0.832,0.803,83600,6921262.0,3.62,3.49,0.028,0.54
56,2021-09-22,0.819,0.825,0.827,0.814,78402,6431406.0,1.57,-0.6,-0.005,0.5
57,2021-09-23,0.829,0.819,0.836,0.817,90515,7450820.0,2.3,-0.73,-0.006,0.58
58,2021-09-24,0.822,0.818,0.83,0.817,76163,6269155.0,1.59,-0.12,-0.001,0.49
59,2021-09-27,0.818,0.817,0.83,0.815,80702,6644405.0,1.83,-0.12,-0.001,0.52
60,2021-09-28,0.82,0.824,0.826,0.811,53160,4358876.0,1.84,0.86,0.007,0.34
61,2021-09-29,0.817,0.81,0.817,0.804,61632,4984607.0,1.58,-1.7,-0.014,0.4
62,2021-09-30,0.813,0.815,0.818,0.808,42826,3485457.0,1.23,0.62,0.005,0.27
63,2021-10-08,0.827,0.797,0.829,0.796,164662,13287072.0,4.05,-2.21,-0.018,1.06
64,2021-10-11,0.805,0.804,0.811,0.801,82929,6687588.0,1.25,0.88,0.007,0.53
65,2021-10-12,0.796,0.793,0.804,0.79,90701,7213028.0,1.74,-1.37,-0.011,0.58
66,2021-10-13,0.792,0.796,0.798,0.789,60576,4798460.0,1.13,0.38,0.003,0.39
67,2021-10-14,0.795,0.797,0.798,0.793,40464,3217945.0,0.63,0.13,0.001,0.26
68,2021-10-15,0.798,0.799,0.802,0.793,67408,5375344.0,1.13,0.25,0.002,0.43
69,2021-10-18,0.795,0.797,0.8,0.794,70953,5647962.0,0.75,-0.25,-0.002,0.46
70,2021-10-19,0.8,0.821,0.822,0.8,178284,14523339.0,2.76,3.01,0.024,1.14
71,2021-10-20,0.823,0.828,0.831,0.82,154726,12804218.0,1.34,0.85,0.007,0.99
72,2021-10-21,0.825,0.815,0.83,0.813,72143,5907196.0,2.05,-1.57,-0.013,0.46
73,2021-10-22,0.819,0.823,0.825,0.814,85110,6995802.0,1.35,0.98,0.008,0.55
74,2021-10-25,0.826,0.824,0.826,0.819,108286,8922048.0,0.85,0.12,0.001,0.7
75,2021-10-26,0.823,0.815,0.826,0.814,39077,3200366.0,1.46,-1.09,-0.009,0.25
76,2021-10-27,0.813,0.796,0.813,0.794,84283,6736434.0,2.33,-2.33,-0.019,0.54
77,2021-10-28,0.795,0.792,0.799,0.791,57640,4582249.0,1.01,-0.5,-0.004,0.37
78,2021-10-29,0.793,0.791,0.794,0.789,82767,6547097.0,0.63,-0.13,-0.001,0.53
79,2021-11-01,0.79,0.777,0.791,0.775,127795,9973569.0,2.02,-1.77,-0.014,0.82
80,2021-11-02,0.782,0.773,0.79,0.772,80792,6317007.0,2.32,-0.51,-0.004,0.52
81,2021-11-03,0.775,0.77,0.78,0.765,123606,9518268.0,1.94,-0.39,-0.003,0.79
82,2021-11-04,0.773,0.768,0.777,0.765,97921,7549196.0,1.56,-0.26,-0.002,0.63
83,2021-11-05,0.768,0.767,0.774,0.765,85020,6539309.0,1.17,-0.13,-0.001,0.55
84,2021-11-08,0.767,0.75,0.767,0.748,168036,12646715.0,2.48,-2.22,-0.017,1.08
85,2021-11-09,0.754,0.761,0.761,0.751,89095,6739929.0,1.33,1.47,0.011,0.57
86,2021-11-10,0.76,0.772,0.773,0.754,137094,10492502.0,2.5,1.45,0.011,0.88
87,2021-11-11,0.778,0.783,0.785,0.772,158939,12349982.0,1.68,1.42,0.011,1.02
88,2021-11-12,0.788,0.788,0.791,0.783,136932,10780794.0,1.02,0.64,0.005,0.88
89,2021-11-15,0.79,0.794,0.795,0.789,84823,6726160.0,0.76,0.76,0.006,0.54
90,2021-11-16,0.795,0.807,0.811,0.794,252407,20340286.0,2.14,1.64,0.013,1.62
91,2021-11-17,0.807,0.814,0.815,0.806,127630,10344097.0,1.12,0.87,0.007,0.82
92,2021-11-18,0.809,0.793,0.809,0.792,57570,4588711.0,2.09,-2.58,-0.021,0.37
93,2021-11-19,0.792,0.793,0.796,0.787,44420,3513941.0,1.13,0.0,0.0,0.29
94,2021-11-22,0.793,0.787,0.797,0.782,44627,3516368.0,1.89,-0.76,-0.006,0.29
95,2021-11-23,0.784,0.776,0.784,0.774,69894,5430823.0,1.27,-1.4,-0.011,0.45
96,2021-11-24,0.774,0.773,0.778,0.768,89722,6925750.0,1.29,-0.39,-0.003,0.58
97,2021-11-25,0.773,0.777,0.778,0.77,54720,4235089.0,1.03,0.52,0.004,0.35
98,2021-11-26,0.776,0.766,0.776,0.761,76980,5897526.0,1.93,-1.42,-0.011,0.49
99,2021-11-29,0.763,0.761,0.766,0.757,99568,7568098.0,1.17,-0.65,-0.005,0.64
100,2021-11-30,0.765,0.752,0.766,0.749,142806,10777371.0,2.23,-1.18,-0.009,0.92
101,2021-12-01,0.756,0.756,0.76,0.753,78066,5908865.0,0.93,0.53,0.004,0.5
102,2021-12-02,0.757,0.748,0.757,0.746,184766,13861546.0,1.46,-1.06,-0.008,1.19
103,2021-12-03,0.748,0.748,0.749,0.74,129862,9673349.0,1.2,0.0,0.0,0.83
104,2021-12-06,0.744,0.713,0.745,0.712,415861,30108739.0,4.41,-4.68,-0.035,2.67
105,2021-12-07,0.72,0.726,0.728,0.718,168488,12180994.0,1.4,1.82,0.013,1.08
106,2021-12-08,0.731,0.737,0.738,0.731,125719,9254312.0,0.96,1.52,0.011,0.81
107,2021-12-09,0.74,0.748,0.749,0.738,136065,10124924.0,1.49,1.49,0.011,0.87
108,2021-12-10,0.746,0.741,0.747,0.74,62898,4674312.0,0.94,-0.94,-0.007,0.4
109,2021-12-13,0.745,0.74,0.75,0.739,118052,8798491.0,1.48,-0.13,-0.001,0.76
110,2021-12-14,0.738,0.723,0.738,0.72,158124,11478882.0,2.43,-2.3,-0.017,1.02
111,2021-12-15,0.722,0.692,0.726,0.692,434168,30704848.0,4.7,-4.29,-0.031,2.79
112,2021-12-16,0.695,0.695,0.7,0.685,231588,15999550.0,2.17,0.43,0.003,1.49
113,2021-12-17,0.695,0.685,0.7,0.683,190821,13135500.0,2.45,-1.44,-0.01,1.23
114,2021-12-20,0.685,0.667,0.692,0.667,240814,16286173.0,3.65,-2.63,-0.018,1.55
115,2021-12-21,0.667,0.678,0.678,0.666,171036,11480470.0,1.8,1.65,0.011,1.1
116,2021-12-22,0.681,0.679,0.688,0.679,136108,9299701.0,1.33,0.15,0.001,0.87
117,2021-12-23,0.681,0.683,0.688,0.681,144821,9907690.0,1.03,0.59,0.004,0.93
118,2021-12-24,0.688,0.68,0.69,0.679,91525,6243928.0,1.61,-0.44,-0.003,0.59
119,2021-12-27,0.682,0.681,0.683,0.679,49737,3386118.0,0.59,0.15,0.001,0.32
120,2021-12-28,0.687,0.676,0.687,0.669,119512,8059687.0,2.64,-0.73,-0.005,0.77
121,2021-12-29,0.676,0.669,0.676,0.667,81233,5437216.0,1.33,-1.04,-0.007,0.52
122,2021-12-30,0.669,0.672,0.674,0.667,64010,4288529.0,1.05,0.45,0.003,0.41
123,2021-12-31,0.684,0.684,0.69,0.68,130053,8895990.0,1.49,1.79,0.012,0.84
124,2022-01-04,0.682,0.669,0.682,0.667,110054,7407816.0,2.19,-2.19,-0.015,0.71
125,2022-01-05,0.667,0.641,0.668,0.637,418670,27058512.0,4.63,-4.19,-0.028,2.69
126,2022-01-06,0.634,0.624,0.636,0.617,276145,17235209.0,2.96,-2.65,-0.017,1.77
127,2022-01-07,0.636,0.636,0.641,0.63,151642,9622927.0,1.76,1.92,0.012,0.97
128,2022-01-10,0.637,0.653,0.654,0.632,211398,13679474.0,3.46,2.67,0.017,1.36
129,2022-01-11,0.652,0.649,0.658,0.648,103761,6784391.0,1.53,-0.61,-0.004,0.67
130,2022-01-12,0.66,0.68,0.68,0.66,294550,19830735.0,3.08,4.78,0.031,1.89
131,2022-01-13,0.682,0.673,0.683,0.672,157559,10671898.0,1.62,-1.03,-0.007,1.01
132,2022-01-14,0.666,0.672,0.674,0.66,80192,5360683.0,2.08,-0.15,-0.001,0.51
133,2022-01-17,0.671,0.672,0.676,0.667,78588,5265098.0,1.34,0.0,0.0,0.5
134,2022-01-18,0.672,0.668,0.681,0.666,119116,8027735.0,2.23,-0.6,-0.004,0.76
135,2022-01-19,0.667,0.66,0.671,0.655,135828,9003139.0,2.4,-1.2,-0.008,0.87
136,2022-01-20,0.66,0.681,0.681,0.66,206791,13940231.0,3.18,3.18,0.021,1.33
137,2022-01-21,0.679,0.675,0.683,0.67,100718,6823683.0,1.91,-0.88,-0.006,0.65
138,2022-01-24,0.669,0.664,0.67,0.662,173120,11522548.0,1.19,-1.63,-0.011,1.11
139,2022-01-25,0.662,0.648,0.664,0.648,97389,6345950.0,2.41,-2.41,-0.016,0.63
140,2022-01-26,0.651,0.643,0.654,0.637,82070,5307622.0,2.62,-0.77,-0.005,0.53
141,2022-01-27,0.64,0.62,0.64,0.62,111957,6994821.0,3.11,-3.58,-0.023,0.72
142,2022-01-28,0.621,0.625,0.632,0.617,44716,2779505.0,2.42,0.81,0.005,0.29
143,2022-02-07,0.634,0.63,0.644,0.628,134191,8514975.0,2.56,0.8,0.005,0.86
144,2022-02-08,0.63,0.609,0.63,0.604,246502,15007280.0,4.13,-3.33,-0.021,1.58
145,2022-02-09,0.615,0.623,0.624,0.615,124851,7744832.0,1.48,2.3,0.014,0.8
146,2022-02-10,0.626,0.614,0.628,0.614,191315,11855190.0,2.25,-1.44,-0.009,1.23
147,2022-02-11,0.614,0.605,0.617,0.603,188804,11521696.0,2.28,-1.47,-0.009,1.21
148,2022-02-14,0.602,0.602,0.605,0.599,106815,6434480.0,0.99,-0.5,-0.003,0.69
149,2022-02-15,0.602,0.609,0.611,0.602,82315,5005714.0,1.5,1.16,0.007,0.53
150,2022-02-16,0.619,0.617,0.623,0.615,105365,6522418.0,1.31,1.31,0.008,0.68
