,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-06-25,0.988,0.98,0.99,0.978,544035,53526579.0,0.0,0.0,0.0,5.22
1,2019-06-26,0.98,0.985,0.988,0.975,271986,26775696.0,1.33,0.51,0.005,2.61
2,2019-06-27,0.99,0.995,0.995,0.988,150976,14972956.0,0.71,1.02,0.01,1.45
3,2019-06-28,0.99,0.986,0.991,0.983,153659,15135884.0,0.8,-0.9,-0.009,1.47
4,2019-07-01,0.995,0.999,1.001,0.991,302871,30207230.0,1.01,1.32,0.013,2.91
5,2019-07-02,0.993,0.994,0.996,0.99,61619,6118493.0,0.6,-0.5,-0.005,0.59
6,2019-07-03,0.99,0.984,0.99,0.982,38787,3818956.0,0.8,-1.01,-0.01,0.37
7,2019-07-04,0.984,0.994,0.994,0.984,61493,6096420.0,1.02,1.02,0.01,0.59
8,2019-07-05,0.992,0.993,0.994,0.991,37304,3702934.0,0.3,-0.1,-0.001,0.36
9,2019-07-08,0.989,0.984,0.989,0.982,47433,4664168.0,0.7,-0.91,-0.009,0.46
10,2019-07-09,0.986,0.983,0.987,0.982,25005,2458676.0,0.51,-0.1,-0.001,0.24
11,2019-07-10,0.983,0.981,0.983,0.981,21415,2102912.0,0.2,-0.2,-0.002,0.21
12,2019-07-11,0.984,0.985,0.987,0.983,26480,2608252.0,0.41,0.41,0.004,0.25
13,2019-07-12,0.989,0.986,0.989,0.984,24305,2394423.0,0.51,0.1,0.001,0.23
14,2019-07-15,0.991,0.987,0.991,0.987,26821,2650651.0,0.41,0.1,0.001,0.26
15,2019-07-16,0.982,0.982,0.984,0.98,84912,8331053.0,0.41,-0.51,-0.005,0.81
16,2019-07-17,0.98,0.981,0.981,0.975,80913,7914215.0,0.61,-0.1,-0.001,0.78
17,2019-07-18,0.973,0.967,0.974,0.965,49413,4787390.0,0.92,-1.43,-0.014,0.47
18,2019-07-19,0.976,0.983,0.984,0.976,54646,5367646.0,0.83,1.65,0.016,0.52
19,2019-07-22,0.98,0.979,0.98,0.977,28072,2747157.0,0.31,-0.41,-0.004,0.27
20,2019-07-23,0.989,0.988,1.0,0.983,36111,3568562.0,1.74,0.92,0.009,0.35
21,2019-07-24,0.991,0.989,0.992,0.989,22495,2227573.0,0.3,0.1,0.001,0.22
22,2019-07-25,0.99,0.992,0.993,0.99,38600,3828026.0,0.3,0.3,0.003,0.37
23,2019-07-26,0.983,0.985,0.985,0.98,32287,3175313.0,0.5,-0.71,-0.007,0.31
24,2019-07-29,0.983,0.983,0.984,0.981,94350,9270441.0,0.3,-0.2,-0.002,0.91
25,2019-07-30,0.986,0.986,0.99,0.986,13519,1334884.0,0.41,0.31,0.003,0.13
26,2019-07-31,0.98,0.981,0.982,0.979,106132,10407278.0,0.3,-0.51,-0.005,1.02
27,2019-08-01,0.979,0.977,0.98,0.976,177567,17344660.0,0.41,-0.41,-0.004,1.7
28,2019-08-02,0.965,0.975,0.981,0.965,205476,20044013.0,1.64,-0.2,-0.002,1.97
29,2019-08-05,0.977,0.978,0.99,0.972,49260,4829457.0,1.85,0.31,0.003,0.47
30,2019-08-06,0.978,0.975,0.978,0.964,52128,5066283.0,1.43,-0.31,-0.003,0.5
31,2019-08-07,0.965,0.976,0.98,0.965,54550,5319835.0,1.54,0.1,0.001,0.52
32,2019-08-08,0.986,0.983,0.986,0.98,29341,2885331.0,0.61,0.72,0.007,0.28
33,2019-08-09,0.99,0.99,0.991,0.986,63436,6277039.0,0.51,0.71,0.007,0.61
34,2019-08-12,0.99,0.99,0.995,0.98,62309,6171975.0,1.52,0.0,0.0,0.6
35,2019-08-13,0.985,0.984,0.985,0.981,33161,3262351.0,0.4,-0.61,-0.006,0.32
36,2019-08-14,0.989,0.981,0.989,0.978,129602,12708368.0,1.12,-0.3,-0.003,1.24
37,2019-08-15,0.978,0.973,0.978,0.971,70004,6811600.0,0.71,-0.82,-0.008,0.67
38,2019-08-16,0.97,0.975,0.975,0.97,47292,4603373.0,0.51,0.21,0.002,0.45
39,2019-08-19,0.979,0.979,0.98,0.975,36932,3607164.0,0.51,0.41,0.004,0.35
40,2019-08-20,0.979,0.982,0.984,0.975,35696,3504342.0,0.92,0.31,0.003,0.34
41,2019-08-21,0.982,0.984,0.984,0.982,27340,2687707.0,0.2,0.2,0.002,0.26
42,2019-08-22,0.986,0.984,0.988,0.983,36610,3604035.0,0.51,0.0,0.0,0.35
43,2019-08-23,0.99,0.989,0.99,0.984,38804,3833926.0,0.61,0.51,0.005,0.37
44,2019-08-26,0.988,0.985,0.988,0.974,33231,3267670.0,1.42,-0.4,-0.004,0.32
45,2019-08-27,0.988,0.993,0.995,0.988,53268,5293554.0,0.71,0.81,0.008,0.51
46,2019-08-28,0.995,0.994,0.998,0.994,28259,2812015.0,0.4,0.1,0.001,0.27
47,2019-08-29,0.991,0.994,0.994,0.986,35788,3544471.0,0.8,0.0,0.0,0.34
48,2019-08-30,0.999,0.999,1.001,0.996,84758,8470302.0,0.5,0.5,0.005,0.81
49,2019-09-02,0.999,0.999,1.001,0.999,29733,2972382.0,0.2,0.0,0.0,0.29
50,2019-09-03,1.001,1.0,1.001,1.0,24934,2494133.0,0.1,0.1,0.001,0.24
51,2019-09-04,1.0,1.003,1.004,1.0,43568,4362308.0,0.4,0.3,0.003,0.42
52,2019-09-05,1.011,1.017,1.019,1.011,84916,8624660.0,0.8,1.4,0.014,0.81
53,2019-09-06,1.02,1.013,1.024,1.013,40876,4153576.0,1.08,-0.39,-0.004,0.39
54,2019-09-09,1.016,1.019,1.019,1.014,31536,3203652.0,0.49,0.59,0.006,0.3
55,2019-09-10,1.02,1.017,1.02,1.016,19746,2009190.0,0.39,-0.2,-0.002,0.19
56,2019-09-11,1.019,1.025,1.026,1.018,30582,3123936.0,0.79,0.79,0.008,0.29
57,2019-09-12,1.029,1.029,1.031,1.029,17121,1763763.0,0.2,0.39,0.004,0.16
58,2019-09-16,1.035,1.033,1.037,1.033,17466,1806860.0,0.39,0.39,0.004,0.17
59,2019-09-17,1.033,1.03,1.033,1.028,29162,3001552.0,0.48,-0.29,-0.003,0.28
60,2019-09-18,1.03,1.032,1.034,1.03,16655,1720137.0,0.39,0.19,0.002,0.16
61,2019-09-19,1.037,1.04,1.045,1.036,73788,7678450.0,0.87,0.78,0.008,0.71
62,2019-09-20,1.04,1.046,1.05,1.04,38707,4051360.0,0.96,0.58,0.006,0.37
63,2019-09-23,1.046,1.048,1.05,1.046,11495,1205811.0,0.38,0.19,0.002,0.11
64,2019-09-24,1.052,1.051,1.057,1.051,30573,3219104.0,0.57,0.29,0.003,0.29
65,2019-09-25,1.051,1.043,1.051,1.042,20002,2087703.0,0.86,-0.76,-0.008,0.19
66,2019-09-26,1.046,1.044,1.048,1.043,31406,3278705.0,0.48,0.1,0.001,0.3
67,2019-09-27,1.041,1.041,1.043,1.04,25415,2645499.0,0.29,-0.29,-0.003,0.24
68,2019-09-30,1.04,1.035,1.04,1.032,23501,2428740.0,0.77,-0.58,-0.006,0.23
69,2019-10-08,1.035,1.033,1.035,1.03,30854,3185736.0,0.48,-0.19,-0.002,0.3
70,2019-10-09,1.031,1.032,1.032,1.026,26119,2688959.0,0.58,-0.1,-0.001,0.25
71,2019-10-10,1.035,1.033,1.035,1.031,19742,2038701.0,0.39,0.1,0.001,0.19
72,2019-10-11,1.037,1.037,1.039,1.034,23065,2389626.0,0.48,0.39,0.004,0.22
73,2019-10-14,1.038,1.034,1.038,1.03,16785,1733064.0,0.77,-0.29,-0.003,0.16
74,2019-10-15,1.042,1.048,1.051,1.042,23935,2510465.0,0.87,1.35,0.014,0.23
75,2019-10-16,1.054,1.059,1.061,1.054,43889,4646413.0,0.67,1.05,0.011,0.42
76,2019-10-17,1.061,1.058,1.063,1.057,14866,1575651.0,0.57,-0.09,-0.001,0.14
77,2019-10-18,1.062,1.059,1.065,1.057,38051,4032030.0,0.76,0.09,0.001,0.37
78,2019-10-21,1.06,1.063,1.063,1.059,16800,1782058.0,0.38,0.38,0.004,0.16
79,2019-10-22,1.063,1.066,1.066,1.061,20455,2176408.0,0.47,0.28,0.003,0.2
80,2019-10-23,1.066,1.068,1.069,1.064,14702,1567343.0,0.47,0.19,0.002,0.14
81,2019-10-24,1.071,1.072,1.073,1.069,11162,1195585.0,0.37,0.37,0.004,0.11
82,2019-10-25,1.074,1.074,1.074,1.069,7546,809232.0,0.47,0.19,0.002,0.07
83,2019-10-28,1.074,1.074,1.076,1.074,6444,692242.0,0.19,0.0,0.0,0.06
84,2019-10-29,1.076,1.078,1.079,1.076,6500,700689.0,0.28,0.37,0.004,0.06
85,2019-10-30,1.077,1.073,1.077,1.073,6096,654772.0,0.37,-0.46,-0.005,0.06
86,2019-10-31,1.074,1.077,1.077,1.074,3660,393530.0,0.28,0.37,0.004,0.04
87,2019-11-01,1.076,1.075,1.077,1.074,6781,729412.0,0.28,-0.19,-0.002,0.07
88,2019-11-04,1.077,1.079,1.082,1.077,7532,812032.0,0.47,0.37,0.004,0.07
89,2019-11-05,1.083,1.09,1.091,1.083,14054,1528545.0,0.74,1.02,0.011,0.13
90,2019-11-06,1.091,1.086,1.091,1.076,13183,1428114.0,1.38,-0.37,-0.004,0.13
