,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-04-28,0.96,0.976,0.977,0.96,2462919,249239860.0,0.0,0.0,0.0,129.55
1,2023-05-04,0.966,0.994,0.996,0.958,481799,49505689.0,3.89,1.84,0.018,25.34
2,2023-05-05,0.997,1.002,1.01,0.995,299980,31372334.0,1.51,0.8,0.008,15.78
3,2023-05-08,1.01,1.032,1.036,1.006,325723,34703981.0,2.99,2.99,0.03,17.13
4,2023-05-09,1.036,1.019,1.045,1.018,312533,33757241.0,2.62,-1.26,-0.013,16.44
5,2023-05-10,1.02,1.006,1.023,1.005,42624,4503962.0,1.77,-1.28,-0.013,2.24
6,2023-05-11,1.007,1.001,1.015,1.001,74215,7804828.0,1.39,-0.5,-0.005,3.9
7,2023-05-12,0.996,0.982,1.003,0.982,172114,17843102.0,2.1,-1.9,-0.019,9.05
8,2023-05-15,0.981,1.001,1.003,0.978,218256,22626682.0,2.55,1.93,0.019,11.48
9,2023-05-16,1.002,0.994,1.01,0.993,158816,16602293.0,1.7,-0.7,-0.007,8.35
10,2023-05-17,0.991,0.994,1.002,0.991,115369,12001396.0,1.11,0.0,0.0,6.07
11,2023-05-18,0.994,1.006,1.012,0.994,172283,18121975.0,1.81,1.21,0.012,9.06
12,2023-05-19,1.01,1.002,1.011,1.002,213683,22423110.0,0.89,-0.4,-0.004,11.24
13,2023-05-22,1.003,1.003,1.011,0.999,179898,18847558.0,1.2,0.1,0.001,9.46
14,2023-05-23,1.009,0.99,1.009,0.989,117557,12272064.0,1.99,-1.3,-0.013,6.18
15,2023-05-24,0.985,0.974,1.001,0.974,82651,8457636.0,2.73,-1.62,-0.016,4.35
16,2023-05-25,0.976,0.96,0.981,0.955,64853,6523292.0,2.67,-1.44,-0.014,3.41
17,2023-05-26,0.955,0.958,0.959,0.948,231215,23091388.0,1.15,-0.21,-0.002,12.16
18,2023-05-29,0.96,0.964,0.97,0.96,171410,17309517.0,1.04,0.63,0.006,9.02
19,2023-05-30,0.964,0.961,0.97,0.956,63633,6403600.0,1.45,-0.31,-0.003,3.35
20,2023-05-31,0.961,0.943,0.961,0.94,76920,7608393.0,2.19,-1.87,-0.018,4.05
21,2023-06-01,0.941,0.95,0.953,0.939,79075,7839858.0,1.48,0.74,0.007,4.16
22,2023-06-02,0.954,0.967,0.968,0.953,184708,18591979.0,1.58,1.79,0.017,9.72
23,2023-06-05,0.965,0.969,0.971,0.962,119750,12113014.0,0.93,0.21,0.002,6.3
24,2023-06-06,0.969,0.97,0.996,0.969,231924,23754527.0,2.79,0.1,0.001,12.2
25,2023-06-07,0.981,0.978,0.982,0.973,145559,14876216.0,0.93,0.82,0.008,7.66
26,2023-06-08,0.978,0.989,0.992,0.976,80918,8328544.0,1.64,1.12,0.011,4.26
27,2023-06-09,0.989,0.994,0.995,0.986,67123,6942850.0,0.91,0.51,0.005,3.53
28,2023-06-12,0.996,0.987,0.996,0.987,98418,10169309.0,0.91,-0.7,-0.007,5.18
29,2023-06-13,0.988,0.99,0.99,0.98,40022,4117646.0,1.01,0.3,0.003,2.11
30,2023-06-14,0.988,0.982,0.994,0.98,53797,5541986.0,1.41,-0.81,-0.008,2.83
31,2023-06-15,0.988,0.983,0.989,0.976,170780,17532856.0,1.32,0.1,0.001,8.98
32,2023-06-16,0.988,0.991,0.996,0.983,49552,5129564.0,1.32,0.81,0.008,2.61
