,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-08-18,1.003,1.0,1.003,0.998,787770,78780308.0,0.0,0.0,0.0,81.21
1,2020-08-19,1.001,0.994,1.001,0.99,169383,16862421.0,1.1,-0.6,-0.006,17.46
2,2020-08-20,0.995,0.983,0.995,0.982,112246,11064527.0,1.31,-1.11,-0.011,11.57
3,2020-08-21,0.987,1.0,1.003,0.987,203858,20334371.0,1.63,1.73,0.017,21.02
4,2020-08-24,1.006,1.017,1.018,1.006,472281,47698970.0,1.2,1.7,0.017,48.69
5,2020-08-25,1.018,1.016,1.02,1.008,212927,21529070.0,1.18,-0.1,-0.001,21.95
6,2020-08-26,1.017,1.01,1.02,1.008,63379,6423837.0,1.18,-0.59,-0.006,6.53
7,2020-08-27,1.011,1.014,1.014,1.005,112548,11358162.0,0.89,0.4,0.004,11.6
8,2020-08-28,1.012,1.022,1.026,1.01,238646,24314677.0,1.58,0.79,0.008,24.6
9,2020-08-31,1.023,1.006,1.023,1.006,167478,17029338.0,1.66,-1.57,-0.016,17.27
10,2020-09-01,1.001,1.007,1.007,0.995,163244,16369268.0,1.19,0.1,0.001,16.83
11,2020-09-02,1.012,1.002,1.012,0.999,73963,7429520.0,1.29,-0.5,-0.005,7.63
12,2020-09-03,1.002,0.996,1.008,0.993,106476,10644678.0,1.5,-0.6,-0.006,10.98
13,2020-09-04,0.995,0.987,0.995,0.974,113274,11103062.0,2.11,-0.9,-0.009,11.68
14,2020-09-07,0.988,0.978,0.995,0.975,58901,5801587.0,2.03,-0.91,-0.009,6.07
15,2020-09-08,0.98,0.975,0.985,0.967,77186,7543984.0,1.84,-0.31,-0.003,7.96
16,2020-09-09,0.97,0.963,0.97,0.96,68441,6600410.0,1.03,-1.23,-0.012,7.06
17,2020-09-10,0.966,0.97,0.975,0.966,87888,8539552.0,0.93,0.73,0.007,9.06
18,2020-09-11,0.969,0.972,0.972,0.962,31273,3024189.0,1.03,0.21,0.002,3.22
19,2020-09-14,0.972,0.982,0.986,0.972,56272,5523390.0,1.44,1.03,0.01,5.8
20,2020-09-15,0.981,0.983,0.986,0.98,44692,4391430.0,0.61,0.1,0.001,4.61
21,2020-09-16,0.983,0.983,0.985,0.978,61803,6067073.0,0.71,0.0,0.0,6.37
22,2020-09-17,0.983,0.966,0.983,0.963,63517,6169476.0,2.03,-1.73,-0.017,6.55
23,2020-09-18,0.967,0.973,0.974,0.963,36229,3510605.0,1.14,0.72,0.007,3.73
24,2020-09-21,0.973,0.96,0.977,0.958,54226,5238676.0,1.95,-1.34,-0.013,5.59
25,2020-09-22,0.961,0.951,0.961,0.95,47490,4536738.0,1.15,-0.94,-0.009,4.9
26,2020-09-23,0.95,0.952,0.959,0.95,54558,5216289.0,0.95,0.11,0.001,5.62
27,2020-09-24,0.95,0.938,0.951,0.938,35807,3373000.0,1.37,-1.47,-0.014,3.69
28,2020-09-25,0.939,0.934,0.948,0.928,36102,3384250.0,2.13,-0.43,-0.004,3.72
29,2020-09-28,0.935,0.941,0.943,0.935,26194,2460223.0,0.86,0.75,0.007,2.7
30,2020-09-29,0.942,0.939,0.947,0.938,25973,2448996.0,0.96,-0.21,-0.002,2.68
31,2020-09-30,0.94,0.945,0.956,0.94,19753,1874944.0,1.7,0.64,0.006,2.04
32,2020-10-09,0.95,0.959,0.96,0.939,194686,18427809.0,2.22,1.48,0.014,20.07
33,2020-10-12,0.966,0.984,0.986,0.966,86575,8489958.0,2.09,2.61,0.025,8.93
34,2020-10-13,0.984,0.984,0.986,0.982,29240,2876775.0,0.41,0.0,0.0,3.01
35,2020-10-14,0.984,0.988,0.989,0.984,80825,7967478.0,0.51,0.41,0.004,8.33
36,2020-10-15,0.982,0.973,0.984,0.972,97498,9554864.0,1.21,-1.52,-0.015,10.05
37,2020-10-16,0.974,0.975,0.978,0.972,55853,5444983.0,0.62,0.21,0.002,5.76
38,2020-10-19,0.976,0.973,0.984,0.973,89399,8750452.0,1.13,-0.21,-0.002,9.22
39,2020-10-20,0.972,0.972,0.974,0.97,71778,6976512.0,0.41,-0.1,-0.001,7.4
40,2020-10-21,0.972,0.98,0.984,0.972,96288,9438723.0,1.23,0.82,0.008,9.93
41,2020-10-22,0.979,0.976,0.979,0.968,121114,11780699.0,1.12,-0.41,-0.004,12.49
42,2020-10-23,0.976,0.976,0.982,0.974,75831,7409297.0,0.82,0.0,0.0,7.82
43,2020-10-26,0.977,0.974,0.977,0.972,36401,3547968.0,0.51,-0.2,-0.002,3.75
44,2020-10-27,0.975,0.982,0.982,0.975,145379,14225553.0,0.72,0.82,0.008,14.99
45,2020-10-28,0.984,0.99,0.994,0.982,135459,13383301.0,1.22,0.81,0.008,13.96
46,2020-10-29,0.988,0.994,0.998,0.975,176920,17484047.0,2.32,0.4,0.004,18.24
47,2020-10-30,0.993,0.976,0.995,0.972,117064,11555998.0,2.31,-1.81,-0.018,12.07
48,2020-11-02,0.978,0.984,0.985,0.978,101882,10008749.0,0.72,0.82,0.008,10.5
49,2020-11-03,0.984,0.999,1.001,0.984,89263,8898690.0,1.73,1.52,0.015,9.2
50,2020-11-04,0.998,1.003,1.005,0.987,140921,14033975.0,1.8,0.4,0.004,14.53
51,2020-11-05,1.004,1.028,1.033,1.004,173600,17809692.0,2.89,2.49,0.025,17.9
52,2020-11-06,1.022,1.021,1.026,1.016,172180,17575866.0,0.97,-0.68,-0.007,17.75
53,2020-11-09,1.035,1.034,1.043,1.03,159162,16494771.0,1.27,1.27,0.013,16.41
54,2020-11-10,1.035,1.02,1.036,1.014,191048,19558304.0,2.13,-1.35,-0.014,19.7
55,2020-11-11,1.013,1.013,1.023,1.012,87325,8881372.0,1.08,-0.69,-0.007,9.0
56,2020-11-12,1.012,1.017,1.025,1.012,101728,10350803.0,1.28,0.39,0.004,10.49
57,2020-11-13,1.018,1.023,1.026,1.011,72918,7417004.0,1.47,0.59,0.006,7.52
58,2020-11-16,1.027,1.03,1.033,1.024,128850,13254650.0,0.88,0.68,0.007,13.28
59,2020-11-17,1.03,1.021,1.031,1.019,32038,3285768.0,1.17,-0.87,-0.009,3.3
60,2020-11-18,1.021,1.022,1.025,1.02,39227,4009725.0,0.49,0.1,0.001,4.04
61,2020-11-19,1.022,1.02,1.022,1.014,53717,5467985.0,0.78,-0.2,-0.002,5.54
62,2020-11-20,1.022,1.029,1.03,1.022,165307,16983356.0,0.78,0.88,0.009,17.04
