,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-24,0.988,0.982,0.988,0.968,276914,27030044.0,0.0,0.0,0.0,1.45
1,2019-12-25,0.983,1.003,1.005,0.982,772365,77192965.0,2.34,2.14,0.021,4.06
2,2019-12-26,1.0,1.002,1.005,0.997,313202,31355006.0,0.8,-0.1,-0.001,1.64
3,2019-12-27,1.008,0.987,1.008,0.985,384816,38457845.0,2.3,-1.5,-0.015,2.02
4,2019-12-30,0.975,0.99,0.994,0.963,256988,25168708.0,3.14,0.3,0.003,1.35
5,2019-12-31,0.989,0.992,1.0,0.985,152921,15173672.0,1.52,0.2,0.002,0.8
6,2020-01-02,0.999,1.021,1.026,0.996,1316731,133732108.0,3.02,2.92,0.029,6.92
7,2020-01-03,1.02,1.025,1.028,1.014,579776,59321375.0,1.37,0.39,0.004,3.05
8,2020-01-06,1.021,1.039,1.05,1.016,689997,71695887.0,3.32,1.37,0.014,3.62
9,2020-01-07,1.041,1.047,1.047,1.034,424258,44145238.0,1.25,0.77,0.008,2.23
10,2020-01-08,1.04,1.031,1.047,1.029,389715,40371473.0,1.72,-1.53,-0.016,2.05
11,2020-01-09,1.039,1.055,1.055,1.039,593146,62197920.0,1.55,2.33,0.024,3.12
12,2020-01-10,1.055,1.063,1.068,1.053,559459,59408804.0,1.42,0.76,0.008,2.94
13,2020-01-13,1.065,1.095,1.096,1.061,457066,49431842.0,3.29,3.01,0.032,2.4
14,2020-01-14,1.1,1.082,1.11,1.08,451286,49111390.0,2.74,-1.19,-0.013,2.37
15,2020-01-15,1.083,1.095,1.098,1.077,374942,40743629.0,1.94,1.2,0.013,1.97
16,2020-01-16,1.094,1.103,1.11,1.093,450670,49677861.0,1.55,0.73,0.008,2.37
17,2020-01-17,1.105,1.097,1.11,1.096,324604,35786095.0,1.27,-0.54,-0.006,1.7
18,2020-01-20,1.097,1.125,1.126,1.09,618592,68801515.0,3.28,2.55,0.028,3.25
19,2020-01-21,1.12,1.113,1.123,1.106,607124,67671202.0,1.51,-1.07,-0.012,3.19
20,2020-01-22,1.109,1.144,1.152,1.096,888237,99762331.0,5.03,2.79,0.031,4.67
21,2020-01-23,1.132,1.106,1.152,1.083,1510937,169597114.0,6.03,-3.32,-0.038,7.94
22,2020-02-03,0.995,0.995,1.025,0.995,1129419,113349945.0,2.71,-10.04,-0.111,5.93
23,2020-02-04,0.997,1.048,1.051,0.997,1115864,115161830.0,5.43,5.33,0.053,5.86
24,2020-02-05,1.05,1.071,1.095,1.05,1066582,114502854.0,4.29,2.19,0.023,5.6
25,2020-02-06,1.071,1.114,1.115,1.051,974831,106879422.0,5.98,4.01,0.043,5.12
26,2020-02-07,1.113,1.149,1.149,1.109,1129996,127826633.0,3.59,3.14,0.035,5.93
27,2020-02-10,1.144,1.145,1.159,1.125,939183,107305579.0,2.96,-0.35,-0.004,4.93
28,2020-02-11,1.141,1.139,1.149,1.131,705436,80466540.0,1.57,-0.52,-0.006,3.71
29,2020-02-12,1.135,1.192,1.194,1.132,1050625,122516339.0,5.44,4.65,0.053,5.52
30,2020-02-13,1.19,1.192,1.208,1.173,1213065,144745757.0,2.94,0.0,0.0,6.37
31,2020-02-14,1.188,1.196,1.221,1.175,1276554,153017325.0,3.86,0.34,0.004,6.7
32,2020-02-17,1.202,1.231,1.232,1.2,934608,113726295.0,2.68,2.93,0.035,4.91
33,2020-02-18,1.237,1.269,1.269,1.225,1039872,129352750.0,3.57,3.09,0.038,5.46
34,2020-02-19,1.261,1.249,1.277,1.236,1800591,226333577.0,3.23,-1.58,-0.02,9.46
35,2020-02-20,1.243,1.273,1.275,1.233,1463372,183762925.0,3.36,1.92,0.024,7.69
36,2020-02-21,1.274,1.321,1.333,1.272,1703907,223407001.0,4.79,3.77,0.048,8.95
37,2020-02-24,1.323,1.371,1.377,1.312,2163777,290614304.0,4.92,3.79,0.05,11.36
38,2020-02-25,1.34,1.381,1.396,1.285,2646503,355917424.0,8.1,0.73,0.01,13.9
39,2020-02-26,1.345,1.296,1.36,1.286,1883463,249778705.0,5.36,-6.15,-0.085,9.89
40,2020-02-27,1.298,1.3,1.334,1.26,1715161,222560628.0,5.71,0.31,0.004,9.01
41,2020-02-28,1.239,1.216,1.28,1.213,1789190,222029245.0,5.15,-6.46,-0.084,9.4
42,2020-03-02,1.24,1.267,1.279,1.214,1353322,169314876.0,5.35,4.19,0.051,7.11
43,2020-03-03,1.301,1.287,1.335,1.269,1660938,216748447.0,5.21,1.58,0.02,8.72
44,2020-03-04,1.276,1.262,1.29,1.231,1213336,153131845.0,4.58,-1.94,-0.025,6.37
45,2020-03-05,1.292,1.258,1.3,1.236,1081110,136716881.0,5.07,-0.32,-0.004,5.68
46,2020-03-06,1.236,1.245,1.262,1.228,631475,78798543.0,2.7,-1.03,-0.013,3.32
47,2020-03-09,1.22,1.174,1.24,1.173,1080555,129578021.0,5.38,-5.7,-0.071,5.68
48,2020-03-10,1.16,1.23,1.231,1.16,1008368,120557792.0,6.05,4.77,0.056,5.3
49,2020-03-11,1.234,1.193,1.249,1.193,741900,90657547.0,4.55,-3.01,-0.037,3.9
50,2020-03-12,1.162,1.18,1.194,1.161,665661,78307347.0,2.77,-1.09,-0.013,3.5
51,2020-03-13,1.123,1.188,1.203,1.123,993117,115975673.0,6.78,0.68,0.008,5.22
52,2020-03-16,1.192,1.112,1.199,1.102,937401,107742058.0,8.16,-6.4,-0.076,4.92
53,2020-03-17,1.128,1.123,1.14,1.073,782824,86980491.0,6.03,0.99,0.011,4.11
54,2020-03-18,1.133,1.106,1.16,1.103,615931,69959875.0,5.08,-1.51,-0.017,3.23
55,2020-03-19,1.108,1.131,1.133,1.081,817861,90582629.0,4.7,2.26,0.025,4.3
56,2020-03-20,1.138,1.125,1.147,1.101,652031,73067516.0,4.07,-0.53,-0.006,3.42
57,2020-03-23,1.09,1.055,1.098,1.05,655694,70522805.0,4.27,-6.22,-0.07,3.44
58,2020-03-24,1.084,1.071,1.088,1.03,503077,53401175.0,5.5,1.52,0.016,2.64
59,2020-03-25,1.099,1.097,1.107,1.084,554899,60919881.0,2.15,2.43,0.026,2.91
