,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-20,0.795,0.792,0.796,0.79,1167304,116928272.0,0.0,0.0,0.0,3.01
1,2019-12-23,0.793,0.782,0.795,0.78,600428,59868602.0,1.89,-1.26,-0.01,1.55
2,2019-12-24,0.785,0.788,0.789,0.78,201611,20002917.0,1.15,0.77,0.006,0.52
3,2019-12-25,0.788,0.786,0.788,0.783,219647,21814798.0,0.63,-0.25,-0.002,0.57
4,2019-12-26,0.787,0.793,0.795,0.786,788868,78915262.0,1.15,0.89,0.007,2.03
5,2019-12-27,0.792,0.793,0.799,0.792,719828,72223183.0,0.88,0.0,0.0,1.86
6,2019-12-30,0.793,0.805,0.805,0.79,596910,60152581.0,1.89,1.51,0.012,1.54
7,2019-12-31,0.805,0.81,0.811,0.8,470645,47647861.0,1.37,0.62,0.005,1.21
8,2020-01-02,0.813,0.823,0.827,0.813,766440,78986936.0,1.73,1.6,0.013,1.98
9,2020-01-03,0.823,0.823,0.825,0.818,429115,44199455.0,0.85,0.0,0.0,1.11
10,2020-01-06,0.82,0.82,0.829,0.815,735132,75796464.0,1.7,-0.36,-0.003,1.9
11,2020-01-07,0.823,0.828,0.828,0.82,539392,55689063.0,0.98,0.98,0.008,1.39
12,2020-01-08,0.827,0.818,0.827,0.814,355464,36586389.0,1.57,-1.21,-0.01,0.92
13,2020-01-09,0.827,0.827,0.829,0.822,430890,44552927.0,0.86,1.1,0.009,1.11
14,2020-01-10,0.829,0.826,0.832,0.821,343948,35512703.0,1.33,-0.12,-0.001,0.89
15,2020-01-13,0.826,0.832,0.832,0.821,313417,32426804.0,1.33,0.73,0.006,0.81
16,2020-01-14,0.834,0.834,0.842,0.833,705390,73750404.0,1.08,0.24,0.002,1.82
17,2020-01-15,0.833,0.83,0.834,0.826,210854,21862239.0,0.96,-0.48,-0.004,0.54
18,2020-01-16,0.831,0.825,0.832,0.822,360035,37209881.0,1.2,-0.6,-0.005,0.93
19,2020-01-17,0.827,0.825,0.83,0.823,247855,25651675.0,0.85,0.0,0.0,0.64
20,2020-01-20,0.83,0.826,0.83,0.82,193229,19916346.0,1.21,0.12,0.001,0.5
21,2020-01-21,0.825,0.809,0.825,0.808,401397,40951790.0,2.06,-2.06,-0.017,1.04
22,2020-01-22,0.809,0.814,0.815,0.794,290386,29387476.0,2.6,0.62,0.005,0.75
23,2020-01-23,0.809,0.786,0.809,0.78,546335,54631624.0,3.56,-3.44,-0.028,1.41
24,2020-02-03,0.692,0.7,0.733,0.69,668127,60785592.0,5.47,-10.94,-0.086,1.72
25,2020-02-04,0.701,0.723,0.724,0.7,390005,35946668.0,3.43,3.29,0.023,1.01
26,2020-02-05,0.726,0.732,0.744,0.721,371742,34984669.0,3.18,1.24,0.009,0.96
27,2020-02-06,0.733,0.744,0.746,0.726,318640,30133238.0,2.73,1.64,0.012,0.82
28,2020-02-07,0.739,0.746,0.747,0.734,237989,22516988.0,1.75,0.27,0.002,0.61
29,2020-02-10,0.743,0.761,0.761,0.738,362595,34778040.0,3.08,2.01,0.015,0.94
30,2020-02-11,0.761,0.764,0.768,0.756,256921,24969876.0,1.58,0.39,0.003,0.66
31,2020-02-12,0.765,0.77,0.771,0.76,192721,18737182.0,1.44,0.79,0.006,0.5
32,2020-02-13,0.77,0.766,0.774,0.765,237202,23175369.0,1.17,-0.52,-0.004,0.61
33,2020-02-14,0.766,0.774,0.774,0.765,218700,21379379.0,1.17,1.04,0.008,0.56
34,2020-02-17,0.776,0.794,0.794,0.773,315456,31296032.0,2.71,2.58,0.02,0.81
35,2020-02-18,0.795,0.794,0.798,0.786,416260,41674151.0,1.51,0.0,0.0,1.07
36,2020-02-19,0.795,0.792,0.798,0.79,220033,22059208.0,1.01,-0.25,-0.002,0.57
37,2020-02-20,0.792,0.8,0.805,0.789,461548,46412056.0,2.02,1.01,0.008,1.19
38,2020-02-21,0.802,0.806,0.812,0.802,477506,48373339.0,1.25,0.75,0.006,1.23
39,2020-02-24,0.807,0.801,0.807,0.793,336564,33914629.0,1.74,-0.62,-0.005,0.87
40,2020-02-25,0.792,0.79,0.792,0.769,396144,39337834.0,2.87,-1.37,-0.011,1.02
41,2020-02-26,0.782,0.791,0.803,0.778,363164,36334490.0,3.16,0.13,0.001,0.94
42,2020-02-27,0.792,0.793,0.799,0.79,233150,23373091.0,1.14,0.25,0.002,0.6
43,2020-02-28,0.788,0.771,0.788,0.763,436078,42818216.0,3.15,-2.77,-0.022,1.12
44,2020-03-02,0.765,0.802,0.804,0.765,334010,33400210.0,5.06,4.02,0.031,0.86
45,2020-03-03,0.812,0.802,0.818,0.796,302733,30761661.0,2.74,0.0,0.0,0.78
46,2020-03-04,0.801,0.814,0.814,0.795,303417,30753153.0,2.37,1.5,0.012,0.78
47,2020-03-05,0.82,0.826,0.827,0.816,406886,41933463.0,1.35,1.47,0.012,1.05
48,2020-03-06,0.822,0.816,0.822,0.812,239477,24510763.0,1.21,-1.21,-0.01,0.62
49,2020-03-09,0.802,0.786,0.802,0.784,392247,39231804.0,2.21,-3.68,-0.03,1.01
50,2020-03-10,0.783,0.802,0.802,0.774,314313,31358936.0,3.56,2.04,0.016,0.81
51,2020-03-11,0.802,0.794,0.807,0.793,219871,22190366.0,1.75,-1.0,-0.008,0.57
52,2020-03-12,0.79,0.777,0.79,0.771,280457,27668262.0,2.39,-2.14,-0.017,0.72
53,2020-03-13,0.758,0.762,0.768,0.735,367072,35075514.0,4.25,-1.93,-0.015,0.95
54,2020-03-16,0.765,0.736,0.765,0.73,360617,34472027.0,4.59,-3.41,-0.026,0.93
55,2020-03-17,0.736,0.731,0.746,0.711,310149,29054444.0,4.76,-0.68,-0.005,0.8
56,2020-03-18,0.733,0.718,0.743,0.717,215798,20327454.0,3.56,-1.78,-0.013,0.56
57,2020-03-19,0.717,0.709,0.723,0.692,452244,41303942.0,4.32,-1.25,-0.009,1.17
58,2020-03-20,0.717,0.723,0.723,0.706,173857,16024333.0,2.4,1.97,0.014,0.45
59,2020-03-23,0.709,0.695,0.709,0.693,273813,24832714.0,2.21,-3.87,-0.028,0.71
60,2020-03-24,0.707,0.716,0.717,0.701,158872,14586870.0,2.3,3.02,0.021,0.41
61,2020-03-25,0.724,0.735,0.736,0.724,150571,14127165.0,1.68,2.65,0.019,0.39
62,2020-03-26,0.733,0.726,0.733,0.724,99952,9354082.0,1.22,-1.22,-0.009,0.26
63,2020-03-27,0.73,0.733,0.74,0.73,148504,13983114.0,1.38,0.96,0.007,0.38
64,2020-03-30,0.726,0.72,0.726,0.712,152081,14056781.0,1.91,-1.77,-0.013,0.39
65,2020-03-31,0.725,0.717,0.727,0.716,139419,12938837.0,1.53,-0.42,-0.003,0.36
66,2020-04-01,0.716,0.71,0.724,0.71,291791,27012512.0,1.95,-0.98,-0.007,0.75
67,2020-04-02,0.71,0.723,0.724,0.707,192638,17734628.0,2.39,1.83,0.013,0.5
68,2020-04-03,0.725,0.721,0.725,0.717,120398,11194886.0,1.11,-0.28,-0.002,0.31
69,2020-04-07,0.731,0.736,0.738,0.73,163936,15445638.0,1.11,2.08,0.015,0.42
