,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-11-15,1.007,1.0,1.013,0.998,2258166,227331611.0,0.0,0.0,0.0,189.85
1,2019-11-18,1.0,1.002,1.005,0.995,373223,37398584.0,1.0,0.2,0.002,31.38
2,2019-11-19,1.0,1.028,1.029,1.0,1273714,129757729.0,2.89,2.59,0.026,107.09
3,2019-11-20,1.028,1.022,1.036,1.021,465215,47940913.0,1.46,-0.58,-0.006,39.11
4,2019-11-21,1.019,1.016,1.024,1.014,120636,12268579.0,0.98,-0.59,-0.006,10.14
5,2019-11-22,1.018,1.0,1.029,0.998,199593,20192466.0,3.05,-1.57,-0.016,16.78
6,2019-11-25,1.0,0.991,1.0,0.982,78911,7808091.0,1.8,-0.9,-0.009,6.63
7,2019-11-26,0.99,0.994,0.999,0.989,58608,5816433.0,1.01,0.3,0.003,4.93
8,2019-11-27,0.99,0.994,0.997,0.988,30840,3061244.0,0.91,0.0,0.0,2.59
9,2019-11-28,0.998,0.99,0.998,0.987,19488,1930549.0,1.11,-0.4,-0.004,1.64
10,2019-11-29,0.985,0.982,0.99,0.971,53628,5257665.0,1.92,-0.81,-0.008,4.51
11,2019-12-02,0.981,0.98,0.987,0.978,70031,6873537.0,0.92,-0.2,-0.002,5.89
12,2019-12-03,0.977,0.981,0.983,0.969,41575,4049812.0,1.43,0.1,0.001,3.5
13,2019-12-04,0.981,0.982,0.986,0.976,24346,2392498.0,1.02,0.1,0.001,2.05
14,2019-12-05,0.985,0.999,1.001,0.985,113602,11322687.0,1.63,1.73,0.017,9.55
15,2019-12-06,0.994,1.006,1.006,0.994,112266,11242719.0,1.2,0.7,0.007,9.44
16,2019-12-09,1.007,1.0,1.008,0.999,92656,9287717.0,0.89,-0.6,-0.006,7.79
17,2019-12-10,0.998,1.009,1.011,0.998,122112,12286908.0,1.3,0.9,0.009,10.27
18,2019-12-11,1.009,1.008,1.015,1.005,186363,18824898.0,0.99,-0.1,-0.001,15.67
19,2019-12-12,1.004,1.006,1.013,1.004,128654,12992921.0,0.89,-0.2,-0.002,10.82
20,2019-12-13,1.015,1.022,1.022,1.011,358212,36446051.0,1.09,1.59,0.016,30.12
21,2019-12-16,1.021,1.036,1.037,1.021,464863,47909599.0,1.57,1.37,0.014,39.08
22,2019-12-17,1.037,1.04,1.047,1.035,289281,30105924.0,1.16,0.39,0.004,24.32
23,2019-12-18,1.041,1.042,1.049,1.038,287388,29987857.0,1.06,0.19,0.002,24.16
24,2019-12-19,1.042,1.04,1.048,1.033,230855,23968439.0,1.44,-0.19,-0.002,19.41
25,2019-12-20,1.036,1.031,1.043,1.031,191496,19845183.0,1.15,-0.87,-0.009,16.1
26,2019-12-23,1.031,1.013,1.031,1.013,143237,14642214.0,1.75,-1.75,-0.018,12.04
27,2019-12-24,1.021,1.033,1.033,1.018,88920,9110357.0,1.48,1.97,0.02,7.48
28,2019-12-25,1.033,1.037,1.05,1.029,192672,20101633.0,2.03,0.39,0.004,16.2
29,2019-12-26,1.037,1.046,1.048,1.037,102062,10662969.0,1.06,0.87,0.009,8.58
30,2019-12-27,1.045,1.036,1.054,1.036,140640,14723265.0,1.72,-0.96,-0.01,11.82
31,2019-12-30,1.036,1.048,1.049,1.025,64750,6763251.0,2.32,1.16,0.012,5.44
32,2019-12-31,1.046,1.054,1.058,1.046,126099,13289621.0,1.15,0.57,0.006,10.6
33,2020-01-02,1.058,1.077,1.081,1.057,337853,36349768.0,2.28,2.18,0.023,28.4
34,2020-01-03,1.078,1.081,1.084,1.074,412211,44515686.0,0.93,0.37,0.004,34.66
