,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-03-02,0.8,0.836,0.838,0.8,894357,89344150.0,0.0,0.0,0.0,11.39
1,2020-03-03,0.879,0.844,0.879,0.837,838680,85570537.0,5.02,0.96,0.008,10.68
2,2020-03-04,0.842,0.854,0.854,0.83,639425,64833415.0,2.84,1.18,0.01,8.14
3,2020-03-05,0.857,0.87,0.874,0.857,685694,71121231.0,1.99,1.87,0.016,8.73
4,2020-03-06,0.862,0.855,0.862,0.847,312080,31976717.0,1.72,-1.72,-0.015,3.98
5,2020-03-09,0.833,0.817,0.84,0.816,359843,35840056.0,2.81,-4.44,-0.038,4.58
6,2020-03-10,0.805,0.832,0.833,0.8,207078,20461666.0,4.04,1.84,0.015,2.64
7,2020-03-11,0.835,0.823,0.839,0.82,214776,21444287.0,2.28,-1.08,-0.009,2.74
8,2020-03-12,0.809,0.806,0.813,0.8,158742,15506492.0,1.58,-2.07,-0.017,2.02
9,2020-03-13,0.774,0.792,0.799,0.766,322338,30702461.0,4.09,-1.74,-0.014,4.11
10,2020-03-16,0.79,0.771,0.801,0.769,256522,24714628.0,4.04,-2.65,-0.021,3.27
11,2020-03-17,0.773,0.771,0.79,0.752,145329,13664137.0,4.93,0.0,0.0,1.85
12,2020-03-18,0.766,0.758,0.781,0.758,200870,18925326.0,2.98,-1.69,-0.013,2.56
13,2020-03-19,0.76,0.746,0.76,0.726,202535,18487704.0,4.49,-1.58,-0.012,2.58
14,2020-03-20,0.748,0.758,0.758,0.742,216906,19922999.0,2.14,1.61,0.012,2.76
15,2020-03-23,0.749,0.734,0.749,0.73,196762,17834915.0,2.51,-3.17,-0.024,2.51
16,2020-03-24,0.738,0.758,0.759,0.738,202934,18670500.0,2.86,3.27,0.024,2.58
17,2020-03-25,0.758,0.768,0.775,0.758,200649,18781315.0,2.24,1.32,0.01,2.56
18,2020-03-26,0.759,0.759,0.765,0.757,181719,16920935.0,1.04,-1.17,-0.009,2.31
19,2020-03-27,0.769,0.761,0.769,0.76,147593,13788914.0,1.19,0.26,0.002,1.88
20,2020-03-30,0.761,0.759,0.764,0.749,171305,15869270.0,1.97,-0.26,-0.002,2.18
21,2020-03-31,0.761,0.755,0.765,0.754,137123,12757556.0,1.45,-0.53,-0.004,1.75
