,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-04-17,1.001,1.003,1.011,0.999,1770473,177587622.0,0.0,0.0,0.0,450.29
1,2020-04-20,1.003,1.003,1.006,0.999,704276,70638180.0,0.7,0.0,0.0,179.12
2,2020-04-21,1.002,1.002,1.006,0.998,162366,16305695.0,0.8,-0.1,-0.001,41.29
3,2020-04-22,1.0,1.0,1.0,0.995,46296,4615761.0,0.5,-0.2,-0.002,11.77
4,2020-04-23,1.0,0.995,1.0,0.994,74000,7384809.0,0.6,-0.5,-0.005,18.82
5,2020-04-24,0.995,0.993,0.995,0.99,79467,7888546.0,0.5,-0.2,-0.002,20.21
6,2020-04-27,0.994,1.011,1.015,0.994,151086,15277785.0,2.11,1.81,0.018,38.43
7,2020-04-28,1.011,1.012,1.014,1.001,66429,6714812.0,1.29,0.1,0.001,16.9
8,2020-04-29,1.012,1.034,1.036,1.012,100648,10360585.0,2.37,2.17,0.022,25.6
9,2020-04-30,1.035,1.04,1.05,1.035,74571,7773948.0,1.45,0.58,0.006,18.97
10,2020-05-06,1.037,1.03,1.037,1.021,36889,3787890.0,1.54,-0.96,-0.01,9.38
11,2020-05-07,1.029,1.023,1.029,1.02,24099,2464970.0,0.87,-0.68,-0.007,6.13
12,2020-05-08,1.023,1.031,1.035,1.023,35495,3655790.0,1.17,0.78,0.008,9.03
13,2020-05-11,1.031,1.03,1.04,1.03,55199,5708388.0,0.97,-0.1,-0.001,14.04
14,2020-05-12,1.031,1.023,1.032,1.021,32027,3281868.0,1.07,-0.68,-0.007,8.15
15,2020-05-13,1.023,1.022,1.023,1.016,31421,3205061.0,0.68,-0.1,-0.001,7.99
16,2020-05-14,1.022,1.011,1.022,1.011,28881,2930977.0,1.08,-1.08,-0.011,7.35
17,2020-05-15,1.015,1.013,1.022,1.011,36621,3719310.0,1.09,0.2,0.002,9.31
18,2020-05-18,1.011,1.014,1.019,1.01,31372,3188893.0,0.89,0.1,0.001,7.98
19,2020-05-19,1.017,1.021,1.025,1.017,33342,3404734.0,0.79,0.69,0.007,8.48
20,2020-05-20,1.019,1.023,1.026,1.017,28163,2869467.0,0.88,0.2,0.002,7.16
21,2020-05-21,1.024,1.02,1.028,1.02,22888,2345969.0,0.78,-0.29,-0.003,5.82
22,2020-05-22,1.019,1.003,1.019,1.003,51111,5177081.0,1.57,-1.67,-0.017,13.0
23,2020-05-25,1.007,1.005,1.008,1.002,23825,2395010.0,0.6,0.2,0.002,6.06
24,2020-05-26,1.006,1.01,1.01,1.006,24362,2455851.0,0.4,0.5,0.005,6.2
25,2020-05-27,1.007,1.014,1.017,1.007,30426,3086922.0,0.99,0.4,0.004,7.74
26,2020-05-28,1.02,1.026,1.033,1.02,51928,5329167.0,1.28,1.18,0.012,13.21
27,2020-05-29,1.019,1.016,1.019,1.016,41018,4171313.0,0.29,-0.97,-0.01,10.43
28,2020-06-01,1.02,1.029,1.032,1.02,44476,4568791.0,1.18,1.28,0.013,11.31
29,2020-06-02,1.028,1.034,1.037,1.028,138753,14337909.0,0.87,0.49,0.005,35.29
30,2020-06-03,1.033,1.037,1.05,1.033,56620,5881842.0,1.64,0.29,0.003,14.4
31,2020-06-04,1.037,1.034,1.038,1.031,28493,2947956.0,0.68,-0.29,-0.003,7.25
32,2020-06-05,1.034,1.034,1.034,1.029,26906,2773613.0,0.48,0.0,0.0,6.84
33,2020-06-08,1.04,1.031,1.042,1.031,28394,2935045.0,1.06,-0.29,-0.003,7.22
34,2020-06-09,1.032,1.034,1.036,1.031,15716,1623518.0,0.48,0.29,0.003,4.0
35,2020-06-10,1.035,1.028,1.035,1.028,22480,2313312.0,0.68,-0.58,-0.006,5.72
36,2020-06-11,1.025,1.018,1.025,1.017,54001,5521563.0,0.78,-0.97,-0.01,13.73
37,2020-06-12,1.011,1.018,1.019,1.009,48075,4869570.0,0.98,0.0,0.0,12.23
38,2020-06-15,1.014,1.01,1.016,1.009,4057,411103.0,0.69,-0.79,-0.008,1.03
39,2020-06-16,1.01,1.015,1.017,1.01,37354,3788444.0,0.69,0.5,0.005,9.5
40,2020-06-17,1.013,1.015,1.015,1.011,25115,2544520.0,0.39,0.0,0.0,6.39
41,2020-06-18,1.003,1.01,1.013,1.001,35458,3560413.0,1.18,-0.49,-0.005,9.02
42,2020-06-19,1.012,1.015,1.018,1.008,32435,3284209.0,0.99,0.5,0.005,8.25
43,2020-06-22,1.013,1.011,1.015,1.009,38324,3874262.0,0.59,-0.39,-0.004,9.75
44,2020-06-23,1.011,1.003,1.011,1.003,5127,515374.0,0.79,-0.79,-0.008,1.3
45,2020-06-24,1.006,1.017,1.017,1.006,22257,2255197.0,1.1,1.4,0.014,5.66
46,2020-06-29,1.021,1.014,1.027,1.012,19592,1994690.0,1.47,-0.29,-0.003,4.98
47,2020-06-30,1.017,1.015,1.018,1.012,34314,3482196.0,0.59,0.1,0.001,8.73
48,2020-07-01,1.013,1.035,1.036,1.013,61037,6237783.0,2.27,1.97,0.02,15.52
49,2020-07-02,1.035,1.053,1.053,1.028,47032,4911718.0,2.42,1.74,0.018,11.96
50,2020-07-03,1.053,1.081,1.083,1.053,34154,3672605.0,2.85,2.66,0.028,8.69
51,2020-07-06,1.086,1.189,1.189,1.086,62936,7199412.0,9.53,9.99,0.108,16.01
52,2020-07-07,1.214,1.175,1.308,1.171,66398,7973610.0,11.52,-1.18,-0.014,16.89
53,2020-07-08,1.175,1.177,1.193,1.159,58007,6825230.0,2.89,0.17,0.002,14.75
54,2020-07-09,1.178,1.161,1.178,1.151,56582,6572741.0,2.29,-1.36,-0.016,14.39
55,2020-07-10,1.156,1.119,1.158,1.115,58628,6630432.0,3.7,-3.62,-0.042,14.91
56,2020-07-13,1.118,1.12,1.133,1.106,40856,4571322.0,2.41,0.09,0.001,10.39
57,2020-07-14,1.12,1.109,1.123,1.101,55000,6131499.0,1.96,-0.98,-0.011,13.99
58,2020-07-15,1.111,1.089,1.112,1.085,38647,4214569.0,2.43,-1.8,-0.02,9.83
