,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-25,1.027,1.032,1.035,1.022,1163123,119719799.0,0.0,0.0,0.0,458.9
1,2019-12-26,1.028,1.037,1.037,1.026,253041,26109095.0,1.07,0.48,0.005,99.84
2,2019-12-27,1.036,1.031,1.044,1.031,122302,12712748.0,1.25,-0.58,-0.006,48.25
3,2019-12-30,1.031,1.04,1.043,1.019,210899,21825609.0,2.33,0.87,0.009,83.21
4,2019-12-31,1.041,1.046,1.047,1.026,93505,9746781.0,2.02,0.58,0.006,36.89
5,2020-01-02,1.047,1.062,1.067,1.047,112832,11974548.0,1.91,1.53,0.016,44.52
6,2020-01-03,1.061,1.066,1.069,1.06,64372,6848367.0,0.85,0.38,0.004,25.4
7,2020-01-06,1.056,1.078,1.087,1.056,135137,14543800.0,2.91,1.13,0.012,53.32
8,2020-01-07,1.078,1.086,1.087,1.075,65515,7095850.0,1.11,0.74,0.008,25.85
9,2020-01-08,1.077,1.075,1.086,1.071,39908,4306404.0,1.38,-1.01,-0.011,15.75
10,2020-01-09,1.082,1.087,1.089,1.082,33417,3626319.0,0.65,1.12,0.012,13.18
11,2020-01-10,1.087,1.088,1.089,1.076,34596,3751299.0,1.2,0.09,0.001,13.65
12,2020-01-13,1.087,1.092,1.098,1.084,24774,2692484.0,1.29,0.37,0.004,9.77
13,2020-01-14,1.091,1.091,1.1,1.091,20740,2275297.0,0.82,-0.09,-0.001,8.18
14,2020-01-15,1.091,1.09,1.092,1.085,18496,2011776.0,0.64,-0.09,-0.001,7.3
15,2020-01-16,1.088,1.089,1.094,1.088,18549,2024159.0,0.55,-0.09,-0.001,7.32
16,2020-01-17,1.089,1.085,1.094,1.085,29307,3194710.0,0.83,-0.37,-0.004,11.56
17,2020-01-20,1.084,1.104,1.105,1.084,29474,3229898.0,1.94,1.75,0.019,11.63
18,2020-01-21,1.104,1.089,1.104,1.087,24410,2673196.0,1.54,-1.36,-0.015,9.63
19,2020-01-22,1.086,1.09,1.104,1.073,13409,1458843.0,2.85,0.09,0.001,5.29
20,2020-01-23,1.089,1.069,1.096,1.05,25259,2723939.0,4.22,-1.93,-0.021,9.97
21,2020-02-03,0.98,0.962,0.98,0.962,12000,1157147.0,1.68,-10.01,-0.107,4.73
22,2020-02-04,0.942,1.003,1.005,0.899,19730,1952652.0,11.02,4.26,0.041,7.78
23,2020-02-05,1.01,1.018,1.031,1.01,12104,1234471.0,2.09,1.5,0.015,4.78
24,2020-02-06,1.013,1.033,1.052,1.013,11393,1185124.0,3.83,1.47,0.015,4.5
25,2020-02-07,1.036,1.058,1.058,1.036,7080,742220.0,2.13,2.42,0.025,2.79
26,2020-02-10,1.058,1.066,1.066,1.04,25257,2679446.0,2.46,0.76,0.008,9.97
27,2020-02-11,1.048,1.063,1.068,1.048,11081,1176146.0,1.88,-0.28,-0.003,4.37
28,2020-02-12,1.052,1.082,1.084,1.052,17016,1819243.0,3.01,1.79,0.019,6.71
29,2020-02-13,1.068,1.076,1.084,1.067,11034,1188365.0,1.57,-0.55,-0.006,4.35
30,2020-02-14,1.078,1.072,1.083,1.072,10295,1107734.0,1.02,-0.37,-0.004,4.06
31,2020-02-17,1.079,1.108,1.108,1.079,23429,2575867.0,2.71,3.36,0.036,9.24
32,2020-02-18,1.112,1.12,1.12,1.105,17417,1939902.0,1.35,1.08,0.012,6.87
33,2020-02-19,1.12,1.112,1.123,1.109,7763,866479.0,1.25,-0.71,-0.008,3.06
34,2020-02-20,1.113,1.129,1.132,1.106,16592,1854306.0,2.34,1.53,0.017,6.55
35,2020-02-21,1.152,1.142,1.152,1.131,5932,676947.0,1.86,1.15,0.013,2.34
36,2020-02-24,1.142,1.165,1.165,1.129,12684,1460540.0,3.15,2.01,0.023,5.0
37,2020-02-25,1.141,1.162,1.165,1.114,17062,1949537.0,4.38,-0.26,-0.003,6.73
38,2020-02-26,1.145,1.134,1.158,1.134,14595,1679696.0,2.07,-2.41,-0.028,5.76
39,2020-02-27,1.14,1.135,1.151,1.13,4477,509136.0,1.85,0.09,0.001,1.77
40,2020-02-28,1.112,1.077,1.117,1.077,13699,1499167.0,3.52,-5.11,-0.058,5.4
41,2020-03-02,1.068,1.127,1.129,1.068,7924,881250.0,5.66,4.64,0.05,3.13
42,2020-03-03,1.15,1.129,1.154,1.125,1364,156102.0,2.57,0.18,0.002,0.54
43,2020-03-04,1.12,1.13,1.131,1.114,6503,729643.0,1.51,0.09,0.001,2.57
44,2020-03-05,1.144,1.146,1.149,1.137,9966,1139643.0,1.06,1.42,0.016,3.93
45,2020-03-06,1.139,1.146,1.146,1.134,1829,208728.0,1.05,0.0,0.0,0.72
46,2020-03-09,1.136,1.096,1.136,1.095,6681,740339.0,3.58,-4.36,-0.05,2.64
47,2020-03-10,1.09,1.126,1.126,1.08,11929,1314064.0,4.2,2.74,0.03,4.71
48,2020-03-11,1.126,1.111,1.13,1.109,1500,168239.0,1.87,-1.33,-0.015,0.59
49,2020-03-12,1.109,1.09,1.109,1.084,3130,340399.0,2.25,-1.89,-0.021,1.23
50,2020-03-13,1.068,1.082,1.092,0.982,4876,520419.0,10.09,-0.73,-0.008,1.92
51,2020-03-16,1.084,1.06,1.084,1.03,4514,475308.0,4.99,-2.03,-0.022,1.78
52,2020-03-17,1.054,1.021,1.054,1.018,4910,509282.0,3.4,-3.68,-0.039,1.94
53,2020-03-18,1.049,1.043,1.068,1.027,2389,251046.0,4.02,2.15,0.022,0.94
54,2020-03-19,1.04,1.029,1.04,1.006,2658,271385.0,3.26,-1.34,-0.014,1.05
55,2020-03-20,1.029,1.044,1.044,1.027,720,74845.0,1.65,1.46,0.015,0.28
56,2020-03-23,1.023,0.998,1.044,0.996,8706,874733.0,4.6,-4.41,-0.046,3.43
57,2020-03-24,1.018,1.021,1.023,1.0,7359,745367.0,2.3,2.3,0.023,2.9
58,2020-03-25,1.042,1.044,1.066,1.034,2628,273862.0,3.13,2.25,0.023,1.04
59,2020-03-26,1.04,1.036,1.04,1.036,580,60296.0,0.38,-0.77,-0.008,0.23
60,2020-03-27,1.042,1.03,1.044,1.03,1409,146202.0,1.35,-0.58,-0.006,0.56
61,2020-03-30,1.01,1.006,1.011,0.997,8670,868669.0,1.36,-2.33,-0.024,3.42
62,2020-03-31,1.015,1.012,1.02,1.01,6577,666958.0,0.99,0.6,0.006,2.59
63,2020-04-01,1.018,1.007,1.024,1.007,569,57951.0,1.68,-0.49,-0.005,0.22
64,2020-04-02,1.012,1.029,1.029,1.011,4760,486003.0,1.79,2.18,0.022,1.88
65,2020-04-03,1.03,1.024,1.03,1.022,273,27964.0,0.78,-0.49,-0.005,0.11
66,2020-04-07,1.042,1.05,1.056,1.041,3866,405863.0,1.46,2.54,0.026,1.53
67,2020-04-08,1.051,1.051,1.055,1.049,1681,176727.0,0.57,0.1,0.001,0.66
68,2020-04-09,1.057,1.065,1.065,1.057,3171,336266.0,0.76,1.33,0.014,1.25
69,2020-04-10,1.053,1.041,1.056,1.04,5625,588368.0,1.5,-2.25,-0.024,2.22
