,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-04-09,0.901,0.899,0.901,0.892,191361,17154098.0,0.0,0.0,0.0,167.22
1,2020-04-10,0.895,0.9,0.954,0.893,20316,1828004.0,6.79,0.11,0.001,17.75
2,2020-04-13,0.897,0.89,0.9,0.888,14528,1299260.0,1.33,-1.11,-0.01,12.69
3,2020-04-14,0.891,0.9,0.904,0.891,4824,432469.0,1.46,1.12,0.01,4.22
4,2020-04-15,0.897,0.898,0.91,0.897,17672,1594837.0,1.44,-0.22,-0.002,15.44
5,2020-04-16,0.899,0.893,0.901,0.892,18387,1648927.0,1.0,-0.56,-0.005,16.07
6,2020-04-17,0.9,0.923,0.927,0.9,36933,3355047.0,3.02,3.36,0.03,32.27
7,2020-04-20,0.92,0.914,0.92,0.902,3141,285976.0,1.95,-0.98,-0.009,2.74
8,2020-04-21,0.899,0.902,0.914,0.889,4731,424387.0,2.74,-1.31,-0.012,4.13
9,2020-04-22,0.89,0.909,0.91,0.89,12867,1163744.0,2.22,0.78,0.007,11.24
10,2020-04-23,0.905,0.912,0.919,0.905,11846,1079681.0,1.54,0.33,0.003,10.35
11,2020-04-24,0.916,0.913,0.917,0.903,12195,1107913.0,1.54,0.11,0.001,10.66
12,2020-04-27,0.906,0.912,0.917,0.906,18228,1662324.0,1.2,-0.11,-0.001,15.93
13,2020-04-28,0.908,0.921,0.924,0.9,23595,2156427.0,2.63,0.99,0.009,20.62
14,2020-04-29,0.917,0.918,0.92,0.914,7329,671033.0,0.65,-0.33,-0.003,6.4
15,2020-04-30,0.925,0.926,0.936,0.924,5366,497761.0,1.31,0.87,0.008,4.69
16,2020-05-06,0.918,0.94,0.941,0.918,17100,1590073.0,2.48,1.51,0.014,14.94
17,2020-05-07,0.94,0.947,0.948,0.926,7575,710919.0,2.34,0.74,0.007,6.62
18,2020-05-08,0.948,0.955,0.971,0.938,15918,1510364.0,3.48,0.84,0.008,13.91
19,2020-05-11,0.973,0.949,0.973,0.944,13632,1295278.0,3.04,-0.63,-0.006,11.91
20,2020-05-12,0.946,0.952,0.953,0.946,6457,613333.0,0.74,0.32,0.003,5.64
21,2020-05-13,0.952,0.963,0.964,0.947,5505,522949.0,1.79,1.16,0.011,4.81
22,2020-05-14,0.951,0.944,0.957,0.938,2081,196021.0,1.97,-1.97,-0.019,1.82
23,2020-05-15,0.945,0.938,0.948,0.936,6450,605768.0,1.27,-0.64,-0.006,5.64
24,2020-05-18,0.937,0.943,0.947,0.937,2140,201917.0,1.07,0.53,0.005,1.87
25,2020-05-19,0.945,0.955,0.955,0.941,11477,1090766.0,1.48,1.27,0.012,10.03
26,2020-05-20,0.953,0.95,0.955,0.943,3944,373380.0,1.26,-0.52,-0.005,3.45
27,2020-05-21,0.951,0.949,0.955,0.946,12091,1149424.0,0.95,-0.11,-0.001,10.57
28,2020-05-22,0.947,0.929,0.947,0.923,10255,959178.0,2.53,-2.11,-0.02,8.96
29,2020-05-25,0.92,0.939,0.94,0.92,7650,709497.0,2.15,1.08,0.01,6.68
30,2020-05-26,0.935,0.938,0.944,0.92,5338,499259.0,2.56,-0.11,-0.001,4.66
31,2020-05-27,0.934,0.933,0.938,0.93,1951,181665.0,0.85,-0.53,-0.005,1.7
32,2020-05-28,0.937,0.935,0.937,0.922,6525,608941.0,1.61,0.21,0.002,5.7
33,2020-05-29,0.928,0.936,0.939,0.928,10254,959341.0,1.18,0.11,0.001,8.96
34,2020-06-01,0.943,0.965,0.97,0.943,33701,3227607.0,2.88,3.1,0.029,29.45
35,2020-06-02,0.939,0.954,0.961,0.939,2919,277961.0,2.28,-1.14,-0.011,2.55
36,2020-06-03,0.962,0.956,0.969,0.956,15878,1527507.0,1.36,0.21,0.002,13.87
37,2020-06-04,0.963,0.965,0.97,0.959,19426,1869886.0,1.15,0.94,0.009,16.97
38,2020-06-05,0.96,0.968,0.972,0.955,14771,1423576.0,1.76,0.31,0.003,12.91
39,2020-06-08,0.968,0.975,0.99,0.968,17242,1682593.0,2.27,0.72,0.007,15.07
40,2020-06-09,0.983,0.98,0.989,0.977,6926,680863.0,1.23,0.51,0.005,6.05
41,2020-06-10,0.978,0.98,0.98,0.975,7441,727908.0,0.51,0.0,0.0,6.5
42,2020-06-11,0.974,0.976,0.98,0.964,11672,1137261.0,1.63,-0.41,-0.004,10.2
43,2020-06-12,0.956,0.974,0.978,0.956,11009,1064970.0,2.25,-0.2,-0.002,9.62
44,2020-06-15,0.96,0.967,0.977,0.958,8211,789960.0,1.95,-0.72,-0.007,7.18
45,2020-06-16,0.96,0.973,0.973,0.96,7583,732889.0,1.34,0.62,0.006,6.63
46,2020-06-17,0.973,0.971,0.973,0.962,2746,265334.0,1.13,-0.21,-0.002,2.4
47,2020-06-18,0.972,0.972,0.972,0.965,6138,592658.0,0.72,0.1,0.001,5.36
48,2020-06-19,0.973,0.983,0.988,0.973,17271,1698411.0,1.54,1.13,0.011,15.09
49,2020-06-22,0.983,0.984,0.989,0.975,7719,758502.0,1.42,0.1,0.001,6.75
50,2020-06-23,0.987,0.991,0.994,0.976,11635,1148364.0,1.83,0.71,0.007,10.17
51,2020-06-24,0.991,1.003,1.003,0.991,131258,13145195.0,1.21,1.21,0.012,114.7
52,2020-06-29,0.991,0.996,1.0,0.989,7044,697687.0,1.1,-0.7,-0.007,6.16
53,2020-06-30,1.001,1.006,1.008,1.0,47710,4797787.0,0.8,1.0,0.01,41.69
54,2020-07-01,1.006,1.032,1.036,1.006,229026,23372650.0,2.98,2.58,0.026,200.13
55,2020-07-02,1.032,1.051,1.063,1.032,170075,17878982.0,3.0,1.84,0.019,148.62
56,2020-07-03,1.05,1.064,1.065,1.05,155430,16454488.0,1.43,1.24,0.013,135.82
57,2020-07-06,1.047,1.107,1.119,1.047,145641,15981835.0,6.77,4.04,0.043,127.26
58,2020-07-07,1.107,1.115,1.15,1.107,101462,11436065.0,3.88,0.72,0.008,88.66
59,2020-07-08,1.112,1.115,1.127,1.064,61348,6825982.0,5.65,0.0,0.0,53.61
60,2020-07-09,1.113,1.144,1.148,1.113,73485,8311741.0,3.14,2.6,0.029,64.21
61,2020-07-10,1.143,1.134,1.143,1.124,36983,4186603.0,1.66,-0.87,-0.01,32.32
62,2020-07-13,1.126,1.16,1.167,1.126,33054,3785437.0,3.62,2.29,0.026,28.88
63,2020-07-14,1.148,1.154,1.155,1.124,18898,2150648.0,2.67,-0.52,-0.006,16.51
64,2020-07-15,1.155,1.145,1.158,1.126,41572,4788752.0,2.77,-0.78,-0.009,36.33
65,2020-07-16,1.14,1.109,1.141,1.065,49102,5425099.0,6.64,-3.14,-0.036,42.91
66,2020-07-17,1.076,1.127,1.13,1.075,43157,4734364.0,4.96,1.62,0.018,37.71
67,2020-07-20,1.127,1.123,1.135,1.108,83705,9401613.0,2.4,-0.35,-0.004,73.14
68,2020-07-21,1.124,1.137,1.142,1.124,16301,1851595.0,1.6,1.25,0.014,14.24
