,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-20,1.075,1.096,1.097,1.075,2912542,315847824.0,0.0,0.0,0.0,1207.84
1,2020-01-21,1.095,1.081,1.095,1.08,615795,66953863.0,1.37,-1.37,-0.015,255.37
2,2020-01-22,1.082,1.089,1.094,1.066,383550,41468278.0,2.59,0.74,0.008,159.06
3,2020-01-23,1.075,1.046,1.087,1.03,376317,39452414.0,5.23,-3.95,-0.043,156.06
4,2020-02-03,0.945,0.941,0.97,0.941,153521,14504209.0,2.77,-10.04,-0.105,63.67
5,2020-02-04,0.916,0.977,0.978,0.916,205147,19816811.0,6.59,3.83,0.036,85.07
6,2020-02-05,0.966,1.001,1.006,0.966,203375,20266186.0,4.09,2.46,0.024,84.34
7,2020-02-06,0.998,1.027,1.032,0.997,247763,25223926.0,3.5,2.6,0.026,102.75
8,2020-02-07,1.026,1.034,1.035,1.018,238230,24490598.0,1.66,0.68,0.007,98.79
9,2020-02-10,1.031,1.042,1.046,1.026,175474,18213469.0,1.93,0.77,0.008,72.77
10,2020-02-11,1.043,1.045,1.046,1.035,197551,20590190.0,1.06,0.29,0.003,81.92
11,2020-02-12,1.044,1.054,1.059,1.038,193260,20272708.0,2.01,0.86,0.009,80.15
12,2020-02-13,1.052,1.043,1.056,1.043,155894,16373824.0,1.23,-1.04,-0.011,64.65
13,2020-02-14,1.039,1.045,1.054,1.039,129544,13571430.0,1.44,0.19,0.002,53.72
14,2020-02-17,1.044,1.077,1.078,1.044,194650,20807516.0,3.25,3.06,0.032,80.72
15,2020-02-18,1.082,1.085,1.091,1.069,230462,24974204.0,2.04,0.74,0.008,95.57
16,2020-02-19,1.084,1.083,1.092,1.08,226660,24668741.0,1.11,-0.18,-0.002,94.0
17,2020-02-20,1.082,1.097,1.099,1.078,191415,20853237.0,1.94,1.29,0.014,79.38
18,2020-02-21,1.1,1.108,1.118,1.09,190330,21034892.0,2.55,1.0,0.011,78.93
19,2020-02-24,1.108,1.123,1.126,1.102,157436,17523239.0,2.17,1.35,0.015,65.29
20,2020-02-25,1.118,1.119,1.124,1.093,184733,20495462.0,2.76,-0.36,-0.004,76.61
21,2020-02-26,1.09,1.103,1.122,1.09,156470,17393835.0,2.86,-1.43,-0.016,64.89
22,2020-02-27,1.1,1.104,1.122,1.1,67073,7438776.0,1.99,0.09,0.001,27.82
23,2020-02-28,1.094,1.052,1.094,1.051,165734,17748153.0,3.89,-4.71,-0.052,68.73
24,2020-03-02,1.052,1.09,1.094,1.052,90423,9791440.0,3.99,3.61,0.038,37.5
25,2020-03-03,1.09,1.11,1.122,1.09,160210,17786609.0,2.94,1.83,0.02,66.44
26,2020-03-04,1.106,1.105,1.108,1.089,45338,4980681.0,1.71,-0.45,-0.005,18.8
27,2020-03-05,1.107,1.125,1.127,1.107,125121,14032882.0,1.81,1.81,0.02,51.89
28,2020-03-06,1.123,1.12,1.124,1.114,37317,4177442.0,0.89,-0.44,-0.005,15.48
29,2020-03-09,1.115,1.09,1.115,1.082,203331,22236258.0,2.95,-2.68,-0.03,84.32
30,2020-03-10,1.088,1.106,1.11,1.051,100961,11005263.0,5.41,1.47,0.016,41.87
31,2020-03-11,1.106,1.097,1.106,1.092,67473,7430833.0,1.27,-0.81,-0.009,27.98
32,2020-03-12,1.1,1.083,1.1,1.076,22531,2437573.0,2.19,-1.28,-0.014,9.34
33,2020-03-13,1.053,1.067,1.073,1.011,69914,7376246.0,5.72,-1.48,-0.016,28.99
34,2020-03-16,1.067,1.019,1.071,1.018,65238,6831301.0,4.97,-4.5,-0.048,27.05
35,2020-03-17,1.019,1.016,1.042,0.998,46177,4690288.0,4.32,-0.29,-0.003,19.15
36,2020-03-18,1.018,1.003,1.039,0.999,26326,2690485.0,3.94,-1.28,-0.013,10.92
37,2020-03-19,1.01,1.01,1.015,0.984,47944,4793665.0,3.09,0.7,0.007,19.88
38,2020-03-20,1.013,1.016,1.016,1.0,10680,1080076.0,1.58,0.59,0.006,4.43
39,2020-03-23,1.008,0.985,1.008,0.982,36148,3584525.0,2.56,-3.05,-0.031,14.99
40,2020-03-24,0.992,0.999,1.011,0.975,43584,4336929.0,3.65,1.42,0.014,18.07
41,2020-03-25,1.006,1.02,1.025,1.006,22956,2333358.0,1.9,2.1,0.021,9.52
