,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-06,1.016,1.022,1.022,1.01,3864265,392823376.0,0.0,0.0,0.0,74.72
1,2019-12-09,1.025,1.023,1.027,1.019,1600271,163745779.0,0.78,0.1,0.001,30.94
2,2019-12-10,1.02,1.033,1.035,1.016,1111413,114176956.0,1.86,0.98,0.01,21.49
3,2019-12-11,1.033,1.025,1.036,1.02,601339,61779030.0,1.55,-0.77,-0.008,11.63
4,2019-12-12,1.022,1.029,1.037,1.022,864560,89146017.0,1.46,0.39,0.004,16.72
5,2019-12-13,1.038,1.045,1.046,1.03,1252493,130183981.0,1.55,1.55,0.016,24.22
6,2019-12-16,1.045,1.062,1.062,1.044,1218978,128449251.0,1.72,1.63,0.017,23.57
7,2019-12-17,1.063,1.071,1.076,1.059,1154553,123338062.0,1.6,0.85,0.009,22.33
8,2019-12-18,1.071,1.068,1.078,1.064,969942,103777853.0,1.31,-0.28,-0.003,18.76
9,2019-12-19,1.068,1.064,1.07,1.056,700074,74381003.0,1.31,-0.37,-0.004,13.54
10,2019-12-20,1.064,1.056,1.071,1.055,446189,47343816.0,1.5,-0.75,-0.008,8.63
11,2019-12-23,1.054,1.032,1.054,1.03,769044,79962731.0,2.27,-2.27,-0.024,14.87
12,2019-12-24,1.03,1.049,1.05,1.03,480816,50019954.0,1.94,1.65,0.017,9.3
13,2019-12-25,1.05,1.06,1.062,1.043,858826,90747548.0,1.81,1.05,0.011,16.61
14,2019-12-26,1.059,1.061,1.065,1.054,481897,51048503.0,1.04,0.09,0.001,9.32
15,2019-12-27,1.062,1.049,1.069,1.049,751340,79670291.0,1.89,-1.13,-0.012,14.53
16,2019-12-30,1.047,1.057,1.06,1.032,535744,56178459.0,2.67,0.76,0.008,10.36
17,2019-12-31,1.055,1.062,1.066,1.051,555115,58904827.0,1.42,0.47,0.005,10.73
18,2020-01-02,1.066,1.087,1.092,1.065,1396154,151079898.0,2.54,2.35,0.025,27.0
19,2020-01-03,1.087,1.092,1.096,1.083,919202,100265756.0,1.2,0.46,0.005,17.77
20,2020-01-06,1.087,1.1,1.111,1.083,894246,98290478.0,2.56,0.73,0.008,17.29
21,2020-01-07,1.1,1.103,1.107,1.092,606018,66585670.0,1.36,0.27,0.003,11.72
22,2020-01-08,1.098,1.09,1.102,1.087,809324,88568474.0,1.36,-1.18,-0.013,15.65
23,2020-01-09,1.097,1.112,1.113,1.097,734071,81188867.0,1.47,2.02,0.022,14.19
24,2020-01-10,1.115,1.121,1.127,1.112,660024,73893028.0,1.35,0.81,0.009,12.76
25,2020-01-13,1.123,1.155,1.156,1.122,1027676,117361228.0,3.03,3.03,0.034,19.87
