,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-06-19,1.027,1.039,1.045,1.026,3036523,314057952.0,0.0,0.0,0.0,417.52
1,2020-06-22,1.041,1.043,1.048,1.038,1065700,111188223.0,0.96,0.38,0.004,146.53
2,2020-06-23,1.043,1.049,1.05,1.036,1245276,130038915.0,1.34,0.58,0.006,171.23
3,2020-06-24,1.049,1.055,1.057,1.049,880610,92735918.0,0.76,0.57,0.006,121.08
4,2020-06-29,1.05,1.052,1.055,1.047,1461530,153438139.0,0.76,-0.28,-0.003,200.96
5,2020-06-30,1.05,1.064,1.068,1.05,827641,87824310.0,1.71,1.14,0.012,113.8
6,2020-07-01,1.067,1.082,1.084,1.066,743813,79833396.0,1.69,1.69,0.018,102.27
7,2020-07-02,1.081,1.105,1.106,1.08,698553,76451872.0,2.4,2.13,0.023,96.05
8,2020-07-03,1.106,1.122,1.122,1.104,719166,79861132.0,1.63,1.54,0.017,98.89
9,2020-07-06,1.123,1.183,1.183,1.123,575656,66902139.0,5.35,5.44,0.061,79.15
10,2020-07-07,1.185,1.185,1.25,1.184,709164,84868153.0,5.58,0.17,0.002,97.51
11,2020-07-08,1.185,1.207,1.215,1.184,685012,81989814.0,2.62,1.86,0.022,94.19
12,2020-07-09,1.199,1.228,1.23,1.199,739266,90178297.0,2.57,1.74,0.021,101.65
13,2020-07-10,1.228,1.216,1.229,1.213,753695,92025262.0,1.3,-0.98,-0.012,103.63
14,2020-07-13,1.216,1.243,1.249,1.21,518066,63882422.0,3.21,2.22,0.027,71.23
15,2020-07-14,1.24,1.234,1.245,1.211,630845,77731622.0,2.74,-0.72,-0.009,86.74
16,2020-07-15,1.247,1.221,1.247,1.214,538173,66390745.0,2.67,-1.05,-0.013,74.0
17,2020-07-16,1.21,1.154,1.227,1.15,544777,65216798.0,6.31,-5.49,-0.067,74.91
18,2020-07-17,1.139,1.166,1.182,1.137,538880,62785912.0,3.9,1.04,0.012,74.1
19,2020-07-20,1.17,1.195,1.196,1.164,424875,50091216.0,2.74,2.49,0.029,58.42
20,2020-07-21,1.195,1.2,1.205,1.192,393989,47238565.0,1.09,0.42,0.005,54.17
21,2020-07-22,1.194,1.204,1.228,1.194,445696,54139592.0,2.83,0.33,0.004,61.28
22,2020-07-23,1.2,1.207,1.215,1.184,584804,70239535.0,2.57,0.25,0.003,80.41
23,2020-07-24,1.198,1.157,1.205,1.146,520310,61361602.0,4.89,-4.14,-0.05,71.54
24,2020-07-27,1.151,1.16,1.17,1.151,478151,55547259.0,1.64,0.26,0.003,65.75
25,2020-07-28,1.161,1.171,1.177,1.161,442693,51854415.0,1.38,0.95,0.011,60.87
26,2020-07-29,1.16,1.198,1.198,1.16,439502,52145415.0,3.25,2.31,0.027,60.43
27,2020-07-30,1.194,1.196,1.206,1.194,418193,50212236.0,1.0,-0.17,-0.002,57.5
28,2020-07-31,1.197,1.205,1.217,1.186,492420,59429290.0,2.59,0.75,0.009,67.71
29,2020-08-03,1.218,1.222,1.224,1.206,516230,62854541.0,1.49,1.41,0.017,70.98
30,2020-08-04,1.222,1.225,1.233,1.218,502817,61596607.0,1.23,0.25,0.003,69.14
31,2020-08-05,1.225,1.228,1.232,1.209,480755,58660552.0,1.88,0.24,0.003,66.1
32,2020-08-06,1.239,1.224,1.239,1.207,490410,59701165.0,2.61,-0.33,-0.004,67.43
33,2020-08-07,1.216,1.211,1.222,1.193,420660,50831034.0,2.37,-1.06,-0.013,57.84
34,2020-08-10,1.21,1.213,1.224,1.196,445342,53835077.0,2.31,0.17,0.002,61.23
35,2020-08-11,1.213,1.203,1.232,1.202,447710,54749796.0,2.47,-0.82,-0.01,61.56
36,2020-08-12,1.202,1.195,1.205,1.173,441338,52377566.0,2.66,-0.67,-0.008,60.68
37,2020-08-13,1.194,1.196,1.2,1.19,462761,55279111.0,0.84,0.08,0.001,63.63
