,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-16,0.857,0.862,0.863,0.853,5019110,486150544.0,0.0,0.0,0.0,6.03
1,2019-12-17,0.861,0.875,0.878,0.86,3352359,330344768.0,2.09,1.51,0.013,4.03
2,2019-12-18,0.873,0.872,0.881,0.871,1322104,130788575.0,1.14,-0.34,-0.003,1.59
3,2019-12-19,0.873,0.874,0.877,0.871,3170260,312434544.0,0.69,0.23,0.002,3.81
4,2019-12-20,0.874,0.871,0.878,0.87,1619557,159887592.0,0.92,-0.34,-0.003,1.95
5,2019-12-23,0.87,0.858,0.873,0.856,397461,38897244.0,1.95,-1.49,-0.013,0.48
6,2019-12-24,0.857,0.864,0.864,0.857,1016996,99051586.0,0.82,0.7,0.006,1.22
7,2019-12-25,0.864,0.865,0.867,0.861,1009493,98610116.0,0.69,0.12,0.001,1.21
8,2019-12-26,0.864,0.873,0.874,0.862,340997,33454865.0,1.39,0.92,0.008,0.41
9,2019-12-27,0.873,0.871,0.883,0.871,380380,37708050.0,1.37,-0.23,-0.002,0.46
10,2019-12-30,0.869,0.883,0.886,0.867,995885,98954695.0,2.18,1.38,0.012,1.2
11,2019-12-31,0.884,0.891,0.891,0.883,1312080,131200321.0,0.91,0.91,0.008,1.58
12,2020-01-02,0.892,0.902,0.908,0.892,1775772,180163833.0,1.8,1.23,0.011,2.13
13,2020-01-03,0.905,0.902,0.907,0.9,682899,69371647.0,0.78,0.0,0.0,0.82
14,2020-01-06,0.898,0.903,0.913,0.896,947414,96529271.0,1.88,0.11,0.001,1.14
15,2020-01-07,0.907,0.914,0.916,0.907,784207,80311540.0,1.0,1.22,0.011,0.94
16,2020-01-08,0.91,0.9,0.912,0.899,603491,61416861.0,1.42,-1.53,-0.014,0.73
17,2020-01-09,0.908,0.914,0.916,0.908,601151,61576869.0,0.89,1.56,0.014,0.72
18,2020-01-10,0.914,0.91,0.916,0.907,414047,42327024.0,0.98,-0.44,-0.004,0.5
19,2020-01-13,0.909,0.921,0.921,0.906,777825,79686118.0,1.65,1.21,0.011,0.94
20,2020-01-14,0.92,0.916,0.925,0.916,761994,78766249.0,0.98,-0.54,-0.005,0.92
21,2020-01-15,0.918,0.912,0.918,0.908,391981,40107658.0,1.09,-0.44,-0.004,0.47
22,2020-01-16,0.912,0.91,0.914,0.907,563941,57650874.0,0.77,-0.22,-0.002,0.68
23,2020-01-17,0.909,0.907,0.914,0.905,445232,45531550.0,0.99,-0.33,-0.003,0.54
24,2020-01-20,0.908,0.917,0.918,0.907,507627,52070680.0,1.21,1.1,0.01,0.61
25,2020-01-21,0.913,0.902,0.913,0.901,1277939,129910303.0,1.31,-1.64,-0.015,1.54
26,2020-01-22,0.902,0.905,0.909,0.884,367080,37081094.0,2.77,0.33,0.003,0.44
27,2020-01-23,0.903,0.877,0.903,0.869,416825,41681869.0,3.76,-3.09,-0.028,0.5
28,2020-02-03,0.815,0.778,0.815,0.778,270083,24145929.0,4.22,-11.29,-0.099,0.32
29,2020-02-04,0.779,0.815,0.815,0.779,5225201,483085744.0,4.63,4.76,0.037,6.28
30,2020-02-05,0.824,0.826,0.833,0.81,143868,13436274.0,2.82,1.35,0.011,0.17
31,2020-02-06,0.824,0.843,0.85,0.822,107099,10133201.0,3.39,2.06,0.017,0.13
32,2020-02-07,0.842,0.846,0.847,0.835,112841,10740488.0,1.42,0.36,0.003,0.14
33,2020-02-10,0.841,0.851,0.853,0.838,171574,16440245.0,1.77,0.59,0.005,0.21
34,2020-02-11,0.845,0.857,0.863,0.845,95213,9227501.0,2.12,0.71,0.006,0.11
35,2020-02-12,0.857,0.866,0.871,0.855,753346,73898559.0,1.87,1.05,0.009,0.91
36,2020-02-13,0.866,0.863,0.87,0.859,164722,16113451.0,1.27,-0.35,-0.003,0.2
37,2020-02-14,0.861,0.869,0.874,0.861,153629,15064033.0,1.51,0.7,0.006,0.18
38,2020-02-17,0.87,0.89,0.891,0.87,228184,22742089.0,2.42,2.42,0.021,0.27
39,2020-02-18,0.883,0.89,0.893,0.882,339583,33989425.0,1.24,0.0,0.0,0.41
40,2020-02-19,0.89,0.889,0.897,0.888,626247,62961713.0,1.01,-0.11,-0.001,0.75
41,2020-02-20,0.889,0.911,0.915,0.889,754682,76458202.0,2.92,2.47,0.022,0.91
42,2020-02-21,0.904,0.915,0.925,0.904,704463,72307887.0,2.31,0.44,0.004,0.85
43,2020-02-24,0.918,0.918,0.924,0.91,495044,50980992.0,1.53,0.33,0.003,0.6
44,2020-02-25,0.9,0.918,0.921,0.891,1268924,130258760.0,3.27,0.0,0.0,1.53
45,2020-02-26,0.912,0.903,0.918,0.901,839604,85837168.0,1.85,-1.63,-0.015,1.01
46,2020-02-27,0.903,0.903,0.918,0.901,487873,49629081.0,1.88,0.0,0.0,0.59
