,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-04-20,0.78,0.791,0.792,0.78,949099,95695615.0,0.0,0.0,0.0,18.48
1,2020-04-21,0.789,0.784,0.789,0.778,110909,11131834.0,1.39,-0.88,-0.007,2.16
2,2020-04-22,0.781,0.79,0.791,0.777,148584,14965943.0,1.79,0.77,0.006,2.89
3,2020-04-23,0.786,0.785,0.791,0.785,102334,10336494.0,0.76,-0.63,-0.005,1.99
4,2020-04-24,0.786,0.782,0.788,0.779,56777,5713791.0,1.15,-0.38,-0.003,1.11
5,2020-04-27,0.782,0.788,0.791,0.782,163704,16526290.0,1.15,0.77,0.006,3.19
6,2020-04-28,0.788,0.781,0.788,0.763,43736,4369961.0,3.17,-0.89,-0.007,0.85
7,2020-04-29,0.781,0.79,0.79,0.78,118336,11934271.0,1.28,1.15,0.009,2.3
8,2020-04-30,0.79,0.802,0.802,0.79,181266,18478809.0,1.52,1.52,0.012,3.53
9,2020-05-06,0.8,0.803,0.803,0.79,113840,11564823.0,1.62,0.12,0.001,2.22
10,2020-05-07,0.801,0.805,0.806,0.799,123776,12673714.0,0.87,0.25,0.002,2.41
11,2020-05-08,0.806,0.812,0.815,0.806,148780,15350236.0,1.12,0.87,0.007,2.9
12,2020-05-11,0.814,0.814,0.819,0.811,135207,14004329.0,0.99,0.25,0.002,2.63
13,2020-05-12,0.815,0.813,0.818,0.808,96911,10014113.0,1.23,-0.12,-0.001,1.89
14,2020-05-13,0.813,0.814,0.816,0.805,97227,10043229.0,1.35,0.12,0.001,1.89
15,2020-05-14,0.811,0.806,0.811,0.805,70305,7235676.0,0.74,-0.98,-0.008,1.37
16,2020-05-15,0.806,0.801,0.812,0.79,29689,3045728.0,2.73,-0.62,-0.005,0.58
17,2020-05-18,0.802,0.804,0.809,0.8,47915,4921548.0,1.12,0.37,0.003,0.93
18,2020-05-19,0.812,0.809,0.812,0.806,86712,8928546.0,0.75,0.62,0.005,1.69
19,2020-05-20,0.807,0.801,0.807,0.8,99855,10236811.0,0.87,-0.99,-0.008,1.94
20,2020-05-21,0.807,0.797,0.807,0.796,91343,9340633.0,1.37,-0.5,-0.004,1.78
21,2020-05-22,0.797,0.781,0.797,0.78,104388,10516363.0,2.13,-2.01,-0.016,2.03
22,2020-05-25,0.781,0.787,0.788,0.781,35717,3597245.0,0.9,0.77,0.006,0.7
23,2020-05-26,0.789,0.797,0.797,0.789,118330,11998246.0,1.02,1.27,0.01,2.3
24,2020-05-27,0.797,0.799,0.801,0.795,108428,11044834.0,0.75,0.25,0.002,2.11
