,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-04-01,0.919,0.912,0.926,0.904,1103852,115202233.0,0.0,0.0,0.0,11.73
1,2020-04-02,0.913,0.925,0.926,0.899,310864,32312801.0,2.96,1.43,0.013,3.3
2,2020-04-03,0.923,0.935,0.945,0.918,300940,32072644.0,2.92,1.08,0.01,3.2
3,2020-04-07,0.938,0.963,0.965,0.938,157997,17102132.0,2.89,2.99,0.028,1.68
4,2020-04-08,0.963,0.959,0.968,0.948,112558,12226853.0,2.08,-0.42,-0.004,1.2
5,2020-04-09,0.97,0.995,0.998,0.953,155088,17274781.0,4.69,3.75,0.036,1.65
6,2020-04-10,0.992,0.981,1.015,0.975,166329,18594448.0,4.02,-1.41,-0.014,1.77
7,2020-04-13,0.982,0.987,0.998,0.971,75204,8357548.0,2.75,0.61,0.006,0.8
8,2020-04-14,0.983,1.005,1.009,0.976,74773,8381094.0,3.34,1.82,0.018,0.79
9,2020-04-15,1.004,0.998,1.018,0.994,57350,6487782.0,2.39,-0.7,-0.007,0.61
10,2020-04-16,0.998,1.007,1.013,0.984,65609,7405848.0,2.91,0.9,0.009,0.7
11,2020-04-17,1.007,0.997,1.018,0.993,67479,7626995.0,2.48,-0.99,-0.01,0.72
12,2020-04-20,0.996,1.011,1.018,0.996,56798,6458391.0,2.21,1.4,0.014,0.6
13,2020-04-21,1.008,1.001,1.012,0.993,37650,4245754.0,1.88,-0.99,-0.01,0.4
14,2020-04-22,0.995,1.023,1.023,0.991,82327,9356644.0,3.2,2.2,0.022,0.87
15,2020-04-23,1.023,1.022,1.042,1.018,34596,4001641.0,2.35,-0.1,-0.001,0.37
16,2020-04-24,1.033,1.005,1.033,1.001,62107,7051986.0,3.13,-1.66,-0.017,0.66
17,2020-04-27,1.005,1.03,1.038,1.0,60894,7001992.0,3.78,2.49,0.025,0.65
18,2020-04-28,1.032,1.036,1.041,1.01,40024,4632217.0,3.01,0.58,0.006,0.43
19,2020-04-29,1.042,1.021,1.045,1.017,72631,8370050.0,2.7,-1.45,-0.015,0.77
20,2020-04-30,1.022,1.014,1.031,1.006,126370,14383451.0,2.45,-0.69,-0.007,1.34
21,2020-05-06,1.013,1.03,1.032,0.999,80545,9240820.0,3.25,1.58,0.016,0.86
22,2020-05-07,1.038,1.032,1.038,1.025,55918,6486574.0,1.26,0.19,0.002,0.59
23,2020-05-08,1.031,1.046,1.051,1.028,67671,7929545.0,2.23,1.36,0.014,0.72
24,2020-05-11,1.046,1.032,1.055,1.028,51009,5927258.0,2.58,-1.34,-0.014,0.54
25,2020-05-12,1.032,1.053,1.053,1.032,71297,8368977.0,2.03,2.03,0.021,0.76
26,2020-05-13,1.048,1.073,1.076,1.048,68721,8205576.0,2.66,1.9,0.02,0.73
27,2020-05-14,1.083,1.071,1.083,1.063,26027,3113752.0,1.86,-0.19,-0.002,0.28
28,2020-05-15,1.077,1.061,1.077,1.052,37353,4436563.0,2.33,-0.93,-0.01,0.4
29,2020-05-18,1.065,1.082,1.092,1.055,48694,5866319.0,3.49,1.98,0.021,0.52
30,2020-05-19,1.083,1.094,1.104,1.083,26831,3271625.0,1.94,1.11,0.012,0.29
31,2020-05-20,1.1,1.077,1.1,1.072,37730,4561347.0,2.56,-1.55,-0.017,0.4
32,2020-05-21,1.082,1.086,1.105,1.078,28413,3468181.0,2.51,0.84,0.009,0.3
33,2020-05-22,1.083,1.056,1.086,1.052,34939,4160372.0,3.13,-2.76,-0.03,0.37
34,2020-05-25,1.053,1.072,1.075,1.053,25467,3042979.0,2.08,1.52,0.016,0.27
35,2020-05-26,1.078,1.098,1.1,1.074,26490,3236576.0,2.43,2.43,0.026,0.28
36,2020-05-27,1.098,1.071,1.098,1.066,44568,5372866.0,2.91,-2.46,-0.027,0.47
37,2020-05-28,1.071,1.057,1.073,1.042,49844,5895097.0,2.89,-1.31,-0.014,0.53
38,2020-05-29,1.053,1.077,1.083,1.053,45922,5516830.0,2.84,1.89,0.02,0.49
39,2020-06-01,1.093,1.096,1.098,1.081,49297,6009011.0,1.58,1.76,0.019,0.52
40,2020-06-02,1.096,1.078,1.096,1.074,36647,4414310.0,2.01,-1.64,-0.018,0.39
41,2020-06-03,1.078,1.087,1.097,1.078,42200,5140095.0,1.76,0.83,0.009,0.45
42,2020-06-04,1.087,1.099,1.103,1.082,37767,4616317.0,1.93,1.1,0.012,0.4
43,2020-06-05,1.099,1.111,1.112,1.094,48235,5942607.0,1.64,1.09,0.012,0.51
44,2020-06-08,1.116,1.095,1.118,1.087,58674,7181411.0,2.79,-1.44,-0.016,0.62
45,2020-06-09,1.094,1.115,1.118,1.091,43993,5449582.0,2.47,1.83,0.02,0.47
46,2020-06-10,1.115,1.14,1.145,1.109,37449,4723369.0,3.23,2.24,0.025,0.4
47,2020-06-11,1.14,1.133,1.149,1.124,35992,4550160.0,2.19,-0.61,-0.007,0.38
48,2020-06-12,1.129,1.151,1.16,1.119,54422,6889547.0,3.62,1.59,0.018,0.58
49,2020-06-15,1.173,1.155,1.185,1.152,61522,7923924.0,2.87,0.35,0.004,0.65
