,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-01,0.97,0.98,0.99,0.965,85848,8354542.0,0.0,0.0,0.0,6.27
1,2021-03-02,0.985,0.968,0.99,0.96,55817,5422956.0,3.06,-1.22,-0.012,4.08
2,2021-03-03,0.97,0.975,0.976,0.959,35502,3436683.0,1.76,0.72,0.007,2.59
3,2021-03-04,0.974,0.947,0.974,0.946,42965,4106654.0,2.87,-2.87,-0.028,3.14
4,2021-03-05,0.946,0.951,0.959,0.921,28577,2712389.0,4.01,0.42,0.004,2.09
5,2021-03-08,0.973,0.926,0.973,0.926,31724,2991265.0,4.94,-2.63,-0.025,2.32
6,2021-03-09,0.925,0.916,0.936,0.901,47647,4380852.0,3.78,-1.08,-0.01,3.48
7,2021-03-10,0.921,0.906,0.96,0.903,33011,3011614.0,6.22,-1.09,-0.01,2.41
8,2021-03-11,0.906,0.922,0.925,0.905,28233,2588190.0,2.21,1.77,0.016,2.06
9,2021-03-12,0.916,0.914,0.923,0.905,26928,2451879.0,1.95,-0.87,-0.008,1.97
10,2021-03-15,0.927,0.892,0.927,0.887,40945,3670032.0,4.38,-2.41,-0.022,2.99
11,2021-03-16,0.892,0.898,0.902,0.887,11876,1061867.0,1.68,0.67,0.006,0.87
12,2021-03-17,0.894,0.904,0.905,0.887,18524,1669029.0,2.0,0.67,0.006,1.35
13,2021-03-18,0.904,0.906,0.909,0.904,7336,664653.0,0.55,0.22,0.002,0.54
14,2021-03-19,0.898,0.895,0.899,0.89,12480,1115891.0,0.99,-1.21,-0.011,0.91
15,2021-03-22,0.895,0.914,0.915,0.895,22241,2017531.0,2.23,2.12,0.019,1.63
16,2021-03-23,0.909,0.908,0.916,0.904,13616,1239358.0,1.31,-0.66,-0.006,0.99
17,2021-03-24,0.903,0.899,0.913,0.898,12042,1086047.0,1.65,-0.99,-0.009,0.88
18,2021-03-25,0.889,0.91,0.914,0.889,12190,1107524.0,2.78,1.22,0.011,0.89
19,2021-03-26,0.914,0.925,0.93,0.911,18801,1735338.0,2.09,1.65,0.015,1.37
20,2021-03-29,0.924,0.919,0.929,0.917,8573,791249.0,1.3,-0.65,-0.006,0.63
21,2021-03-30,0.921,0.922,0.925,0.919,13300,1225034.0,0.65,0.33,0.003,0.97
22,2021-03-31,0.917,0.924,0.927,0.917,20959,1935767.0,1.08,0.22,0.002,1.53
23,2021-04-01,0.919,0.933,0.934,0.919,7570,702761.0,1.62,0.97,0.009,0.55
24,2021-04-02,0.932,0.936,0.941,0.915,21476,2011360.0,2.79,0.32,0.003,1.57
25,2021-04-06,0.936,0.947,0.949,0.936,20631,1944214.0,1.39,1.18,0.011,1.51
26,2021-04-07,0.948,0.937,0.948,0.916,12583,1174708.0,3.38,-1.06,-0.01,0.92
27,2021-04-08,0.933,0.931,0.942,0.931,5657,529590.0,1.17,-0.64,-0.006,0.41
