,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-02-23,0.97,0.98,1.009,0.964,362753,35313406.0,0.0,0.0,0.0,7.16
1,2021-02-24,0.976,0.943,0.979,0.933,291403,27781090.0,4.69,-3.78,-0.037,5.75
2,2021-02-25,0.951,0.938,0.955,0.935,153795,14502054.0,2.12,-0.53,-0.005,3.04
3,2021-02-26,0.929,0.932,0.945,0.913,144754,13463026.0,3.41,-0.64,-0.006,2.86
4,2021-03-01,0.943,0.95,0.95,0.928,80875,7627163.0,2.36,1.93,0.018,1.6
5,2021-03-02,0.956,0.929,0.956,0.919,135510,12618826.0,3.89,-2.21,-0.021,2.68
6,2021-03-03,0.929,0.944,0.945,0.922,130752,12210317.0,2.48,1.61,0.015,2.58
7,2021-03-04,0.939,0.915,0.939,0.906,211303,19366277.0,3.5,-3.07,-0.029,4.17
8,2021-03-05,0.916,0.911,0.916,0.891,142440,12918043.0,2.73,-0.44,-0.004,2.81
9,2021-03-08,0.921,0.862,0.924,0.86,213553,18892788.0,7.03,-5.38,-0.049,4.22
10,2021-03-09,0.862,0.837,0.866,0.825,205852,17473312.0,4.76,-2.9,-0.025,4.06
11,2021-03-10,0.839,0.85,0.862,0.839,152899,13046254.0,2.75,1.55,0.013,3.02
12,2021-03-11,0.851,0.877,0.885,0.851,168425,14732279.0,4.0,3.18,0.027,3.32
13,2021-03-12,0.871,0.879,0.88,0.86,104277,9081535.0,2.28,0.23,0.002,2.06
14,2021-03-15,0.877,0.845,0.877,0.833,126775,10744059.0,5.01,-3.87,-0.034,2.5
15,2021-03-16,0.845,0.856,0.86,0.838,111320,9491304.0,2.6,1.3,0.011,2.2
16,2021-03-17,0.857,0.862,0.865,0.841,164670,14087299.0,2.8,0.7,0.006,3.25
17,2021-03-18,0.862,0.884,0.887,0.862,141820,12485301.0,2.9,2.55,0.022,2.8
18,2021-03-19,0.869,0.871,0.886,0.865,128382,11183879.0,2.38,-1.47,-0.013,2.53
19,2021-03-22,0.871,0.879,0.891,0.866,122755,10823233.0,2.87,0.92,0.008,2.42
20,2021-03-23,0.879,0.877,0.89,0.869,153564,13451544.0,2.39,-0.23,-0.002,3.03
21,2021-03-24,0.877,0.872,0.887,0.867,98675,8623010.0,2.28,-0.57,-0.005,1.95
22,2021-03-25,0.872,0.878,0.883,0.859,110286,9619079.0,2.75,0.69,0.006,2.18
23,2021-03-26,0.877,0.907,0.911,0.877,146981,13251816.0,3.87,3.3,0.029,2.9
24,2021-03-29,0.91,0.909,0.92,0.901,129417,11802455.0,2.09,0.22,0.002,2.55
25,2021-03-30,0.914,0.924,0.934,0.91,111988,10355818.0,2.64,1.65,0.015,2.21
26,2021-03-31,0.924,0.917,0.924,0.908,85227,7789842.0,1.73,-0.76,-0.007,1.68
27,2021-04-01,0.917,0.931,0.933,0.917,119894,11126519.0,1.74,1.53,0.014,2.37
28,2021-04-02,0.935,0.933,0.941,0.927,120448,11292031.0,1.5,0.21,0.002,2.38
29,2021-04-06,0.933,0.924,0.938,0.921,101952,9426218.0,1.82,-0.96,-0.009,2.01
30,2021-04-07,0.924,0.922,0.927,0.911,103102,9471222.0,1.73,-0.22,-0.002,2.04
31,2021-04-08,0.922,0.936,0.94,0.915,180207,16845120.0,2.71,1.52,0.014,3.56
32,2021-04-09,0.936,0.92,0.936,0.917,123559,11366279.0,2.03,-1.71,-0.016,2.44
33,2021-04-12,0.918,0.899,0.928,0.895,152696,13867322.0,3.59,-2.28,-0.021,3.01
34,2021-04-13,0.897,0.905,0.914,0.897,120709,10970102.0,1.89,0.67,0.006,2.38
35,2021-04-14,0.905,0.908,0.915,0.897,144964,13181125.0,1.99,0.33,0.003,2.86
36,2021-04-15,0.908,0.907,0.911,0.895,116271,10485628.0,1.76,-0.11,-0.001,2.3
37,2021-04-16,0.907,0.906,0.911,0.895,126431,11427007.0,1.76,-0.11,-0.001,2.5
38,2021-04-19,0.906,0.93,0.931,0.9,173651,16038084.0,3.42,2.65,0.024,3.43
39,2021-04-20,0.921,0.937,0.942,0.921,121028,11292239.0,2.26,0.75,0.007,2.39
40,2021-04-21,0.934,0.953,0.955,0.931,133821,12693735.0,2.56,1.71,0.016,2.64
41,2021-04-22,0.954,0.957,0.961,0.949,148285,14207866.0,1.26,0.42,0.004,2.93
42,2021-04-23,0.956,0.971,0.977,0.956,140874,13654408.0,2.19,1.46,0.014,2.78
43,2021-04-26,0.973,0.972,1.008,0.972,256747,25550492.0,3.71,0.1,0.001,5.07
44,2021-04-27,0.973,0.997,0.999,0.968,159554,15819611.0,3.19,2.57,0.025,3.15
45,2021-04-28,0.997,1.024,1.025,0.995,520474,52853607.0,3.01,2.71,0.027,10.27
46,2021-04-29,1.023,1.018,1.028,1.002,258904,26351692.0,2.54,-0.59,-0.006,5.11
47,2021-04-30,1.02,1.039,1.052,1.02,575034,59731103.0,3.14,2.06,0.021,11.35
48,2021-05-06,1.03,0.994,1.03,0.976,297538,29603424.0,5.2,-4.33,-0.045,5.87
49,2021-05-07,0.993,0.965,1.003,0.964,208423,20504509.0,3.92,-2.92,-0.029,4.11
50,2021-05-10,0.965,0.986,0.998,0.965,190721,18792671.0,3.42,2.18,0.021,3.77
51,2021-05-11,0.986,1.001,1.004,0.971,137736,13676853.0,3.35,1.52,0.015,2.72
52,2021-05-12,0.994,1.024,1.026,0.994,219745,22239489.0,3.2,2.3,0.023,4.34
53,2021-05-13,1.012,1.031,1.039,1.008,378727,38919894.0,3.03,0.68,0.007,7.48
54,2021-05-14,1.031,1.055,1.07,1.029,685322,72339949.0,3.98,2.33,0.024,13.53
55,2021-05-17,1.068,1.072,1.086,1.068,424397,45769096.0,1.71,1.61,0.017,8.38
56,2021-05-18,1.072,1.057,1.082,1.047,232723,24582541.0,3.26,-1.4,-0.015,4.59
57,2021-05-19,1.057,1.056,1.064,1.044,105925,11159467.0,1.89,-0.09,-0.001,2.09
58,2021-05-20,1.055,1.056,1.066,1.051,148154,15695199.0,1.42,0.0,0.0,2.92
59,2021-05-21,1.061,1.04,1.067,1.037,148131,15517815.0,2.84,-1.52,-0.016,2.92
60,2021-05-24,1.04,1.029,1.04,1.004,131309,13407377.0,3.46,-1.06,-0.011,2.59
