,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-19,0.488,0.487,0.496,0.483,744655,72987083.0,0.0,0.0,0.0,2.59
1,2021-03-22,0.485,0.494,0.499,0.485,285386,28025021.0,2.87,1.44,0.007,0.99
2,2021-03-23,0.495,0.48,0.495,0.476,59802,5764860.0,3.85,-2.83,-0.014,0.21
3,2021-03-24,0.478,0.471,0.482,0.468,31099,2937488.0,2.92,-1.88,-0.009,0.11
4,2021-03-25,0.471,0.47,0.473,0.461,70813,6636442.0,2.55,-0.21,-0.001,0.25
5,2021-03-26,0.47,0.495,0.495,0.47,165148,16133476.0,5.32,5.32,0.025,0.57
6,2021-03-29,0.495,0.49,0.495,0.485,33572,3294166.0,2.02,-1.01,-0.005,0.12
7,2021-03-30,0.493,0.498,0.498,0.484,75129,7445123.0,2.86,1.63,0.008,0.26
8,2021-03-31,0.497,0.495,0.499,0.491,33853,3350816.0,1.61,-0.6,-0.003,0.12
9,2021-04-01,0.495,0.501,0.506,0.495,86493,8692218.0,2.22,1.21,0.006,0.3
10,2021-04-02,0.502,0.501,0.506,0.497,139022,13942173.0,1.8,0.0,0.0,0.48
11,2021-04-06,0.501,0.509,0.514,0.501,279129,28330106.0,2.59,1.6,0.008,0.97
12,2021-04-07,0.509,0.501,0.51,0.497,50920,5125430.0,2.55,-1.57,-0.008,0.18
13,2021-04-08,0.5,0.498,0.5,0.493,28499,2829858.0,1.4,-0.6,-0.003,0.1
14,2021-04-09,0.499,0.489,0.499,0.488,30055,2951925.0,2.21,-1.81,-0.009,0.1
15,2021-04-12,0.489,0.48,0.491,0.474,84181,8100183.0,3.48,-1.84,-0.009,0.29
16,2021-04-13,0.48,0.478,0.484,0.474,19835,1893008.0,2.08,-0.42,-0.002,0.07
17,2021-04-14,0.478,0.491,0.492,0.478,41371,4029349.0,2.93,2.72,0.013,0.14
18,2021-04-15,0.49,0.493,0.494,0.486,15292,1495108.0,1.63,0.41,0.002,0.05
19,2021-04-16,0.498,0.489,0.498,0.481,21015,2049245.0,3.45,-0.81,-0.004,0.07
20,2021-04-19,0.489,0.511,0.512,0.486,173801,17551526.0,5.32,4.5,0.022,0.6
21,2021-04-20,0.51,0.513,0.524,0.508,127811,13110826.0,3.13,0.39,0.002,0.44
22,2021-04-21,0.512,0.511,0.516,0.506,52120,5321825.0,1.95,-0.39,-0.002,0.18
23,2021-04-22,0.518,0.514,0.518,0.508,30648,3148743.0,1.96,0.59,0.003,0.11
24,2021-04-23,0.514,0.522,0.524,0.508,82510,8573575.0,3.11,1.56,0.008,0.29
25,2021-04-26,0.527,0.514,0.532,0.513,56944,5987084.0,3.64,-1.53,-0.008,0.2
26,2021-04-27,0.513,0.51,0.515,0.505,21790,2222005.0,1.95,-0.78,-0.004,0.08
27,2021-04-28,0.51,0.522,0.525,0.508,37884,3945543.0,3.33,2.35,0.012,0.13
28,2021-04-29,0.522,0.525,0.528,0.518,48972,5122308.0,1.92,0.57,0.003,0.17
29,2021-04-30,0.525,0.54,0.541,0.524,66499,7121365.0,3.24,2.86,0.015,0.23
30,2021-05-06,0.54,0.535,0.543,0.525,59300,6367446.0,3.33,-0.93,-0.005,0.21
31,2021-05-07,0.535,0.523,0.542,0.521,86502,9180699.0,3.93,-2.24,-0.012,0.3
32,2021-05-10,0.523,0.53,0.532,0.508,51937,5471509.0,4.59,1.34,0.007,0.18
33,2021-05-11,0.513,0.523,0.532,0.509,40186,4140126.0,4.34,-1.32,-0.007,0.14
34,2021-05-12,0.52,0.522,0.523,0.515,32617,3385925.0,1.53,-0.19,-0.001,0.11
35,2021-05-13,0.52,0.51,0.52,0.509,48464,4949758.0,2.11,-2.3,-0.012,0.17
36,2021-05-14,0.515,0.521,0.523,0.505,56942,5852721.0,3.53,2.16,0.011,0.2
37,2021-05-17,0.52,0.538,0.539,0.519,68054,7263850.0,3.84,3.26,0.017,0.24
38,2021-05-18,0.538,0.536,0.542,0.53,22716,2438525.0,2.23,-0.37,-0.002,0.08
39,2021-05-19,0.536,0.546,0.552,0.531,32984,3607281.0,3.92,1.87,0.01,0.11
40,2021-05-20,0.546,0.547,0.552,0.542,29428,3224686.0,1.83,0.18,0.001,0.1
41,2021-05-21,0.547,0.55,0.56,0.545,52671,5809820.0,2.74,0.55,0.003,0.18
42,2021-05-24,0.552,0.551,0.557,0.545,43189,4728005.0,2.18,0.18,0.001,0.15
43,2021-05-25,0.553,0.557,0.558,0.547,39033,4318656.0,2.0,1.09,0.006,0.14
