,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-23,0.999,0.979,1.0,0.972,345679,33941590.0,0.0,0.0,0.0,53.38
1,2021-07-26,0.98,0.944,0.98,0.928,138952,13143270.0,5.31,-3.58,-0.035,21.46
2,2021-07-27,0.957,0.925,0.957,0.921,119843,11316936.0,3.81,-2.01,-0.019,18.51
3,2021-07-28,0.925,0.891,0.925,0.877,43138,3876100.0,5.19,-3.68,-0.034,6.66
4,2021-07-29,0.909,0.921,0.929,0.902,28029,2573604.0,3.03,3.37,0.03,4.33
5,2021-07-30,0.912,0.925,0.93,0.907,18179,1673175.0,2.5,0.43,0.004,2.81
6,2021-08-02,0.92,0.937,0.942,0.915,20426,1892991.0,2.92,1.3,0.012,3.15
7,2021-08-03,0.938,0.933,0.952,0.931,22753,2140702.0,2.24,-0.43,-0.004,3.51
8,2021-08-04,0.928,0.941,0.942,0.928,20479,1914874.0,1.5,0.86,0.008,3.16
9,2021-08-05,0.941,0.925,0.941,0.918,24034,2227821.0,2.44,-1.7,-0.016,3.71
10,2021-08-06,0.923,0.921,0.929,0.92,27898,2578729.0,0.97,-0.43,-0.004,4.31
11,2021-08-09,0.912,0.939,0.944,0.912,36794,3437627.0,3.47,1.95,0.018,5.68
12,2021-08-10,0.936,0.94,0.945,0.934,18825,1767510.0,1.17,0.11,0.001,2.91
13,2021-08-11,0.94,0.931,0.94,0.93,10928,1018864.0,1.06,-0.96,-0.009,1.69
14,2021-08-12,0.933,0.933,0.945,0.931,10152,950308.0,1.5,0.21,0.002,1.57
15,2021-08-13,0.93,0.92,0.93,0.916,29910,2762201.0,1.5,-1.39,-0.013,4.62
16,2021-08-16,0.921,0.925,0.931,0.919,11199,1037682.0,1.3,0.54,0.005,1.73
17,2021-08-17,0.92,0.908,0.924,0.905,40396,3697983.0,2.05,-1.84,-0.017,6.24
18,2021-08-18,0.907,0.95,0.951,0.902,78988,7431953.0,5.4,4.63,0.042,12.2
19,2021-08-19,0.94,0.94,0.961,0.94,41500,3949191.0,2.21,-1.05,-0.01,6.41
20,2021-08-20,0.935,0.916,0.936,0.909,23850,2195724.0,2.87,-2.55,-0.024,3.68
21,2021-08-23,0.916,0.932,0.935,0.916,18808,1747869.0,2.07,1.75,0.016,2.9
22,2021-08-24,0.929,0.941,0.945,0.915,20464,1919140.0,3.22,0.97,0.009,3.16
23,2021-08-25,0.94,0.934,0.942,0.932,5257,491310.0,1.06,-0.74,-0.007,0.81
24,2021-08-26,0.918,0.919,0.929,0.916,11533,1062069.0,1.39,-1.61,-0.015,1.78
25,2021-08-27,0.919,0.902,0.919,0.898,27536,2491738.0,2.29,-1.85,-0.017,4.25
26,2021-08-30,0.902,0.898,0.913,0.896,15648,1411583.0,1.88,-0.44,-0.004,2.42
27,2021-08-31,0.899,0.908,0.909,0.893,20374,1835991.0,1.78,1.11,0.01,3.15
28,2021-09-01,0.908,0.92,0.928,0.899,13613,1243262.0,3.19,1.32,0.012,2.1
29,2021-09-02,0.911,0.919,0.922,0.911,14774,1354898.0,1.2,-0.11,-0.001,2.28
30,2021-09-03,0.93,0.937,0.958,0.93,33187,3125354.0,3.05,1.96,0.018,5.12
31,2021-09-06,0.936,0.958,0.967,0.929,69304,6599932.0,4.06,2.24,0.021,10.7
32,2021-09-07,0.95,0.975,0.98,0.95,29688,2886567.0,3.13,1.77,0.017,4.58
