,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-24,0.965,0.962,0.97,0.958,665221,64060314.0,0.0,0.0,0.0,30.65
1,2021-09-27,0.959,0.958,0.965,0.943,243994,23301404.0,2.29,-0.42,-0.004,11.24
2,2021-09-28,0.958,0.971,0.981,0.958,237190,23066982.0,2.4,1.36,0.013,10.93
3,2021-09-29,0.971,0.981,0.99,0.964,419517,41118796.0,2.68,1.03,0.01,19.33
4,2021-09-30,0.982,0.975,0.982,0.969,152265,14802575.0,1.33,-0.61,-0.006,7.02
5,2021-10-08,0.973,0.989,0.99,0.973,168879,16635865.0,1.74,1.44,0.014,7.78
6,2021-10-11,0.989,1.004,1.02,0.989,922713,93188552.0,3.13,1.52,0.015,42.52
7,2021-10-12,1.004,1.006,1.019,1.002,602630,60813280.0,1.69,0.2,0.002,27.77
8,2021-10-13,1.006,1.008,1.012,0.998,229126,23071436.0,1.39,0.2,0.002,10.56
9,2021-10-14,1.008,0.998,1.011,0.995,103914,10398043.0,1.59,-0.99,-0.01,4.79
10,2021-10-15,0.998,1.005,1.011,0.998,182689,18378100.0,1.3,0.7,0.007,8.42
11,2021-10-18,1.005,1.004,1.008,0.997,126357,12646948.0,1.09,-0.1,-0.001,5.82
12,2021-10-19,1.003,1.002,1.012,1.001,189960,19125979.0,1.1,-0.2,-0.002,8.75
13,2021-10-20,1.003,0.999,1.012,0.997,175154,17567347.0,1.5,-0.3,-0.003,8.07
14,2021-10-21,1.0,1.019,1.021,1.0,342472,34744464.0,2.1,2.0,0.02,15.78
15,2021-10-22,1.016,1.021,1.031,1.015,313367,32015971.0,1.57,0.2,0.002,14.44
16,2021-10-25,1.021,1.021,1.025,1.01,185046,18823565.0,1.47,0.0,0.0,8.53
17,2021-10-26,1.019,1.02,1.028,1.017,161292,16491211.0,1.08,-0.1,-0.001,7.43
18,2021-10-27,1.02,1.013,1.022,1.005,147194,14891001.0,1.67,-0.69,-0.007,6.78
19,2021-10-28,1.013,1.007,1.013,1.004,110515,11134747.0,0.89,-0.59,-0.006,5.09
20,2021-10-29,1.007,1.004,1.01,1.002,86359,8692980.0,0.79,-0.3,-0.003,3.98
21,2021-11-01,1.0,1.014,1.02,1.0,98375,9950547.0,1.99,1.0,0.01,4.53
22,2021-11-02,1.01,0.999,1.015,0.98,143581,14221875.0,3.45,-1.48,-0.015,6.62
23,2021-11-03,0.971,0.989,0.989,0.956,87629,8641509.0,3.3,-1.0,-0.01,4.04
24,2021-11-04,0.989,0.982,0.989,0.979,92702,9103318.0,1.01,-0.71,-0.007,4.27
25,2021-11-05,0.979,0.978,0.983,0.977,82983,8136203.0,0.61,-0.41,-0.004,3.82
26,2021-11-08,0.976,0.975,0.979,0.973,89994,8780495.0,0.61,-0.31,-0.003,4.15
27,2021-11-09,0.979,0.978,0.979,0.97,95309,9279423.0,0.92,0.31,0.003,4.39
28,2021-11-10,0.982,0.977,0.982,0.966,100506,9734833.0,1.64,-0.1,-0.001,4.63
29,2021-11-11,0.972,0.99,0.995,0.972,108552,10743083.0,2.35,1.33,0.013,5.0
30,2021-11-12,0.996,0.991,0.998,0.99,99259,9842398.0,0.81,0.1,0.001,4.57
31,2021-11-15,0.994,0.996,1.0,0.991,85992,8562753.0,0.91,0.5,0.005,3.96
32,2021-11-16,0.995,0.988,0.998,0.987,92263,9151774.0,1.1,-0.8,-0.008,4.25
33,2021-11-17,0.985,0.984,0.99,0.982,85557,8429924.0,0.81,-0.4,-0.004,3.94
34,2021-11-18,0.98,0.977,0.982,0.976,92262,9043660.0,0.61,-0.71,-0.007,4.25
35,2021-11-19,0.981,0.986,0.99,0.978,96008,9430132.0,1.23,0.92,0.009,4.42
36,2021-11-22,0.985,0.981,0.985,0.979,95703,9384486.0,0.61,-0.51,-0.005,4.41
37,2021-11-23,0.981,0.978,0.987,0.978,77381,7592650.0,0.92,-0.31,-0.003,3.57
38,2021-11-24,0.979,0.983,0.984,0.976,85799,8389662.0,0.82,0.51,0.005,3.95
39,2021-11-25,0.982,0.984,0.984,0.978,83045,8127042.0,0.61,0.1,0.001,3.83
40,2021-11-26,0.976,0.972,0.976,0.972,68929,6707390.0,0.41,-1.22,-0.012,3.18
41,2021-11-29,0.968,0.965,0.971,0.964,74587,7217318.0,0.72,-0.72,-0.007,3.44
42,2021-11-30,0.97,0.967,0.971,0.961,74544,7211892.0,1.04,0.21,0.002,3.43
43,2021-12-01,0.967,0.971,0.972,0.967,101839,9876045.0,0.52,0.41,0.004,4.69
44,2021-12-02,0.965,0.974,0.977,0.965,95379,9285063.0,1.24,0.31,0.003,4.39
45,2021-12-03,0.98,0.977,0.98,0.969,128583,12516038.0,1.13,0.31,0.003,5.92
46,2021-12-06,0.979,0.981,0.993,0.979,94396,9330764.0,1.43,0.41,0.004,4.35
47,2021-12-07,0.989,0.994,0.997,0.985,92361,9153306.0,1.22,1.33,0.013,4.26
48,2021-12-08,0.994,0.993,0.994,0.986,100163,9911088.0,0.8,-0.1,-0.001,4.62
49,2021-12-09,0.991,1.002,1.009,0.991,130880,13092125.0,1.81,0.91,0.009,6.03
50,2021-12-10,1.002,0.996,1.003,0.995,88889,8875517.0,0.8,-0.6,-0.006,4.1
51,2021-12-13,0.991,0.992,1.009,0.991,96829,9695030.0,1.81,-0.4,-0.004,4.46
52,2021-12-14,0.988,0.981,0.988,0.979,108752,10684315.0,0.91,-1.11,-0.011,5.01
53,2021-12-15,0.98,0.981,0.981,0.977,99112,9702515.0,0.41,0.0,0.0,4.57
54,2021-12-16,0.979,0.985,0.987,0.979,84034,8270215.0,0.82,0.41,0.004,3.87
55,2021-12-17,0.987,0.982,0.987,0.982,101638,9995618.0,0.51,-0.3,-0.003,4.68
56,2021-12-20,0.979,0.975,0.986,0.973,96087,9444200.0,1.32,-0.71,-0.007,4.43
57,2021-12-21,0.981,0.986,0.989,0.981,101986,10045391.0,0.82,1.13,0.011,4.7
58,2021-12-22,1.0,0.98,1.0,0.976,83469,8167924.0,2.43,-0.61,-0.006,3.85
59,2021-12-23,1.008,0.977,1.008,0.974,93194,9109200.0,3.47,-0.31,-0.003,4.29
60,2021-12-24,0.972,0.976,0.977,0.972,99997,9754596.0,0.51,-0.1,-0.001,4.61
61,2021-12-27,0.977,0.971,0.977,0.968,94277,9165498.0,0.92,-0.51,-0.005,4.34
62,2021-12-28,0.975,0.972,0.977,0.971,108562,10581310.0,0.62,0.1,0.001,5.0
63,2021-12-29,0.97,0.971,0.974,0.965,110151,10692553.0,0.93,-0.1,-0.001,5.08
64,2021-12-30,0.967,0.97,0.973,0.966,151665,14701249.0,0.72,-0.1,-0.001,6.99
65,2021-12-31,0.97,0.969,0.97,0.966,116021,11229919.0,0.41,-0.1,-0.001,5.35
66,2022-01-04,0.968,0.97,0.97,0.962,120792,11654831.0,0.83,0.1,0.001,5.57
67,2022-01-05,0.97,0.989,0.992,0.97,149548,14719194.0,2.27,1.96,0.019,6.89
68,2022-01-06,0.989,0.982,0.989,0.981,114644,11278437.0,0.81,-0.71,-0.007,5.28
69,2022-01-07,0.978,0.995,0.997,0.978,116353,11535618.0,1.93,1.32,0.013,5.36
70,2022-01-10,1.0,1.0,1.004,0.991,116472,11600868.0,1.31,0.5,0.005,5.37
71,2022-01-11,0.998,1.012,1.015,0.998,148202,14963615.0,1.7,1.2,0.012,6.83
72,2022-01-12,1.012,1.008,1.013,1.002,125046,12606094.0,1.09,-0.4,-0.004,5.76
73,2022-01-13,0.981,1.009,1.02,0.98,113400,11489071.0,3.97,0.1,0.001,5.23
74,2022-01-14,1.011,0.992,1.011,0.986,110916,11005227.0,2.48,-1.68,-0.017,5.11
75,2022-01-17,0.993,0.991,0.995,0.986,96877,9588940.0,0.91,-0.1,-0.001,4.46
76,2022-01-18,0.987,1.01,1.01,0.987,148641,14825121.0,2.32,1.92,0.019,6.85
77,2022-01-19,1.01,1.013,1.015,1.006,133618,13519024.0,0.89,0.3,0.003,6.16
78,2022-01-20,1.013,1.032,1.035,1.013,175962,18086264.0,2.17,1.88,0.019,8.11
79,2022-01-21,1.032,1.028,1.032,1.023,134279,13779657.0,0.87,-0.39,-0.004,6.19
80,2022-01-24,1.021,1.027,1.03,1.018,115479,11841971.0,1.17,-0.1,-0.001,5.32
81,2022-01-25,1.006,1.01,1.022,1.006,94176,9587567.0,1.56,-1.66,-0.017,4.34
82,2022-01-26,1.015,1.012,1.015,1.007,115236,11656631.0,0.79,0.2,0.002,5.31
83,2022-01-27,1.007,1.004,1.014,1.003,112188,11326193.0,1.09,-0.79,-0.008,5.17
84,2022-01-28,1.017,0.996,1.017,0.996,122318,12302061.0,2.09,-0.8,-0.008,5.64
85,2022-02-07,1.013,1.025,1.025,1.009,133206,13528110.0,1.61,2.91,0.029,6.14
86,2022-02-08,1.04,1.037,1.04,1.023,112941,11636778.0,1.66,1.17,0.012,5.2
87,2022-02-09,1.037,1.033,1.043,1.03,103617,10723879.0,1.25,-0.39,-0.004,4.77
88,2022-02-10,1.033,1.041,1.041,1.027,109382,11323732.0,1.36,0.77,0.008,5.04
89,2022-02-11,1.037,1.051,1.055,1.037,117785,12362758.0,1.73,0.96,0.01,5.43
90,2022-02-14,1.052,1.028,1.052,1.025,95352,9844291.0,2.57,-2.19,-0.023,4.39
91,2022-02-15,1.027,1.021,1.031,1.011,98295,10047432.0,1.95,-0.68,-0.007,4.53
92,2022-02-16,1.02,1.026,1.031,1.018,99688,10233189.0,1.27,0.49,0.005,4.59
93,2022-02-17,1.025,1.028,1.035,1.025,96043,9897343.0,0.97,0.19,0.002,4.43
94,2022-02-18,1.027,1.039,1.041,1.027,113865,11752403.0,1.36,1.07,0.011,5.25
95,2022-02-21,1.035,1.034,1.035,1.024,116854,12056625.0,1.06,-0.48,-0.005,5.38
96,2022-02-22,1.029,1.031,1.035,1.027,88785,9141712.0,0.77,-0.29,-0.003,4.09
97,2022-02-23,1.03,1.024,1.032,1.02,92851,9497444.0,1.16,-0.68,-0.007,4.28
98,2022-02-24,1.02,1.01,1.021,1.006,65616,6673372.0,1.46,-1.37,-0.014,3.02
99,2022-02-25,1.009,1.002,1.014,1.0,106633,10730515.0,1.39,-0.79,-0.008,4.91
100,2022-02-28,0.999,1.004,1.004,0.992,105487,10524507.0,1.2,0.2,0.002,4.86
101,2022-03-01,1.003,1.009,1.012,0.999,116175,11666830.0,1.29,0.5,0.005,5.35
102,2022-03-02,1.004,1.009,1.012,1.003,78100,7868025.0,0.89,0.0,0.0,3.6
103,2022-03-03,1.009,1.016,1.017,1.006,98224,9960857.0,1.09,0.69,0.007,4.53
104,2022-03-04,1.008,1.006,1.009,0.999,113813,11441091.0,0.98,-0.98,-0.01,5.24
105,2022-03-07,1.009,0.985,1.009,0.984,96797,9616083.0,2.49,-2.09,-0.021,4.46
106,2022-03-08,0.984,0.968,1.0,0.965,85978,8430605.0,3.55,-1.73,-0.017,3.96
107,2022-03-09,0.971,0.966,0.98,0.932,82357,7905974.0,4.96,-0.21,-0.002,3.79
108,2022-03-10,0.966,0.963,0.971,0.962,86544,8362934.0,0.93,-0.31,-0.003,3.99
109,2022-03-11,0.951,0.965,0.97,0.944,101126,9640882.0,2.7,0.21,0.002,4.66
110,2022-03-14,0.957,0.945,0.962,0.943,105491,10069950.0,1.97,-2.07,-0.02,4.86
111,2022-03-15,0.935,0.901,0.935,0.899,90235,8312383.0,3.81,-4.66,-0.044,4.16
112,2022-03-16,0.903,0.933,0.939,0.899,93673,8503423.0,4.44,3.55,0.032,4.32
113,2022-03-17,0.931,0.942,0.952,0.931,122791,11592435.0,2.25,0.96,0.009,5.66
114,2022-03-18,0.939,0.962,0.962,0.938,113054,10678827.0,2.55,2.12,0.02,5.21
115,2022-03-21,0.964,0.949,0.964,0.946,102472,9755860.0,1.87,-1.35,-0.013,4.72
116,2022-03-22,0.946,0.967,0.969,0.946,105072,10081927.0,2.42,1.9,0.018,4.84
117,2022-03-23,0.963,0.959,0.963,0.952,108863,10415499.0,1.14,-0.83,-0.008,5.02
118,2022-03-24,0.954,0.961,0.964,0.952,100775,9684975.0,1.25,0.21,0.002,4.64
119,2022-03-25,0.959,0.961,0.968,0.956,74573,7174399.0,1.25,0.0,0.0,3.44
120,2022-03-28,0.95,0.969,0.969,0.946,102159,9819104.0,2.39,0.83,0.008,4.71
121,2022-03-29,0.962,0.966,0.968,0.962,81014,7822349.0,0.62,-0.31,-0.003,3.73
122,2022-03-30,0.969,0.978,0.978,0.965,86519,8396936.0,1.35,1.24,0.012,3.99
123,2022-03-31,0.978,0.99,0.995,0.977,111274,11016290.0,1.84,1.23,0.012,5.13
124,2022-04-01,0.994,1.007,1.009,0.985,112469,11264568.0,2.42,1.72,0.017,5.18
125,2022-04-06,1.002,1.023,1.027,1.002,125102,12733458.0,2.48,1.59,0.016,5.76
126,2022-04-07,1.017,1.012,1.028,1.009,112540,11448557.0,1.86,-1.08,-0.011,5.19
127,2022-04-08,1.014,1.017,1.02,1.008,119336,12088865.0,1.19,0.49,0.005,5.5
128,2022-04-11,1.01,1.009,1.01,1.001,106374,10696929.0,0.88,-0.79,-0.008,4.9
