,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-18,0.99,1.028,1.03,0.99,1514166,153770444.0,0.0,0.0,0.0,20.57
1,2021-06-21,1.028,1.031,1.045,1.014,637219,65773444.0,3.02,0.29,0.003,8.65
2,2021-06-22,1.04,1.033,1.041,1.013,288709,29621781.0,2.72,0.19,0.002,3.92
3,2021-06-23,1.033,1.058,1.063,1.033,391470,41203717.0,2.9,2.42,0.025,5.32
4,2021-06-24,1.058,1.05,1.08,1.045,160915,16962354.0,3.31,-0.76,-0.008,2.19
5,2021-06-25,1.051,1.07,1.075,1.048,213625,22698566.0,2.57,1.9,0.02,2.9
6,2021-06-28,1.071,1.102,1.11,1.071,228224,25127627.0,3.64,2.99,0.032,3.1
7,2021-06-29,1.103,1.106,1.132,1.094,250561,27756983.0,3.45,0.36,0.004,3.4
8,2021-06-30,1.107,1.139,1.14,1.095,201646,22626493.0,4.07,2.98,0.033,2.74
9,2021-07-01,1.15,1.12,1.155,1.112,304778,34323034.0,3.78,-1.67,-0.019,4.14
10,2021-07-02,1.123,1.121,1.136,1.098,185454,20705044.0,3.39,0.09,0.001,2.52
11,2021-07-05,1.118,1.143,1.15,1.117,126439,14352854.0,2.94,1.96,0.022,1.72
12,2021-07-06,1.143,1.145,1.182,1.118,257907,29635225.0,5.6,0.17,0.002,3.5
13,2021-07-07,1.143,1.207,1.211,1.122,315540,37331158.0,7.77,5.41,0.062,4.29
14,2021-07-08,1.208,1.234,1.25,1.208,247044,30488629.0,3.48,2.24,0.027,3.36
15,2021-07-09,1.232,1.258,1.265,1.2,296895,36432365.0,5.27,1.94,0.024,4.03
16,2021-07-12,1.272,1.327,1.34,1.272,425756,55905959.0,5.41,5.48,0.069,5.78
17,2021-07-13,1.327,1.319,1.331,1.29,522696,68401045.0,3.09,-0.6,-0.008,7.1
18,2021-07-14,1.314,1.255,1.314,1.254,556847,70833411.0,4.55,-4.85,-0.064,7.56
19,2021-07-15,1.235,1.278,1.284,1.23,346609,43675308.0,4.3,1.83,0.023,4.71
20,2021-07-16,1.27,1.226,1.278,1.22,428151,53321933.0,4.54,-4.07,-0.052,5.82
21,2021-07-19,1.224,1.203,1.241,1.19,338341,40988277.0,4.16,-1.88,-0.023,4.6
22,2021-07-20,1.191,1.232,1.232,1.182,258337,31462155.0,4.16,2.41,0.029,3.51
23,2021-07-21,1.235,1.29,1.301,1.235,373458,47842365.0,5.36,4.71,0.058,5.07
24,2021-07-22,1.293,1.3,1.311,1.274,283442,36606118.0,2.87,0.78,0.01,3.85
