,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-21,0.982,0.976,0.989,0.97,673226,65850908.0,0.0,0.0,0.0,109.53
1,2021-06-22,0.976,0.983,0.99,0.972,187417,18379518.0,1.84,0.72,0.007,30.49
2,2021-06-23,0.983,0.997,1.003,0.98,292268,29079739.0,2.34,1.42,0.014,47.55
3,2021-06-24,0.996,0.989,1.0,0.988,51727,5139836.0,1.2,-0.8,-0.008,8.42
4,2021-06-25,0.989,1.021,1.025,0.989,337551,34250235.0,3.64,3.24,0.032,54.92
5,2021-06-28,1.021,1.007,1.025,1.007,98167,9971844.0,1.76,-1.37,-0.014,15.97
6,2021-06-29,1.008,0.994,1.012,0.993,44519,4447428.0,1.89,-1.29,-0.013,7.24
7,2021-06-30,0.999,1.008,1.012,0.993,121712,12247202.0,1.91,1.41,0.014,19.8
8,2021-07-01,1.008,0.998,1.008,0.998,26106,2616039.0,0.99,-0.99,-0.01,4.25
9,2021-07-02,1.0,0.999,1.015,0.993,54632,5497883.0,2.2,0.1,0.001,8.89
10,2021-07-05,1.008,1.044,1.049,0.99,382309,39742429.0,5.91,4.5,0.045,62.2
11,2021-07-06,1.047,1.068,1.071,1.037,178878,18902260.0,3.26,2.3,0.024,29.1
12,2021-07-07,1.067,1.089,1.096,1.009,140398,15132153.0,8.15,1.97,0.021,22.84
13,2021-07-08,1.088,1.092,1.12,1.088,117475,12997034.0,2.94,0.28,0.003,19.11
14,2021-07-09,1.092,1.161,1.166,1.067,113313,12852863.0,9.07,6.32,0.069,18.44
15,2021-07-12,1.17,1.198,1.27,1.17,113007,13560362.0,8.61,3.19,0.037,18.39
16,2021-07-13,1.198,1.193,1.198,1.172,71173,8408169.0,2.17,-0.42,-0.005,11.58
17,2021-07-14,1.19,1.155,1.19,1.146,56512,6568586.0,3.69,-3.19,-0.038,9.19
18,2021-07-15,1.155,1.194,1.199,1.121,66792,7825293.0,6.75,3.38,0.039,10.87
19,2021-07-16,1.193,1.193,1.228,1.18,61456,7405632.0,4.02,-0.08,-0.001,10.0
20,2021-07-19,1.193,1.192,1.228,1.179,53275,6421919.0,4.11,-0.08,-0.001,8.67
