,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-02,0.982,0.945,0.987,0.943,277314,26551098.0,0.0,0.0,0.0,6.49
1,2021-03-03,0.949,0.973,0.973,0.941,304486,29174321.0,3.39,2.96,0.028,7.13
2,2021-03-04,0.972,0.943,0.972,0.94,163059,15499087.0,3.29,-3.08,-0.03,3.82
3,2021-03-05,0.931,0.942,0.951,0.92,147709,13832818.0,3.29,-0.11,-0.001,3.46
4,2021-03-08,0.956,0.909,0.956,0.908,155397,14436833.0,5.1,-3.5,-0.033,3.64
5,2021-03-09,0.909,0.899,0.922,0.894,167712,15242396.0,3.08,-1.1,-0.01,3.93
6,2021-03-10,0.904,0.912,0.927,0.904,115295,10559202.0,2.56,1.45,0.013,2.7
7,2021-03-11,0.917,0.935,0.937,0.916,159926,14887679.0,2.3,2.52,0.023,3.74
8,2021-03-12,0.934,0.937,0.942,0.93,82274,7683392.0,1.28,0.21,0.002,1.93
9,2021-03-15,0.93,0.915,0.932,0.906,138817,12721140.0,2.77,-2.35,-0.022,3.25
10,2021-03-16,0.915,0.923,0.927,0.915,83557,7691794.0,1.31,0.87,0.008,1.96
11,2021-03-17,0.923,0.927,0.933,0.915,79417,7351534.0,1.95,0.43,0.004,1.86
12,2021-03-18,0.932,0.939,0.939,0.932,87009,8145258.0,0.76,1.29,0.012,2.04
13,2021-03-19,0.935,0.915,0.935,0.91,103824,9543404.0,2.66,-2.56,-0.024,2.43
14,2021-03-22,0.915,0.922,0.928,0.901,86563,7964047.0,2.95,0.77,0.007,2.03
15,2021-03-23,0.921,0.911,0.924,0.907,116091,10629989.0,1.84,-1.19,-0.011,2.72
16,2021-03-24,0.912,0.899,0.914,0.896,104567,9425493.0,1.98,-1.32,-0.012,2.45
17,2021-03-25,0.899,0.895,0.9,0.885,76712,6851037.0,1.67,-0.44,-0.004,1.8
18,2021-03-26,0.894,0.912,0.915,0.894,129617,11752014.0,2.35,1.9,0.017,3.03
19,2021-03-29,0.912,0.915,0.92,0.907,92355,8427870.0,1.43,0.33,0.003,2.16
20,2021-03-30,0.915,0.924,0.927,0.915,105528,9725548.0,1.31,0.98,0.009,2.47
21,2021-03-31,0.923,0.918,0.925,0.914,85844,7877056.0,1.19,-0.65,-0.006,2.01
22,2021-04-01,0.92,0.93,0.931,0.92,55925,5182710.0,1.2,1.31,0.012,1.31
23,2021-04-02,0.931,0.941,0.941,0.931,98941,9283028.0,1.08,1.18,0.011,2.32
24,2021-04-06,0.94,0.935,0.941,0.933,14477,1355202.0,0.85,-0.64,-0.006,0.34
25,2021-04-07,0.935,0.927,0.937,0.924,84924,7871531.0,1.39,-0.86,-0.008,1.99
26,2021-04-08,0.927,0.93,0.933,0.92,72824,6743615.0,1.4,0.32,0.003,1.71
27,2021-04-09,0.93,0.921,0.931,0.917,66355,6133076.0,1.51,-0.97,-0.009,1.55
28,2021-04-12,0.92,0.908,0.923,0.907,63700,5824738.0,1.74,-1.41,-0.013,1.49
29,2021-04-13,0.908,0.908,0.918,0.907,29722,2715508.0,1.21,0.0,0.0,0.7
30,2021-04-14,0.908,0.916,0.919,0.908,64116,5861243.0,1.21,0.88,0.008,1.5
31,2021-04-15,0.916,0.91,0.917,0.902,51877,4712468.0,1.64,-0.66,-0.006,1.21
32,2021-04-16,0.91,0.918,0.92,0.909,54366,4970974.0,1.21,0.88,0.008,1.27
33,2021-04-19,0.917,0.931,0.934,0.881,80105,7435676.0,5.77,1.42,0.013,1.88
34,2021-04-20,0.932,0.929,0.934,0.924,101436,9425568.0,1.07,-0.21,-0.002,2.37
35,2021-04-21,0.928,0.925,0.928,0.918,70091,6474167.0,1.08,-0.43,-0.004,1.64
36,2021-04-22,0.928,0.926,0.93,0.921,57675,5336668.0,0.97,0.11,0.001,1.35
37,2021-04-23,0.926,0.936,0.939,0.925,93148,8691557.0,1.51,1.08,0.01,2.18
38,2021-04-26,0.936,0.93,0.945,0.928,94118,8809155.0,1.82,-0.64,-0.006,2.2
39,2021-04-27,0.928,0.932,0.933,0.924,74375,6894458.0,0.97,0.22,0.002,1.74
40,2021-04-28,0.931,0.937,0.937,0.927,81108,7561391.0,1.07,0.54,0.005,1.9
41,2021-04-29,0.936,0.944,0.944,0.936,79259,7459328.0,0.85,0.75,0.007,1.86
42,2021-04-30,0.943,0.933,0.943,0.928,54805,5124674.0,1.59,-1.17,-0.011,1.28
43,2021-05-06,0.93,0.922,0.931,0.917,35517,3274995.0,1.5,-1.18,-0.011,0.83
44,2021-05-07,0.926,0.918,0.929,0.915,70089,6490962.0,1.52,-0.43,-0.004,1.64
45,2021-05-10,0.916,0.912,0.92,0.908,72353,6613337.0,1.31,-0.65,-0.006,1.69
46,2021-05-11,0.91,0.907,0.91,0.895,52009,4694074.0,1.64,-0.55,-0.005,1.22
47,2021-05-12,0.902,0.909,0.91,0.902,76905,6981536.0,0.88,0.22,0.002,1.8
48,2021-05-13,0.909,0.903,0.909,0.899,49656,4477391.0,1.1,-0.66,-0.006,1.16
49,2021-05-14,0.905,0.915,0.916,0.901,64555,5877508.0,1.66,1.33,0.012,1.51
50,2021-05-17,0.919,0.926,0.928,0.919,73853,6829827.0,0.98,1.2,0.011,1.73
51,2021-05-18,0.926,0.931,0.933,0.926,69340,6448188.0,0.76,0.54,0.005,1.62
52,2021-05-19,0.927,0.929,0.933,0.926,31228,2899330.0,0.75,-0.21,-0.002,0.73
53,2021-05-20,0.927,0.932,0.934,0.927,86205,8018967.0,0.75,0.32,0.003,2.02
54,2021-05-21,0.935,0.926,0.936,0.924,51705,4796029.0,1.29,-0.64,-0.006,1.21
55,2021-05-24,0.925,0.928,0.929,0.919,79258,7327746.0,1.08,0.22,0.002,1.86
56,2021-05-25,0.928,0.951,0.952,0.928,171999,16230691.0,2.59,2.48,0.023,4.03
57,2021-05-26,0.952,0.952,0.956,0.947,118064,11247988.0,0.95,0.11,0.001,2.76
58,2021-05-27,0.952,0.955,0.959,0.947,153580,14640921.0,1.26,0.32,0.003,3.6
59,2021-05-28,0.955,0.953,0.958,0.946,109972,10489869.0,1.26,-0.21,-0.002,2.57
60,2021-05-31,0.947,0.954,0.954,0.944,99794,9461436.0,1.05,0.1,0.001,2.34
61,2021-06-01,0.953,0.962,0.962,0.949,92041,8795372.0,1.36,0.84,0.008,2.16
62,2021-06-02,0.962,0.957,0.965,0.952,83136,7971986.0,1.35,-0.52,-0.005,1.95
63,2021-06-03,0.958,0.949,0.96,0.948,81171,7763127.0,1.25,-0.84,-0.008,1.9
64,2021-06-04,0.947,0.953,0.959,0.944,91125,8678740.0,1.58,0.42,0.004,2.13
65,2021-06-07,0.952,0.949,0.953,0.943,72177,6830811.0,1.05,-0.42,-0.004,1.69
66,2021-06-08,0.948,0.943,0.954,0.94,77659,7375928.0,1.48,-0.63,-0.006,1.82
67,2021-06-09,0.942,0.945,0.949,0.942,78747,7445857.0,0.74,0.21,0.002,1.84
68,2021-06-10,0.941,0.949,0.955,0.941,166199,15804288.0,1.48,0.42,0.004,3.89
69,2021-06-11,0.952,0.947,0.952,0.943,65724,6220515.0,0.95,-0.21,-0.002,1.54
70,2021-06-15,0.947,0.938,0.947,0.933,77979,7309005.0,1.48,-0.95,-0.009,1.83
71,2021-06-16,0.937,0.93,0.938,0.928,58999,5515018.0,1.07,-0.85,-0.008,1.38
