,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-03,1.002,1.004,1.016,1.002,926279,93601861.0,0.0,0.0,0.0,48.74
1,2021-06-04,0.999,1.006,1.011,0.996,119245,11974463.0,1.49,0.2,0.002,6.27
2,2021-06-07,1.007,1.004,1.007,0.997,47980,4801845.0,0.99,-0.2,-0.002,2.52
3,2021-06-08,1.001,0.997,1.009,0.993,177791,17879425.0,1.59,-0.7,-0.007,9.36
4,2021-06-09,0.997,0.996,1.002,0.993,76409,7615929.0,0.9,-0.1,-0.001,4.02
5,2021-06-10,0.996,1.005,1.008,0.996,133538,13424305.0,1.2,0.9,0.009,7.03
6,2021-06-11,1.006,0.999,1.009,0.997,44592,4467723.0,1.19,-0.6,-0.006,2.35
7,2021-06-15,0.999,1.0,1.006,0.993,59070,5891415.0,1.3,0.1,0.001,3.11
8,2021-06-16,0.997,0.976,0.997,0.974,52808,5188312.0,2.3,-2.4,-0.024,2.78
9,2021-06-17,0.981,0.987,0.987,0.972,36934,3626234.0,1.54,1.13,0.011,1.94
10,2021-06-18,0.987,1.001,1.006,0.987,51484,5140931.0,1.93,1.42,0.014,2.71
11,2021-06-21,1.0,0.995,1.001,0.988,61807,6139886.0,1.3,-0.6,-0.006,3.25
12,2021-06-22,0.995,0.999,1.0,0.987,63694,6347576.0,1.31,0.4,0.004,3.35
13,2021-06-23,0.999,1.015,1.017,0.996,320816,32364312.0,2.1,1.6,0.016,16.88
14,2021-06-24,1.015,1.015,1.019,1.008,126324,12819603.0,1.08,0.0,0.0,6.65
15,2021-06-25,1.015,1.029,1.03,1.012,182652,18701363.0,1.77,1.38,0.014,9.61
16,2021-06-28,1.028,1.029,1.032,1.025,67977,6992901.0,0.68,0.0,0.0,3.58
17,2021-06-29,1.029,1.022,1.032,1.021,83754,8585643.0,1.07,-0.68,-0.007,4.41
18,2021-06-30,1.022,1.025,1.027,1.02,54594,5591663.0,0.68,0.29,0.003,2.87
19,2021-07-01,1.025,1.024,1.027,1.017,59753,6113144.0,0.98,-0.1,-0.001,3.14
20,2021-07-02,1.025,0.999,1.025,0.997,37371,3752007.0,2.73,-2.44,-0.025,1.97
21,2021-07-05,0.999,0.984,0.999,0.978,36887,3636238.0,2.1,-1.5,-0.015,1.94
22,2021-07-06,0.985,0.98,0.986,0.969,30614,2982444.0,1.73,-0.41,-0.004,1.61
23,2021-07-07,0.975,0.982,0.988,0.97,23931,2352455.0,1.84,0.2,0.002,1.26
24,2021-07-08,0.982,0.98,0.985,0.973,30015,2932966.0,1.22,-0.2,-0.002,1.58
25,2021-07-09,0.98,0.981,0.983,0.955,28842,2793840.0,2.86,0.1,0.001,1.52
26,2021-07-12,0.983,0.993,0.994,0.979,46778,4627395.0,1.53,1.22,0.012,2.46
27,2021-07-13,0.997,0.994,0.999,0.988,36754,3656997.0,1.11,0.1,0.001,1.93
28,2021-07-14,1.001,0.992,1.001,0.99,27915,2776187.0,1.11,-0.2,-0.002,1.47
29,2021-07-15,0.992,0.992,0.996,0.985,31079,3076249.0,1.11,0.0,0.0,1.64
30,2021-07-16,0.991,0.99,0.999,0.99,36269,3617197.0,0.91,-0.2,-0.002,1.91
31,2021-07-19,0.984,0.995,0.995,0.982,12533,1240340.0,1.31,0.51,0.005,0.66
32,2021-07-20,0.994,0.99,0.995,0.981,13776,1356820.0,1.41,-0.5,-0.005,0.72
33,2021-07-21,0.99,0.987,0.995,0.985,18497,1830807.0,1.01,-0.3,-0.003,0.97
