,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-03,0.977,0.982,0.986,0.977,1106080,108567860.0,0.0,0.0,0.0,443.36
1,2021-12-06,0.975,0.966,0.978,0.965,374243,36388260.0,1.32,-1.63,-0.016,150.01
2,2021-12-07,0.968,0.983,0.983,0.968,342427,33496026.0,1.55,1.76,0.017,137.26
3,2021-12-08,0.983,1.0,1.004,0.979,612013,60976318.0,2.54,1.73,0.017,245.32
4,2021-12-09,0.995,1.017,1.02,0.995,686833,69464537.0,2.5,1.7,0.017,275.31
5,2021-12-10,1.012,1.023,1.029,0.915,347847,35575215.0,11.21,0.59,0.006,139.43
6,2021-12-13,1.031,1.046,1.047,1.03,517019,53891352.0,1.66,2.25,0.023,207.24
7,2021-12-14,1.042,1.032,1.042,0.941,289616,29942651.0,9.66,-1.34,-0.014,116.09
8,2021-12-15,1.02,1.029,1.04,1.02,224447,23209996.0,1.94,-0.29,-0.003,89.97
9,2021-12-16,1.029,1.039,1.04,1.023,245618,25328405.0,1.65,0.97,0.01,98.45
10,2021-12-17,1.039,1.024,1.039,1.02,192803,19792774.0,1.83,-1.44,-0.015,77.28
11,2021-12-20,1.025,0.994,1.034,0.992,179884,18233485.0,4.1,-2.93,-0.03,72.1
12,2021-12-21,1.012,1.008,1.012,0.993,162066,16250274.0,1.91,1.41,0.014,64.96
13,2021-12-22,1.01,1.031,1.04,1.01,174175,17986811.0,2.98,2.28,0.023,69.82
14,2021-12-23,1.026,1.025,1.042,1.022,159355,16404286.0,1.94,-0.58,-0.006,63.88
15,2021-12-24,1.025,1.029,1.036,1.025,117293,12084643.0,1.07,0.39,0.004,47.02
16,2021-12-27,1.024,1.017,1.038,1.008,95120,9670006.0,2.92,-1.17,-0.012,38.13
17,2021-12-28,1.018,1.015,1.02,1.01,86242,8748606.0,0.98,-0.2,-0.002,34.57
18,2021-12-29,1.015,0.993,1.015,0.992,103804,10359859.0,2.27,-2.17,-0.022,41.61
19,2021-12-30,0.993,1.023,1.024,0.992,121024,12260660.0,3.22,3.02,0.03,48.51
20,2021-12-31,1.024,1.042,1.043,1.024,92953,9661799.0,1.86,1.86,0.019,37.26
21,2022-01-04,1.055,1.07,1.077,1.041,97690,10365423.0,3.45,2.69,0.028,39.16
22,2022-01-05,1.074,1.055,1.075,1.045,106631,11246849.0,2.8,-1.4,-0.015,42.74
23,2022-01-06,1.05,1.036,1.05,1.025,85968,8874780.0,2.37,-1.8,-0.019,34.46
24,2022-01-07,1.034,1.042,1.065,1.033,95940,10122011.0,3.09,0.58,0.006,38.46
25,2022-01-10,1.041,1.056,1.06,1.025,94348,9901435.0,3.36,1.34,0.014,37.82
26,2022-01-11,1.068,1.035,1.068,1.031,113486,11831224.0,3.5,-1.99,-0.021,45.49
27,2022-01-12,1.038,1.058,1.063,1.038,100048,10548017.0,2.42,2.22,0.023,40.1
28,2022-01-13,1.058,1.04,1.071,1.038,78114,8202152.0,3.12,-1.7,-0.018,31.31
29,2022-01-14,1.032,1.043,1.046,1.018,40471,4209612.0,2.69,0.29,0.003,16.22
30,2022-01-17,1.04,1.059,1.06,1.023,36000,3796500.0,3.55,1.53,0.016,14.43
31,2022-01-18,1.054,1.043,1.065,1.038,50657,5319198.0,2.55,-1.51,-0.016,20.31
32,2022-01-19,1.043,1.045,1.06,1.038,33675,3532431.0,2.11,0.19,0.002,13.5
33,2022-01-20,1.045,1.049,1.053,1.029,33041,3457149.0,2.3,0.38,0.004,13.24
34,2022-01-21,1.046,1.031,1.055,1.028,24055,2501762.0,2.57,-1.72,-0.018,9.64
35,2022-01-24,1.029,1.025,1.029,1.019,34433,3524905.0,0.97,-0.58,-0.006,13.8
36,2022-01-25,1.02,0.997,1.02,0.979,48138,4761038.0,4.0,-2.73,-0.028,19.3
37,2022-01-26,0.986,0.98,1.002,0.966,40264,3953201.0,3.61,-1.71,-0.017,16.14
38,2022-01-27,0.976,0.938,0.976,0.938,24699,2350015.0,3.88,-4.29,-0.042,9.9
39,2022-01-28,0.938,0.958,0.96,0.938,60805,5756466.0,2.35,2.13,0.02,24.37
40,2022-02-07,0.958,0.959,0.967,0.939,43915,4206634.0,2.92,0.1,0.001,17.6
41,2022-02-08,0.96,0.966,0.966,0.95,51746,4969276.0,1.67,0.73,0.007,20.74
42,2022-02-09,0.961,0.99,0.994,0.957,68203,6692984.0,3.83,2.48,0.024,27.34
43,2022-02-10,0.99,1.007,1.034,0.965,99277,9932126.0,6.97,1.72,0.017,39.79
44,2022-02-11,1.01,0.987,1.01,0.983,90395,8962780.0,2.68,-1.99,-0.02,36.23
45,2022-02-14,0.983,0.976,0.987,0.972,99379,9745325.0,1.52,-1.11,-0.011,39.83
46,2022-02-15,0.976,0.98,0.986,0.975,119461,11714870.0,1.13,0.41,0.004,47.88
47,2022-02-16,0.989,0.988,0.993,0.986,107694,10662717.0,0.71,0.82,0.008,43.17
48,2022-02-17,0.983,0.99,0.99,0.978,109646,10804152.0,1.21,0.2,0.002,43.95
49,2022-02-18,0.98,0.984,0.988,0.95,91312,8986780.0,3.84,-0.61,-0.006,36.6
50,2022-02-21,0.973,0.965,0.978,0.964,95603,9315839.0,1.42,-1.93,-0.019,38.32
51,2022-02-22,0.957,0.93,0.974,0.923,74959,6982025.0,5.28,-3.63,-0.035,30.05
52,2022-02-23,0.93,0.954,0.958,0.93,92369,8792989.0,3.01,2.58,0.024,37.02
53,2022-02-24,0.955,0.915,0.955,0.901,105268,9811112.0,5.66,-4.09,-0.039,42.2
54,2022-02-25,0.913,0.92,0.937,0.913,120628,11239642.0,2.62,0.55,0.005,48.35
55,2022-02-28,0.92,0.914,0.92,0.903,114104,10346249.0,1.85,-0.65,-0.006,45.74
56,2022-03-01,0.923,0.928,0.928,0.916,108589,9988497.0,1.31,1.53,0.014,43.53
57,2022-03-02,0.928,0.91,0.928,0.908,92458,8443258.0,2.16,-1.94,-0.018,37.06
58,2022-03-03,0.908,0.896,0.909,0.891,190456,17067210.0,1.98,-1.54,-0.014,76.34
59,2022-03-04,0.88,0.886,0.89,0.878,143745,12707648.0,1.34,-1.12,-0.01,57.62
60,2022-03-07,0.87,0.87,0.873,0.859,76675,6643091.0,1.58,-1.81,-0.016,30.73
61,2022-03-08,0.87,0.83,0.87,0.83,95222,8036407.0,4.6,-4.6,-0.04,38.17
62,2022-03-09,0.83,0.822,0.842,0.796,87387,7246961.0,5.54,-0.96,-0.008,35.03
63,2022-03-10,0.823,0.836,0.882,0.823,59532,5026135.0,7.18,1.7,0.014,23.86
64,2022-03-11,0.828,0.829,0.83,0.8,62482,5084612.0,3.59,-0.84,-0.007,25.05
65,2022-03-14,0.821,0.793,0.821,0.792,30444,2456650.0,3.5,-4.34,-0.036,12.2
