,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-09-28,4.019,4.001,4.019,3.982,108642,43472927.0,0.0,0.0,0.0,82.59
1,2020-09-29,4.03,4.054,4.061,4.03,40160,16277275.0,0.77,1.32,0.053,30.53
2,2020-09-30,4.065,4.055,4.071,4.049,68059,27643689.0,0.54,0.02,0.001,51.74
3,2020-10-09,4.047,4.059,4.072,4.042,48823,19758414.0,0.74,0.1,0.004,37.11
4,2020-10-12,4.077,4.098,4.111,4.055,90123,37004763.0,1.38,0.96,0.039,68.51
5,2020-10-13,4.094,4.085,4.098,4.077,38434,15722709.0,0.51,-0.32,-0.013,29.22
6,2020-10-14,4.085,4.041,4.085,3.97,20660,8308576.0,2.82,-1.08,-0.044,15.71
7,2020-10-15,4.023,4.038,4.042,4.023,12222,4928730.0,0.47,-0.07,-0.003,9.29
8,2020-10-16,4.043,4.051,4.06,3.917,20582,8349876.0,3.54,0.32,0.013,15.65
9,2020-10-19,4.038,4.058,4.058,4.03,12363,4997583.0,0.69,0.17,0.007,9.4
10,2020-10-20,4.034,4.038,4.038,4.029,7477,3016548.0,0.22,-0.49,-0.02,5.68
11,2020-10-21,4.048,4.057,4.063,4.048,6197,2512930.0,0.37,0.47,0.019,4.71
12,2020-10-22,4.053,4.053,4.053,4.042,8136,3292890.0,0.27,-0.1,-0.004,6.18
13,2020-10-23,4.035,4.033,4.04,4.03,1847,744554.0,0.25,-0.49,-0.02,1.4
14,2020-10-26,4.027,4.019,4.028,4.014,5356,2154227.0,0.35,-0.35,-0.014,4.07
15,2020-10-27,4.023,4.056,4.059,4.023,18677,7571561.0,0.9,0.92,0.037,14.2
16,2020-10-28,4.056,4.059,4.068,4.054,6560,2665015.0,0.35,0.07,0.003,4.99
17,2020-10-29,4.055,4.005,4.055,4.002,8026,3213832.0,1.31,-1.33,-0.054,6.1
18,2020-10-30,3.982,3.979,3.995,3.973,14414,5736007.0,0.55,-0.65,-0.026,10.96
19,2020-11-02,3.983,4.014,4.023,3.983,1997,800496.0,1.01,0.88,0.035,1.52
20,2020-11-03,4.024,4.03,4.036,4.024,7814,3148279.0,0.3,0.4,0.016,5.94
21,2020-11-04,4.043,4.053,4.056,4.032,22290,9027123.0,0.6,0.57,0.023,16.94
22,2020-11-05,4.043,4.045,4.05,4.04,7433,3004660.0,0.25,-0.2,-0.008,5.65
23,2020-11-06,4.053,4.077,4.095,4.053,4765,1947205.0,1.04,0.79,0.032,3.62
24,2020-11-09,4.085,4.074,4.099,4.074,17265,7064991.0,0.61,-0.07,-0.003,13.12
25,2020-11-10,3.96,3.964,3.965,3.938,12138,4799333.0,0.66,-2.7,-0.11,9.23
26,2020-11-11,3.953,3.962,3.962,3.951,20883,8262738.0,0.28,-0.05,-0.002,15.87
27,2020-11-12,3.949,3.96,3.96,3.949,9224,3645109.0,0.28,-0.05,-0.002,7.01
28,2020-11-13,3.973,3.979,3.979,3.967,16819,6684350.0,0.3,0.48,0.019,12.79
29,2020-11-16,3.99,3.975,3.99,3.971,7181,2859020.0,0.48,-0.1,-0.004,5.46
30,2020-11-17,3.975,3.963,3.975,3.961,2657,1055009.0,0.35,-0.3,-0.012,2.02
31,2020-11-18,3.951,3.943,3.951,3.935,7449,2934234.0,0.4,-0.5,-0.02,5.66
32,2020-11-19,3.934,3.921,3.935,3.917,1643,643978.0,0.46,-0.56,-0.022,1.25
33,2020-11-20,3.926,3.924,3.938,3.922,1166,457450.0,0.41,0.08,0.003,0.89
34,2020-11-23,3.927,3.935,3.935,3.925,5559,2184778.0,0.25,0.28,0.011,4.23
35,2020-11-24,3.935,3.836,3.935,3.82,7076,2715052.0,2.92,-2.52,-0.099,5.38
36,2020-11-25,3.82,3.795,3.82,3.76,19716,7484903.0,1.56,-1.07,-0.041,14.99
37,2020-11-26,3.798,3.798,3.802,3.787,6330,2403518.0,0.4,0.08,0.003,4.81
38,2020-11-27,3.784,3.803,3.803,3.784,9741,3697260.0,0.5,0.13,0.005,7.4
39,2020-11-30,3.78,3.701,3.78,3.682,17985,6646367.0,2.58,-2.68,-0.102,13.67
40,2020-12-01,3.705,3.734,3.741,3.705,13086,4881888.0,0.97,0.89,0.033,9.95
41,2020-12-02,3.739,3.79,3.79,3.739,2007,759474.0,1.37,1.5,0.056,1.53
42,2020-12-03,3.801,3.832,3.841,3.8,1462,559640.0,1.08,1.11,0.042,1.11
43,2020-12-04,3.834,3.838,3.843,3.829,4482,1717835.0,0.37,0.16,0.006,3.41
44,2020-12-07,3.825,3.83,3.835,3.825,699,267806.0,0.26,-0.21,-0.008,0.53
45,2020-12-08,3.865,3.88,3.89,3.864,5526,2142900.0,0.68,1.31,0.05,4.2
46,2020-12-09,3.884,3.864,3.884,3.853,825,318927.0,0.8,-0.41,-0.016,0.63
47,2020-12-10,3.829,3.831,3.845,3.827,193,73964.0,0.47,-0.85,-0.033,0.15
48,2020-12-11,3.831,3.823,3.831,3.819,385,147016.0,0.31,-0.21,-0.008,0.29
49,2020-12-14,3.821,3.82,3.831,3.818,1703,650732.0,0.34,-0.08,-0.003,1.29
50,2020-12-15,3.836,3.85,3.85,3.828,2225,854678.0,0.58,0.79,0.03,1.69
51,2020-12-16,3.854,3.875,3.876,3.854,5467,2117685.0,0.57,0.65,0.025,4.16
52,2020-12-17,3.879,3.901,3.901,3.878,3691,1431979.0,0.59,0.67,0.026,2.81
53,2020-12-18,3.905,3.93,3.93,3.905,3847,1509575.0,0.64,0.74,0.029,2.92
54,2020-12-21,3.95,3.967,3.988,3.95,4817,1912965.0,0.97,0.94,0.037,3.66
55,2020-12-22,3.934,3.917,3.941,3.914,3876,1521621.0,0.68,-1.26,-0.05,2.95
56,2020-12-23,3.912,3.9,3.912,3.9,372,145155.0,0.31,-0.43,-0.017,0.28
57,2020-12-24,3.917,3.915,3.926,3.912,4206,1649698.0,0.36,0.38,0.015,3.2
58,2020-12-25,3.915,3.938,3.938,3.915,496,194848.0,0.59,0.59,0.023,0.38
59,2020-12-28,3.953,3.939,3.97,3.926,4340,1711658.0,1.12,0.03,0.001,3.3
60,2020-12-29,3.93,3.917,3.933,3.917,8368,3287700.0,0.41,-0.56,-0.022,6.36
61,2020-12-30,3.923,3.91,3.923,3.91,1286,504111.0,0.33,-0.18,-0.007,0.98
62,2020-12-31,3.938,3.938,3.946,3.925,7347,2890648.0,0.54,0.72,0.028,5.58
63,2021-01-04,3.942,3.982,3.988,3.942,8913,3547733.0,1.17,1.12,0.044,6.78
64,2021-01-05,3.992,4.01,4.015,3.992,4568,1829927.0,0.58,0.7,0.028,3.47
65,2021-01-06,4.01,4.01,4.025,4.01,4275,1718348.0,0.37,0.0,0.0,3.25
66,2021-01-07,3.969,3.979,3.979,3.96,1825,724280.0,0.47,-0.77,-0.031,1.39
67,2021-01-08,3.969,3.953,3.97,3.951,8440,3339998.0,0.48,-0.65,-0.026,6.42
68,2021-01-11,3.949,3.853,3.949,3.801,11487,4396687.0,3.74,-2.53,-0.1,8.73
69,2021-01-12,3.852,3.882,3.882,3.852,865,333884.0,0.78,0.75,0.029,0.66
70,2021-01-13,3.886,3.879,3.892,3.879,7612,2958107.0,0.33,-0.08,-0.003,5.79
71,2021-01-14,3.868,3.852,3.869,3.844,8475,3268360.0,0.64,-0.7,-0.027,6.44
72,2021-01-15,3.862,3.852,3.875,3.852,3756,1454336.0,0.6,0.0,0.0,2.86
73,2021-01-18,3.822,3.857,3.861,3.822,2442,938239.0,1.01,0.13,0.005,1.86
74,2021-01-19,3.863,3.858,3.865,3.854,6476,2498790.0,0.29,0.03,0.001,4.92
75,2021-01-20,3.862,3.871,3.871,3.861,431,166522.0,0.26,0.34,0.013,0.33
76,2021-01-21,3.879,3.897,3.904,3.879,6024,2348941.0,0.65,0.67,0.026,4.58
77,2021-01-22,3.89,3.885,3.89,3.878,1761,684873.0,0.31,-0.31,-0.012,1.34
78,2021-01-25,3.885,3.871,3.888,3.871,2679,1040121.0,0.44,-0.36,-0.014,2.04
79,2021-01-26,3.876,3.876,3.884,3.876,5938,2305153.0,0.21,0.13,0.005,4.51
80,2021-01-27,3.848,3.855,3.86,3.844,6839,2633414.0,0.41,-0.54,-0.021,5.2
81,2021-01-28,3.846,3.842,3.849,3.841,3279,1261340.0,0.21,-0.34,-0.013,2.49
82,2021-01-29,3.842,3.851,3.851,3.842,1251,481233.0,0.23,0.23,0.009,0.95
83,2021-02-01,3.854,3.897,3.906,3.853,11158,4328824.0,1.38,1.19,0.046,8.48
84,2021-02-02,3.897,3.869,3.897,3.865,4475,1740873.0,0.82,-0.72,-0.028,3.4
85,2021-02-03,3.835,3.831,3.843,3.831,3311,1270911.0,0.31,-0.98,-0.038,2.52
86,2021-02-04,3.813,3.794,3.813,3.781,1631,617638.0,0.84,-0.97,-0.037,1.24
87,2021-02-05,3.758,3.759,3.764,3.755,1104,414830.0,0.24,-0.92,-0.035,0.84
88,2021-02-08,3.764,3.788,3.792,3.764,2014,762581.0,0.74,0.77,0.029,1.53
89,2021-02-09,3.8,3.836,4.167,3.8,13698,5252349.0,9.69,1.27,0.048,10.41
90,2021-02-10,3.884,3.836,3.884,3.819,4144,1599832.0,1.69,0.0,0.0,3.15
91,2021-02-18,3.83,3.733,3.83,3.718,2186,814381.0,2.92,-2.69,-0.103,1.66
92,2021-02-19,3.711,3.716,3.72,3.698,2883,1068408.0,0.59,-0.46,-0.017,2.19
93,2021-02-22,3.72,3.76,3.767,3.72,2108,790965.0,1.26,1.18,0.044,1.6
94,2021-02-23,3.77,3.797,3.806,3.77,389,147623.0,0.96,0.98,0.037,0.3
95,2021-02-24,3.788,3.782,3.788,3.782,1317,498242.0,0.16,-0.4,-0.015,1.0
96,2021-02-25,3.786,3.756,3.786,3.754,1900,714101.0,0.85,-0.69,-0.026,1.44
97,2021-02-26,3.752,3.701,3.752,3.69,1496,552561.0,1.65,-1.46,-0.055,1.14
98,2021-03-01,3.68,3.672,3.681,3.652,4365,1595685.0,0.78,-0.78,-0.029,3.32
99,2021-03-02,3.672,3.611,3.672,3.59,4465,1606984.0,2.23,-1.66,-0.061,3.39
100,2021-03-03,3.63,3.628,3.637,3.623,513,186199.0,0.39,0.47,0.017,0.39
101,2021-03-04,3.611,3.596,3.611,3.58,8532,3062154.0,0.85,-0.88,-0.032,6.49
102,2021-03-05,3.55,3.558,3.558,3.545,2678,950418.0,0.36,-1.06,-0.038,2.04
103,2021-03-08,3.554,3.6,3.609,3.554,1827,658347.0,1.55,1.18,0.042,1.39
104,2021-03-09,3.56,3.585,3.585,3.56,138,49423.0,0.69,-0.42,-0.015,0.11
105,2021-03-10,3.62,3.617,3.62,3.614,218,78935.0,0.17,0.89,0.032,0.17
106,2021-03-11,3.621,3.656,3.657,3.621,2301,840868.0,1.0,1.08,0.039,1.75
107,2021-03-12,3.628,3.609,3.628,3.607,2244,812340.0,0.57,-1.29,-0.047,1.71
108,2021-03-15,3.614,3.636,3.638,3.5,2091,759833.0,3.82,0.75,0.027,1.59
109,2021-03-16,3.642,3.641,3.647,3.641,754,274691.0,0.17,0.14,0.005,0.57
110,2021-03-17,3.65,3.65,3.65,3.647,1449,528641.0,0.08,0.25,0.009,1.1
111,2021-03-18,3.682,3.68,3.682,3.676,46,16925.0,0.16,0.82,0.03,0.03
112,2021-03-19,3.646,3.668,3.668,3.646,2934,1070153.0,0.6,-0.33,-0.012,2.23
113,2021-03-22,3.664,3.646,3.664,3.646,2060,751781.0,0.49,-0.6,-0.022,1.57
114,2021-03-23,3.656,3.663,3.665,3.656,412,150826.0,0.25,0.47,0.017,0.31
115,2021-03-24,3.659,3.655,3.659,3.646,384,140265.0,0.35,-0.22,-0.008,0.29
116,2021-03-25,3.659,3.669,3.67,3.659,653,239541.0,0.3,0.38,0.014,0.5
117,2021-03-26,3.654,3.661,3.661,3.65,1360,497057.0,0.3,-0.22,-0.008,1.03
118,2021-03-29,3.657,3.657,3.66,3.551,1954,710743.0,2.98,-0.11,-0.004,1.49
119,2021-03-30,3.629,3.619,3.629,3.616,1144,414699.0,0.36,-1.04,-0.038,0.87
120,2021-03-31,3.609,3.573,3.609,3.56,1006,358566.0,1.35,-1.27,-0.046,0.76
121,2021-04-01,3.583,3.641,3.642,3.583,3508,1272570.0,1.65,1.9,0.068,2.67
122,2021-04-02,3.648,3.685,3.692,3.648,1023,376795.0,1.21,1.21,0.044,0.78
123,2021-04-06,3.68,3.673,3.683,3.673,1947,715762.0,0.27,-0.33,-0.012,1.48
124,2021-04-07,3.675,3.678,3.679,3.675,3004,1104362.0,0.11,0.14,0.005,2.28
125,2021-04-08,3.675,3.688,3.69,3.675,1403,515670.0,0.41,0.27,0.01,1.07
126,2021-04-09,3.696,3.709,3.716,3.696,1012,375704.0,0.54,0.57,0.021,0.77
127,2021-04-12,3.705,3.678,3.705,3.678,1358,499744.0,0.73,-0.84,-0.031,1.03
128,2021-04-13,3.674,3.654,3.676,3.65,4555,1670319.0,0.71,-0.65,-0.024,3.46
129,2021-04-14,3.658,3.685,3.685,3.658,622,228781.0,0.74,0.85,0.031,0.47
130,2021-04-15,3.681,3.684,4.053,3.6,1269,464920.0,12.29,-0.03,-0.001,0.96
131,2021-04-16,3.69,3.719,4.0,3.69,2428,903140.0,8.41,0.95,0.035,1.85
132,2021-04-19,3.723,3.744,3.76,3.723,3302,1235963.0,0.99,0.67,0.025,2.51
133,2021-04-20,3.74,3.713,3.74,3.71,4548,1689595.0,0.8,-0.83,-0.031,3.46
134,2021-04-21,3.718,3.747,3.747,3.718,1955,731443.0,0.78,0.92,0.034,1.49
135,2021-04-22,3.755,3.751,3.755,3.74,4264,1598932.0,0.4,0.11,0.004,3.24
136,2021-04-23,3.742,3.739,3.746,3.738,1877,702447.0,0.21,-0.32,-0.012,1.43
137,2021-04-26,3.735,3.73,3.735,3.728,131,48977.0,0.19,-0.24,-0.009,0.1
