,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-18,0.98,0.976,0.988,0.972,1109098,108533761.0,0.0,0.0,0.0,168.55
1,2023-12-19,0.974,0.98,0.985,0.971,234963,22973280.0,1.43,0.41,0.004,35.71
2,2023-12-20,0.98,0.962,0.98,0.961,197073,19081048.0,1.94,-1.84,-0.018,29.95
3,2023-12-21,0.946,0.974,0.974,0.946,143335,13778675.0,2.91,1.25,0.012,21.78
4,2023-12-22,0.957,0.962,0.976,0.957,175939,16990221.0,1.95,-1.23,-0.012,26.74
5,2023-12-25,0.964,0.962,0.964,0.953,92148,8837658.0,1.14,0.0,0.0,14.0
6,2023-12-26,0.956,0.951,0.956,0.949,63475,6035512.0,0.73,-1.14,-0.011,9.65
7,2023-12-27,0.952,0.96,0.961,0.946,216426,20702381.0,1.58,0.95,0.009,32.89
8,2023-12-28,0.96,0.971,0.973,0.96,79963,7731139.0,1.35,1.15,0.011,12.15
9,2023-12-29,0.975,0.979,0.981,0.972,74976,7334362.0,0.93,0.82,0.008,11.39
10,2024-01-02,0.974,0.969,0.98,0.969,56817,5533449.0,1.12,-1.02,-0.01,8.63
11,2024-01-03,0.967,0.962,0.967,0.956,59398,5692693.0,1.14,-0.72,-0.007,9.03
12,2024-01-04,0.958,0.956,0.958,0.952,16101,1535223.0,0.62,-0.62,-0.006,2.45
13,2024-01-05,0.955,0.942,0.956,0.935,68614,6487945.0,2.2,-1.46,-0.014,10.43
14,2024-01-08,0.931,0.926,0.934,0.926,52196,4850887.0,0.85,-1.7,-0.016,7.93
15,2024-01-09,0.922,0.922,0.927,0.915,85065,7804958.0,1.3,-0.43,-0.004,12.93
16,2024-01-10,0.916,0.905,0.916,0.905,65019,5915441.0,1.19,-1.84,-0.017,9.88
17,2024-01-11,0.903,0.918,0.918,0.902,50496,4599047.0,1.77,1.44,0.013,7.67
18,2024-01-12,0.911,0.908,0.911,0.905,53459,4848700.0,0.65,-1.09,-0.01,8.12
19,2024-01-15,0.903,0.914,0.918,0.903,102603,9362711.0,1.65,0.66,0.006,15.59
20,2024-01-16,0.91,0.911,0.911,0.9,58273,5254836.0,1.2,-0.33,-0.003,8.86
21,2024-01-17,0.914,0.9,0.919,0.9,80930,7391750.0,2.09,-1.21,-0.011,12.3
22,2024-01-18,0.888,0.912,0.921,0.887,75386,6752346.0,3.78,1.33,0.012,11.46
23,2024-01-19,0.914,0.917,0.92,0.912,60792,5561357.0,0.88,0.55,0.005,9.24
24,2024-01-22,0.917,0.897,0.919,0.89,83568,7574922.0,3.16,-2.18,-0.02,12.7
25,2024-01-23,0.898,0.903,0.905,0.894,57159,5159838.0,1.23,0.67,0.006,8.69
26,2024-01-24,0.9,0.916,0.921,0.893,106388,9588479.0,3.1,1.44,0.013,16.17
27,2024-01-25,0.923,0.965,0.967,0.923,88554,8373960.0,4.8,5.35,0.049,13.46
28,2024-01-26,0.965,0.954,0.965,0.948,57858,5533843.0,1.76,-1.14,-0.011,8.79
