,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-05-12,0.997,1.008,1.027,0.996,2327400,234479646.0,0.0,0.0,0.0,456.33
1,2023-05-15,1.015,1.002,1.02,0.994,179291,18079564.0,2.58,-0.6,-0.006,35.15
2,2023-05-16,1.002,1.002,1.011,0.994,116286,11674150.0,1.7,0.0,0.0,22.8
3,2023-05-17,1.001,1.006,1.012,0.995,75229,7545551.0,1.7,0.4,0.004,14.75
4,2023-05-18,1.01,1.004,1.016,1.0,53069,5354603.0,1.59,-0.2,-0.002,10.41
5,2023-05-19,1.004,0.991,1.004,0.991,77003,7691321.0,1.29,-1.29,-0.013,15.1
6,2023-05-22,0.991,1.016,1.024,0.991,91101,9252429.0,3.33,2.52,0.025,17.86
7,2023-05-23,1.016,0.999,1.019,0.998,33190,3343317.0,2.07,-1.67,-0.017,6.51
8,2023-05-24,1.008,0.989,1.008,0.987,68344,6769065.0,2.1,-1.0,-0.01,13.4
9,2023-05-25,0.992,0.998,1.001,0.99,60960,6067215.0,1.11,0.91,0.009,11.95
10,2023-05-26,0.998,1.007,1.01,0.998,41040,4130688.0,1.2,0.9,0.009,8.05
11,2023-05-29,1.006,1.035,1.036,1.006,93902,9638984.0,2.98,2.78,0.028,18.41
12,2023-05-30,1.034,1.032,1.038,1.022,47905,4934278.0,1.55,-0.29,-0.003,9.39
13,2023-05-31,1.028,1.023,1.032,1.016,45301,4620975.0,1.55,-0.87,-0.009,8.88
14,2023-06-01,1.023,1.01,1.023,1.006,74309,7513152.0,1.66,-1.27,-0.013,14.57
15,2023-06-02,1.01,1.015,1.016,1.004,118996,11974642.0,1.19,0.5,0.005,23.33
16,2023-06-05,1.006,1.008,1.016,1.002,42791,4313872.0,1.38,-0.69,-0.007,8.39
17,2023-06-06,1.008,0.983,1.008,0.98,91222,9009755.0,2.78,-2.48,-0.025,17.89
18,2023-06-07,0.986,0.98,0.986,0.976,57887,5679362.0,1.02,-0.31,-0.003,11.35
19,2023-06-08,0.988,0.987,0.989,0.977,43659,4292279.0,1.22,0.71,0.007,8.56
20,2023-06-09,0.987,1.003,1.003,0.987,67348,6709900.0,1.62,1.62,0.016,13.2
21,2023-06-12,1.003,0.985,1.005,0.984,38641,3832772.0,2.09,-1.79,-0.018,7.58
22,2023-06-13,0.98,0.982,0.99,0.977,44606,4374191.0,1.32,-0.3,-0.003,8.75
23,2023-06-14,0.987,0.972,0.987,0.971,77795,7578759.0,1.63,-1.02,-0.01,15.25
24,2023-06-15,0.981,0.978,0.981,0.968,62954,6115539.0,1.34,0.62,0.006,12.34
25,2023-06-16,0.985,0.973,0.985,0.97,45835,4460037.0,1.53,-0.51,-0.005,8.99
26,2023-06-19,0.97,0.982,0.983,0.969,26430,2575039.0,1.44,0.92,0.009,5.18
27,2023-06-20,0.979,0.976,0.981,0.973,43722,4270596.0,0.81,-0.61,-0.006,8.57
28,2023-06-21,0.981,0.98,0.993,0.979,41176,4063051.0,1.43,0.41,0.004,8.07
29,2023-06-26,0.989,1.002,1.004,0.978,111772,11155974.0,2.65,2.24,0.022,21.91
30,2023-06-27,1.001,0.998,1.001,0.98,58595,5801604.0,2.1,-0.4,-0.004,11.49
31,2023-06-28,0.997,1.014,1.015,0.997,91059,9185265.0,1.8,1.6,0.016,17.85
32,2023-06-29,1.016,1.011,1.016,1.0,74150,7444958.0,1.58,-0.3,-0.003,14.54
33,2023-06-30,1.01,1.002,1.01,0.996,46994,4701495.0,1.38,-0.89,-0.009,9.21
34,2023-07-03,1.001,1.007,1.012,0.999,60558,6100242.0,1.3,0.5,0.005,11.87
35,2023-07-04,1.006,1.001,1.007,0.997,60387,6048853.0,0.99,-0.6,-0.006,11.84
36,2023-07-05,1.0,0.998,1.012,0.991,38886,3886108.0,2.1,-0.3,-0.003,7.62
37,2023-07-06,0.998,0.999,1.004,0.996,52901,5286560.0,0.8,0.1,0.001,10.37
38,2023-07-07,0.99,1.006,1.008,0.99,19712,1982643.0,1.8,0.7,0.007,3.86
39,2023-07-10,1.014,1.011,1.023,1.006,41999,4258062.0,1.69,0.5,0.005,8.23
40,2023-07-11,1.012,1.007,1.012,0.998,29761,2982615.0,1.38,-0.4,-0.004,5.84
41,2023-07-12,1.015,1.006,1.015,1.001,43765,4399773.0,1.39,-0.1,-0.001,8.58
42,2023-07-13,1.008,1.007,1.009,1.003,71997,7247840.0,0.6,0.1,0.001,14.12
43,2023-07-14,1.004,1.0,1.004,0.998,53435,5346384.0,0.6,-0.7,-0.007,10.48
44,2023-07-17,1.002,1.0,1.002,0.997,19545,1953546.0,0.5,0.0,0.0,3.83
45,2023-07-18,0.995,0.992,0.996,0.991,53903,5348299.0,0.5,-0.8,-0.008,10.57
46,2023-07-19,0.993,0.99,0.995,0.988,45380,4490940.0,0.71,-0.2,-0.002,8.9
47,2023-07-20,0.99,0.983,0.991,0.982,39958,3943877.0,0.91,-0.71,-0.007,7.83
48,2023-07-21,0.985,0.983,0.986,0.98,26978,2650772.0,0.61,0.0,0.0,5.29
49,2023-07-24,0.978,0.987,0.988,0.976,64270,6332922.0,1.22,0.41,0.004,12.6
50,2023-07-25,0.987,0.978,0.987,0.975,31427,3076959.0,1.22,-0.91,-0.009,6.16
51,2023-07-26,0.978,0.976,0.978,0.973,33573,3272919.0,0.51,-0.2,-0.002,6.58
52,2023-07-27,0.976,0.974,0.985,0.973,45916,4487277.0,1.23,-0.2,-0.002,9.0
53,2023-07-28,0.982,0.98,0.982,0.969,69019,6744787.0,1.33,0.62,0.006,13.53
54,2023-07-31,0.982,0.987,0.987,0.982,43603,4288864.0,0.51,0.71,0.007,8.55
55,2023-08-01,0.987,0.999,1.0,0.987,41112,4088097.0,1.32,1.22,0.012,8.06
56,2023-08-02,1.005,0.992,1.005,0.991,56985,5659316.0,1.4,-0.7,-0.007,11.17
57,2023-08-03,0.991,0.997,0.999,0.989,83447,8317486.0,1.01,0.5,0.005,16.36
58,2023-08-04,0.997,0.994,1.003,0.993,69746,6949146.0,1.0,-0.3,-0.003,13.67
59,2023-08-07,0.99,0.999,0.999,0.989,38809,3854613.0,1.01,0.5,0.005,7.61
60,2023-08-08,0.999,0.994,1.004,0.992,71040,7075647.0,1.2,-0.5,-0.005,13.93
61,2023-08-09,0.989,0.984,0.989,0.982,61653,6069517.0,0.7,-1.01,-0.01,12.09
62,2023-08-10,0.985,0.987,0.99,0.985,71099,7012292.0,0.51,0.3,0.003,13.94
63,2023-08-11,0.987,0.971,0.987,0.971,89996,8794016.0,1.62,-1.62,-0.016,17.65
64,2023-08-14,0.962,0.976,0.977,0.961,66761,6466822.0,1.65,0.51,0.005,13.09
65,2023-08-15,0.978,0.984,0.988,0.978,87782,8637128.0,1.02,0.82,0.008,17.21
66,2023-08-16,0.978,0.975,0.979,0.975,103860,10144810.0,0.41,-0.91,-0.009,20.36
67,2023-08-17,0.972,0.978,0.978,0.966,100471,9733817.0,1.23,0.31,0.003,19.7
68,2023-08-18,0.977,0.971,0.98,0.971,53260,5198974.0,0.92,-0.72,-0.007,10.44
69,2023-08-21,0.972,0.964,0.973,0.96,99225,9591138.0,1.34,-0.72,-0.007,19.45
70,2023-08-22,0.963,0.959,0.963,0.949,58115,5565789.0,1.45,-0.52,-0.005,11.39
71,2023-08-23,0.957,0.945,0.959,0.945,54316,5180989.0,1.46,-1.46,-0.014,10.65
72,2023-08-24,0.945,0.937,0.945,0.935,45538,4270111.0,1.06,-0.85,-0.008,8.93
73,2023-08-25,0.935,0.942,0.95,0.935,46919,4435703.0,1.6,0.53,0.005,9.2
74,2023-08-28,0.951,0.943,0.97,0.939,73075,6883843.0,3.29,0.11,0.001,14.33
75,2023-08-29,0.945,0.944,0.948,0.94,84854,7993084.0,0.85,0.11,0.001,16.64
