,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-06-06,0.986,0.971,0.988,0.967,6569791,658212153.0,0.0,0.0,0.0,63.23
1,2023-06-07,0.973,0.975,0.981,0.97,2042972,203505683.0,1.13,0.41,0.004,19.66
2,2023-06-08,0.976,0.985,0.988,0.971,2072951,207557835.0,1.74,1.03,0.01,19.95
3,2023-06-09,0.986,0.988,0.989,0.982,1898788,191057613.0,0.71,0.3,0.003,18.27
4,2023-06-12,0.991,0.986,0.991,0.983,1265239,127322307.0,0.81,-0.2,-0.002,12.18
5,2023-06-13,0.984,0.98,0.986,0.974,1118894,111574059.0,1.22,-0.61,-0.006,10.77
6,2023-06-14,0.975,0.979,0.984,0.975,755041,75398629.0,0.92,-0.1,-0.001,7.27
7,2023-06-15,0.978,0.976,0.98,0.972,779958,77579567.0,0.82,-0.31,-0.003,7.51
8,2023-06-16,0.977,0.987,0.991,0.977,1439750,144850769.0,1.43,1.13,0.011,13.86
9,2023-06-19,0.988,0.98,0.988,0.977,789706,78852407.0,1.11,-0.71,-0.007,7.6
10,2023-06-20,0.978,0.966,0.978,0.966,1458685,144569246.0,1.22,-1.43,-0.014,14.04
11,2023-06-21,0.966,0.967,0.976,0.965,689455,68198062.0,1.14,0.1,0.001,6.64
12,2023-06-26,0.966,0.954,0.966,0.952,1132004,110778759.0,1.45,-1.34,-0.013,10.89
13,2023-06-27,0.953,0.977,0.98,0.952,918143,90834625.0,2.94,2.41,0.023,8.84
14,2023-06-28,0.975,0.98,0.981,0.969,638513,63550366.0,1.23,0.31,0.003,6.15
15,2023-06-29,0.977,0.978,0.982,0.974,1069110,106503828.0,0.82,-0.2,-0.002,10.29
16,2023-06-30,0.974,0.983,0.985,0.974,740425,74127936.0,1.12,0.51,0.005,7.13
17,2023-07-03,0.982,1.001,1.003,0.982,1868580,189714403.0,2.14,1.83,0.018,17.98
18,2023-07-04,0.995,0.996,1.003,0.992,738737,75184062.0,1.1,-0.5,-0.005,7.11
19,2023-07-05,0.992,0.996,1.001,0.991,787545,79859098.0,1.0,0.0,0.0,7.58
20,2023-07-06,0.991,0.988,0.995,0.987,579641,58515568.0,0.8,-0.8,-0.008,5.58
21,2023-07-07,0.986,0.993,0.997,0.985,659927,66726511.0,1.21,0.51,0.005,6.35
22,2023-07-10,0.991,0.994,0.999,0.99,585665,59329024.0,0.91,0.1,0.001,5.64
23,2023-07-11,0.994,0.993,0.997,0.99,595694,60334522.0,0.7,-0.1,-0.001,5.73
24,2023-07-12,1.001,0.985,1.001,0.984,602519,60881054.0,1.71,-0.81,-0.008,5.8
25,2023-07-13,0.988,0.993,0.993,0.987,552883,55854192.0,0.61,0.81,0.008,5.32
26,2023-07-14,0.993,0.992,0.999,0.989,677429,68588924.0,1.01,-0.1,-0.001,6.52
27,2023-07-17,0.992,0.99,0.992,0.983,687254,69104638.0,0.91,-0.2,-0.002,6.61
28,2023-07-18,0.99,0.989,0.991,0.984,541848,54514122.0,0.71,-0.1,-0.001,5.21
29,2023-07-19,0.989,0.992,0.995,0.987,504802,50967367.0,0.81,0.3,0.003,4.86
30,2023-07-20,0.991,0.985,0.995,0.984,591967,59768793.0,1.11,-0.71,-0.007,5.7
31,2023-07-21,0.984,0.982,0.987,0.979,560901,56155253.0,0.81,-0.3,-0.003,5.4
32,2023-07-24,0.985,0.982,0.986,0.976,445516,44577364.0,1.02,0.0,0.0,4.29
33,2023-07-25,0.987,1.002,1.002,0.986,827408,84216244.0,1.63,2.04,0.02,7.96
34,2023-07-26,0.998,0.999,1.005,0.994,518584,52750146.0,1.1,-0.3,-0.003,4.99
35,2023-07-27,0.997,0.997,1.007,0.996,730300,74641160.0,1.1,-0.2,-0.002,7.03
36,2023-07-28,0.997,1.015,1.015,0.994,889839,91360013.0,2.11,1.81,0.018,8.56
37,2023-07-31,1.014,1.024,1.031,1.014,746553,78026083.0,1.67,0.89,0.009,7.19
38,2023-08-01,1.024,1.029,1.034,1.024,740361,77484219.0,0.98,0.49,0.005,7.13
39,2023-08-02,1.028,1.019,1.028,1.017,582146,60564545.0,1.07,-0.97,-0.01,5.6
40,2023-08-03,1.019,1.023,1.024,1.011,441909,45777327.0,1.28,0.39,0.004,4.25
41,2023-08-04,1.025,1.025,1.035,1.024,569846,59686458.0,1.08,0.2,0.002,5.48
42,2023-08-07,1.025,1.015,1.025,1.012,558918,57792123.0,1.27,-0.98,-0.01,5.38
43,2023-08-08,1.011,1.015,1.017,1.009,652675,67353506.0,0.79,0.0,0.0,6.28
44,2023-08-09,1.014,1.008,1.014,1.007,621197,63861376.0,0.69,-0.69,-0.007,5.98
45,2023-08-10,1.014,1.011,1.015,1.006,609041,62691100.0,0.89,0.3,0.003,5.86
46,2023-08-11,1.009,0.991,1.011,0.991,696333,71039683.0,1.98,-1.98,-0.02,6.7
47,2023-08-14,0.987,0.997,0.999,0.978,559806,56492952.0,2.12,0.61,0.006,5.39
48,2023-08-15,0.997,1.0,1.001,0.991,439868,44734832.0,1.0,0.3,0.003,4.23
49,2023-08-16,0.998,0.99,0.999,0.988,672628,68090734.0,1.1,-1.0,-0.01,6.47
50,2023-08-17,0.982,0.994,0.994,0.981,992664,99718932.0,1.31,0.4,0.004,9.55
51,2023-08-18,0.994,0.985,1.001,0.983,567348,57274610.0,1.81,-0.91,-0.009,5.46
52,2023-08-21,0.983,0.976,0.988,0.975,593368,59396346.0,1.32,-0.91,-0.009,5.71
53,2023-08-22,0.976,0.983,0.988,0.972,609427,60693239.0,1.64,0.72,0.007,5.87
54,2023-08-23,0.981,0.976,0.985,0.975,541683,54199725.0,1.02,-0.71,-0.007,5.21
55,2023-08-24,0.977,0.955,0.978,0.953,3017781,294797203.0,2.56,-2.15,-0.021,29.04
56,2023-08-25,0.955,0.958,0.963,0.947,843652,82298480.0,1.68,0.31,0.003,8.12
57,2023-08-28,0.986,0.974,1.006,0.971,876604,87618995.0,3.65,1.67,0.016,8.44
58,2023-08-29,0.973,0.976,0.981,0.969,663650,65881022.0,1.23,0.21,0.002,6.39
59,2023-08-30,0.976,0.971,0.978,0.967,619455,61406344.0,1.13,-0.51,-0.005,5.96
60,2023-08-31,0.97,0.959,0.974,0.958,653333,64025496.0,1.65,-1.24,-0.012,6.29
61,2023-09-01,0.961,0.971,0.974,0.96,650656,64337114.0,1.46,1.25,0.012,6.26
62,2023-09-04,0.976,0.991,0.992,0.976,567044,57150655.0,1.65,2.06,0.02,5.46
63,2023-09-05,0.987,0.987,0.99,0.983,525255,52798076.0,0.71,-0.4,-0.004,5.06
64,2023-09-06,0.986,0.982,0.986,0.977,559079,55843368.0,0.91,-0.51,-0.005,5.38
65,2023-09-07,0.981,0.975,0.985,0.975,458517,45832784.0,1.02,-0.71,-0.007,4.41
66,2023-09-08,0.976,0.972,0.976,0.968,555959,55003937.0,0.82,-0.31,-0.003,5.35
67,2023-09-11,0.973,0.98,0.98,0.972,554443,55247603.0,0.82,0.82,0.008,5.34
68,2023-09-12,0.981,0.979,0.982,0.976,468488,46726834.0,0.61,-0.1,-0.001,4.51
69,2023-09-13,0.98,0.978,0.985,0.975,618087,61649508.0,1.02,-0.1,-0.001,5.95
70,2023-09-14,0.974,0.984,0.985,0.974,550719,55099461.0,1.12,0.61,0.006,5.3
71,2023-09-15,0.985,0.979,0.99,0.976,524377,52445762.0,1.42,-0.51,-0.005,5.05
72,2023-09-18,0.982,0.974,0.982,0.968,454873,45062139.0,1.43,-0.51,-0.005,4.38
73,2023-09-19,0.969,0.98,0.981,0.969,425269,42369438.0,1.23,0.62,0.006,4.09
74,2023-09-20,0.981,0.978,0.982,0.974,338863,33780731.0,0.82,-0.2,-0.002,3.26
75,2023-09-21,0.971,0.971,0.98,0.969,443185,43945602.0,1.12,-0.72,-0.007,4.27
76,2023-09-22,0.971,0.976,0.977,0.966,456363,45217294.0,1.13,0.51,0.005,4.39
77,2023-09-25,0.979,0.971,0.979,0.969,371011,36797577.0,1.02,-0.51,-0.005,3.57
78,2023-09-26,0.972,0.966,0.972,0.964,815722,80371161.0,0.82,-0.51,-0.005,7.85
79,2023-09-27,0.965,0.965,0.97,0.962,421504,41495617.0,0.83,-0.1,-0.001,4.06
80,2023-09-28,0.965,0.964,0.968,0.963,472122,46487175.0,0.52,-0.1,-0.001,4.54
81,2023-10-09,0.965,0.961,0.966,0.953,458842,44929146.0,1.35,-0.31,-0.003,4.42
82,2023-10-10,0.962,0.943,0.965,0.941,533001,51387286.0,2.5,-1.87,-0.018,5.13
83,2023-10-11,0.946,0.937,0.946,0.934,542755,51915027.0,1.27,-0.64,-0.006,5.22
84,2023-10-12,0.942,0.945,0.947,0.94,443643,42749244.0,0.75,0.85,0.008,4.27
85,2023-10-13,0.945,0.94,0.945,0.934,465229,44586422.0,1.16,-0.53,-0.005,4.48
86,2023-10-16,0.938,0.942,0.943,0.938,501144,48084018.0,0.53,0.21,0.002,4.82
87,2023-10-17,0.944,0.95,0.95,0.943,413467,39925925.0,0.74,0.85,0.008,3.98
88,2023-10-18,0.946,0.944,0.95,0.944,501696,48410925.0,0.63,-0.63,-0.006,4.83
89,2023-10-19,0.941,0.927,0.941,0.926,521930,49673578.0,1.59,-1.8,-0.017,5.02
90,2023-10-20,0.924,0.918,0.927,0.916,513111,48368632.0,1.19,-0.97,-0.009,4.94
91,2023-10-23,0.918,0.898,0.918,0.894,476768,44006700.0,2.61,-2.18,-0.02,4.59
92,2023-10-24,0.898,0.908,0.908,0.896,538377,49614339.0,1.34,1.11,0.01,5.18
