,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-01-11,1.007,1.007,1.011,1.004,5379753,542094057.0,0.0,0.0,0.0,694.88
1,2023-01-12,1.006,1.008,1.011,1.003,872114,87907113.0,0.79,0.1,0.001,112.65
2,2023-01-13,1.008,1.022,1.022,1.008,1164980,118229286.0,1.39,1.39,0.014,150.48
3,2023-01-16,1.02,1.036,1.046,1.02,683834,70783698.0,2.54,1.37,0.014,88.33
4,2023-01-17,1.036,1.037,1.04,1.033,206672,21416395.0,0.68,0.1,0.001,26.69
5,2023-01-18,1.037,1.034,1.04,1.034,203781,21124016.0,0.58,-0.29,-0.003,26.32
6,2023-01-19,1.03,1.041,1.042,1.03,208396,21594690.0,1.16,0.68,0.007,26.92
7,2023-01-20,1.041,1.047,1.049,1.041,151017,15808269.0,0.77,0.58,0.006,19.51
8,2023-01-30,1.052,1.053,1.068,1.051,359336,37965142.0,1.62,0.57,0.006,46.41
9,2023-01-31,1.048,1.045,1.058,1.043,109803,11542113.0,1.42,-0.76,-0.008,14.18
10,2023-02-01,1.038,1.053,1.053,1.038,192443,20126287.0,1.44,0.77,0.008,24.86
11,2023-02-02,1.056,1.053,1.063,1.048,120618,12710988.0,1.42,0.0,0.0,15.58
12,2023-02-03,1.05,1.044,1.05,1.034,185012,19245431.0,1.52,-0.85,-0.009,23.9
13,2023-02-06,1.035,1.03,1.035,1.025,159516,16416528.0,0.96,-1.34,-0.014,20.6
14,2023-02-07,1.029,1.035,1.036,1.029,107104,11067762.0,0.68,0.49,0.005,13.83
15,2023-02-08,1.031,1.031,1.037,1.031,87221,9027044.0,0.58,-0.39,-0.004,11.27
16,2023-02-09,1.032,1.043,1.043,1.032,65426,6803739.0,1.07,1.16,0.012,8.45
17,2023-02-10,1.036,1.037,1.042,1.033,67948,7051006.0,0.86,-0.58,-0.006,8.78
18,2023-02-13,1.037,1.047,1.049,1.037,139423,14572325.0,1.16,0.96,0.01,18.01
19,2023-02-14,1.046,1.048,1.049,1.044,63285,6620467.0,0.48,0.1,0.001,8.17
20,2023-02-15,1.048,1.043,1.048,1.042,150330,15696410.0,0.57,-0.48,-0.005,19.42
21,2023-02-16,1.049,1.036,1.053,1.028,153930,16069197.0,2.4,-0.67,-0.007,19.88
22,2023-02-17,1.031,1.023,1.045,1.021,72329,7471777.0,2.32,-1.25,-0.013,9.34
23,2023-02-20,1.023,1.048,1.048,1.023,208321,21526151.0,2.44,2.44,0.025,26.91
24,2023-02-21,1.048,1.047,1.05,1.039,59785,6250520.0,1.05,-0.1,-0.001,7.72
25,2023-02-22,1.047,1.039,1.047,1.037,80755,8399333.0,0.96,-0.76,-0.008,10.43
26,2023-02-23,1.043,1.038,1.046,1.033,138792,14399139.0,1.25,-0.1,-0.001,17.93
27,2023-02-24,1.038,1.027,1.038,1.024,69598,7147924.0,1.35,-1.06,-0.011,8.99
28,2023-02-27,1.027,1.023,1.027,1.019,35488,3632251.0,0.78,-0.39,-0.004,4.58
29,2023-02-28,1.033,1.031,1.033,1.02,20513,2104378.0,1.27,0.78,0.008,2.65
30,2023-03-01,1.029,1.044,1.046,1.029,209918,21861535.0,1.65,1.26,0.013,27.11
31,2023-03-02,1.042,1.041,1.047,1.041,63653,6642980.0,0.57,-0.29,-0.003,8.22
32,2023-03-03,1.042,1.045,1.046,1.038,46596,4864076.0,0.77,0.38,0.004,6.02
33,2023-03-06,1.046,1.038,1.046,1.035,43944,4563395.0,1.05,-0.67,-0.007,5.68
34,2023-03-07,1.039,1.023,1.042,1.022,50414,5204337.0,1.93,-1.45,-0.015,6.51
35,2023-03-08,1.021,1.02,1.022,1.014,82863,8433470.0,0.78,-0.29,-0.003,10.7
36,2023-03-09,1.023,1.018,1.023,1.012,48678,4956333.0,1.08,-0.2,-0.002,6.29
37,2023-03-10,1.01,1.003,1.018,1.003,51170,5159932.0,1.47,-1.47,-0.015,6.61
38,2023-03-13,1.0,1.014,1.015,1.0,32629,3298954.0,1.5,1.1,0.011,4.21
39,2023-03-14,1.013,1.007,1.013,1.0,55027,5545341.0,1.28,-0.69,-0.007,7.11
40,2023-03-15,1.007,1.006,1.015,1.006,45724,4623986.0,0.89,-0.1,-0.001,5.91
41,2023-03-16,1.003,0.998,1.006,0.997,65866,6598017.0,0.89,-0.8,-0.008,8.51
42,2023-03-17,1.006,1.004,1.013,0.999,70178,7063702.0,1.4,0.6,0.006,9.06
43,2023-03-20,1.004,1.0,1.009,0.999,69268,6962010.0,1.0,-0.4,-0.004,8.95
