,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-02-15,0.995,0.999,1.0,0.991,1038270,103580243.0,0.0,0.0,0.0,73.81
1,2022-02-16,1.0,1.005,1.008,1.0,954019,95677506.0,0.8,0.6,0.006,67.82
2,2022-02-17,1.005,0.999,1.007,0.996,173168,17352152.0,1.09,-0.6,-0.006,12.31
3,2022-02-18,0.995,1.004,1.004,0.988,155277,15472001.0,1.6,0.5,0.005,11.04
4,2022-02-21,1.0,1.006,1.007,0.997,269966,27099602.0,1.0,0.2,0.002,19.19
5,2022-02-22,1.005,0.987,1.005,0.981,132216,13047104.0,2.39,-1.89,-0.019,9.4
6,2022-02-23,0.987,0.997,0.998,0.987,158028,15677638.0,1.11,1.01,0.01,11.23
7,2022-02-24,0.997,0.968,0.997,0.963,164657,16209900.0,3.41,-2.91,-0.029,11.71
8,2022-02-25,0.978,0.98,0.982,0.96,146502,14337009.0,2.27,1.24,0.012,10.42
9,2022-02-28,0.98,0.968,0.98,0.959,152445,14712568.0,2.14,-1.22,-0.012,10.84
10,2022-03-01,0.971,0.975,0.978,0.964,162077,15703017.0,1.45,0.72,0.007,11.52
11,2022-03-02,0.973,0.966,0.973,0.963,108773,10499091.0,1.03,-0.92,-0.009,7.73
12,2022-03-03,0.969,0.953,0.969,0.953,157763,15145022.0,1.66,-1.35,-0.013,11.22
13,2022-03-04,0.95,0.944,0.951,0.941,142562,13502526.0,1.05,-0.94,-0.009,10.14
14,2022-03-07,0.944,0.908,0.944,0.906,251170,23050019.0,4.03,-3.81,-0.036,17.86
15,2022-03-08,0.91,0.881,0.912,0.878,165436,14786728.0,3.74,-2.97,-0.027,11.76
16,2022-03-09,0.882,0.859,0.882,0.828,211718,18301143.0,6.13,-2.5,-0.022,15.05
17,2022-03-10,0.884,0.875,0.887,0.871,193209,17027175.0,1.86,1.86,0.016,13.74
18,2022-03-11,0.859,0.879,0.88,0.852,212626,18377456.0,3.2,0.46,0.004,15.12
19,2022-03-14,0.866,0.852,0.871,0.852,182096,15760268.0,2.16,-3.07,-0.027,12.95
20,2022-03-15,0.844,0.82,0.847,0.812,310733,25866892.0,4.11,-3.76,-0.032,22.09
21,2022-03-16,0.831,0.839,0.842,0.8,154824,12678380.0,5.12,2.32,0.019,11.01
22,2022-03-17,0.845,0.861,0.871,0.845,172734,14813004.0,3.1,2.62,0.022,12.28
23,2022-03-18,0.861,0.861,0.864,0.85,189251,16223330.0,1.63,0.0,0.0,13.45
24,2022-03-21,0.862,0.863,0.869,0.856,192482,16608939.0,1.51,0.23,0.002,13.68
25,2022-03-22,0.86,0.862,0.869,0.858,172086,14852280.0,1.27,-0.12,-0.001,12.23
26,2022-03-23,0.866,0.863,0.866,0.859,214791,18529886.0,0.81,0.12,0.001,15.27
27,2022-03-24,0.863,0.861,0.864,0.853,65232,5605762.0,1.27,-0.23,-0.002,4.64
28,2022-03-25,0.861,0.85,0.867,0.848,185426,15862380.0,2.21,-1.28,-0.011,13.18
29,2022-03-28,0.849,0.841,0.849,0.83,242761,20373662.0,2.24,-1.06,-0.009,17.26
30,2022-03-29,0.84,0.83,0.843,0.827,178562,14921776.0,1.9,-1.31,-0.011,12.69
31,2022-03-30,0.83,0.854,0.855,0.83,217243,18386654.0,3.01,2.89,0.024,15.44
