,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-28,1.006,1.004,1.007,0.996,554623,55529307.0,0.0,0.0,0.0,49.04
1,2021-06-29,1.005,0.995,1.006,0.993,173509,17302727.0,1.29,-0.9,-0.009,15.34
2,2021-06-30,0.997,0.996,0.998,0.99,169125,16831056.0,0.8,0.1,0.001,14.95
3,2021-07-01,0.996,0.999,1.002,0.987,179670,17877277.0,1.51,0.3,0.003,15.89
4,2021-07-02,0.998,0.964,0.998,0.963,138561,13483572.0,3.5,-3.5,-0.035,12.25
5,2021-07-05,0.97,0.96,0.972,0.954,64448,6182830.0,1.87,-0.41,-0.004,5.7
6,2021-07-06,0.955,0.962,0.965,0.946,110992,10563873.0,1.98,0.21,0.002,9.81
7,2021-07-07,0.955,0.972,0.973,0.95,104591,10134400.0,2.39,1.04,0.01,9.25
8,2021-07-08,0.972,0.956,0.974,0.952,119209,11413750.0,2.26,-1.65,-0.016,10.54
9,2021-07-09,0.955,0.959,0.96,0.941,82275,7824936.0,1.99,0.31,0.003,7.27
10,2021-07-12,0.962,0.973,0.978,0.956,99310,9651680.0,2.29,1.46,0.014,8.78
11,2021-07-13,0.973,0.974,0.978,0.967,68178,6626360.0,1.13,0.1,0.001,6.03
12,2021-07-14,0.965,0.971,0.978,0.961,81191,7870539.0,1.75,-0.31,-0.003,7.18
13,2021-07-15,0.973,0.976,0.978,0.964,36570,3551962.0,1.44,0.51,0.005,3.23
14,2021-07-16,0.977,0.966,0.978,0.965,79150,7682213.0,1.33,-1.02,-0.01,7.0
15,2021-07-19,0.967,0.976,0.979,0.96,46471,4505535.0,1.97,1.04,0.01,4.11
16,2021-07-20,0.977,0.97,0.977,0.964,54155,5241117.0,1.33,-0.61,-0.006,4.79
17,2021-07-21,0.968,0.976,0.98,0.968,80609,7870249.0,1.24,0.62,0.006,7.13
18,2021-07-22,0.976,0.974,0.982,0.972,82556,8064499.0,1.02,-0.2,-0.002,7.3
19,2021-07-23,0.971,0.958,0.971,0.953,75322,7203418.0,1.85,-1.64,-0.016,6.66
20,2021-07-26,0.96,0.914,0.96,0.904,144730,13321436.0,5.85,-4.59,-0.044,12.8
21,2021-07-27,0.913,0.874,0.916,0.873,124709,11216936.0,4.7,-4.38,-0.04,11.03
22,2021-07-28,0.868,0.885,0.885,0.855,150745,13184028.0,3.43,1.26,0.011,13.33
23,2021-07-29,0.89,0.895,0.905,0.89,112406,10088533.0,1.69,1.13,0.01,9.94
24,2021-07-30,0.895,0.875,0.898,0.865,109752,9571511.0,3.69,-2.23,-0.02,9.7
25,2021-08-02,0.871,0.909,0.909,0.861,100084,8902458.0,5.49,3.89,0.034,8.85
26,2021-08-03,0.909,0.915,0.917,0.898,76625,6989666.0,2.09,0.66,0.006,6.77
27,2021-08-04,0.913,0.911,0.917,0.904,110683,10095240.0,1.42,-0.44,-0.004,9.79
28,2021-08-05,0.907,0.901,0.911,0.894,58293,5267072.0,1.87,-1.1,-0.01,5.15
29,2021-08-06,0.895,0.894,0.896,0.89,47650,4250530.0,0.67,-0.78,-0.007,4.21
