,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-05-16,1.009,1.002,1.011,0.997,2192587,219926505.0,0.0,0.0,0.0,164.7
1,2022-05-17,1.0,0.996,1.002,0.988,400467,39782813.0,1.4,-0.6,-0.006,30.08
2,2022-05-18,0.995,1.003,1.011,0.993,805172,80827257.0,1.81,0.7,0.007,60.48
3,2022-05-19,1.0,1.016,1.017,0.988,620798,62558829.0,2.89,1.3,0.013,46.63
4,2022-05-20,1.02,1.025,1.035,1.019,382810,39291758.0,1.57,0.89,0.009,28.76
5,2022-05-23,1.025,1.018,1.028,1.013,260509,26506937.0,1.46,-0.68,-0.007,19.57
6,2022-05-24,1.018,0.996,1.026,0.994,356808,36223925.0,3.14,-2.16,-0.022,26.8
7,2022-05-25,0.995,1.026,1.026,0.991,359967,36275893.0,3.51,3.01,0.03,27.04
8,2022-05-26,1.031,1.03,1.038,1.02,394164,40573805.0,1.75,0.39,0.004,29.61
9,2022-05-27,1.03,1.027,1.037,1.02,348441,35861182.0,1.65,-0.29,-0.003,26.17
10,2022-05-30,1.022,1.033,1.033,1.022,326660,33598664.0,1.07,0.58,0.006,24.54
11,2022-05-31,1.033,1.047,1.051,1.031,319712,33311996.0,1.94,1.36,0.014,24.02
12,2022-06-01,1.044,1.044,1.047,1.03,248404,25826230.0,1.62,-0.29,-0.003,18.66
13,2022-06-02,1.042,1.037,1.045,1.033,285635,29652215.0,1.15,-0.67,-0.007,21.46
14,2022-06-06,1.024,1.046,1.046,1.024,316472,32765114.0,2.12,0.87,0.009,23.77
15,2022-06-07,1.046,1.04,1.052,1.035,305874,31895845.0,1.63,-0.57,-0.006,22.98
16,2022-06-08,1.039,1.051,1.057,1.035,355547,37252606.0,2.12,1.06,0.011,26.71
17,2022-06-09,1.057,1.044,1.063,1.041,323247,34089169.0,2.09,-0.67,-0.007,24.28
18,2022-06-10,1.043,1.061,1.062,1.03,304058,32141393.0,3.07,1.63,0.017,22.84
19,2022-06-13,1.041,1.037,1.061,1.028,293044,30430194.0,3.11,-2.26,-0.024,22.01
20,2022-06-14,1.035,1.049,1.05,1.02,205171,21282893.0,2.89,1.16,0.012,15.41
21,2022-06-15,1.049,1.046,1.056,1.038,321679,33583740.0,1.72,-0.29,-0.003,24.16
22,2022-06-16,1.043,1.039,1.049,1.037,302936,31574406.0,1.15,-0.67,-0.007,22.76
23,2022-06-17,1.039,1.045,1.045,1.032,291927,30310027.0,1.25,0.58,0.006,21.93
24,2022-06-20,1.045,1.06,1.067,1.041,278155,29385007.0,2.49,1.44,0.015,20.89
25,2022-06-21,1.064,1.066,1.072,1.056,308166,32776363.0,1.51,0.57,0.006,23.15
26,2022-06-22,1.071,1.049,1.072,1.048,311641,33007381.0,2.25,-1.59,-0.017,23.41
27,2022-06-23,1.042,1.054,1.055,1.037,299332,31218197.0,1.72,0.48,0.005,22.49
28,2022-06-24,1.054,1.053,1.057,1.046,291171,30607690.0,1.04,-0.09,-0.001,21.87
29,2022-06-27,1.054,1.05,1.054,1.043,225877,23691534.0,1.04,-0.28,-0.003,16.97
30,2022-06-28,1.05,1.064,1.065,1.05,322344,34057948.0,1.43,1.33,0.014,24.21
31,2022-06-29,1.067,1.053,1.067,1.05,289278,30479965.0,1.6,-1.03,-0.011,21.73
