,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-07-15,0.995,0.987,1.003,0.987,1626965,162335566.0,0.0,0.0,0.0,136.93
1,2022-07-18,0.988,1.018,1.02,0.988,1856132,187443791.0,3.24,3.14,0.031,156.22
2,2022-07-19,1.017,1.005,1.018,0.999,280509,28207058.0,1.87,-1.28,-0.013,23.61
3,2022-07-20,1.005,1.001,1.008,0.993,228905,22845622.0,1.49,-0.4,-0.004,19.27
4,2022-07-21,1.0,0.981,1.0,0.98,214432,21180034.0,2.0,-2.0,-0.02,18.05
5,2022-07-22,0.978,0.978,0.99,0.972,286975,28155656.0,1.83,-0.31,-0.003,24.15
6,2022-07-25,0.977,0.961,0.979,0.957,187658,18109537.0,2.25,-1.74,-0.017,15.79
7,2022-07-26,0.96,0.961,0.962,0.952,198909,19067605.0,1.04,0.0,0.0,16.74
8,2022-07-27,0.959,0.961,0.961,0.954,148101,14177494.0,0.73,0.0,0.0,12.46
9,2022-07-28,0.974,0.96,0.974,0.959,173694,16764481.0,1.56,-0.1,-0.001,14.62
10,2022-07-29,0.961,0.965,0.982,0.961,234209,22742582.0,2.19,0.52,0.005,19.71
11,2022-08-01,0.97,0.959,0.97,0.947,206687,19769669.0,2.38,-0.62,-0.006,17.4
12,2022-08-02,0.959,0.926,0.959,0.912,219915,20313284.0,4.9,-3.44,-0.033,18.51
13,2022-08-03,0.925,0.911,0.937,0.909,181362,16715027.0,3.02,-1.62,-0.015,15.26
14,2022-08-04,0.911,0.93,0.93,0.911,178941,16549135.0,2.09,2.09,0.019,15.06
15,2022-08-05,0.93,0.932,0.932,0.918,201529,18610130.0,1.51,0.22,0.002,16.96
16,2022-08-08,0.921,0.942,0.946,0.92,202034,18975942.0,2.79,1.07,0.01,17.0
17,2022-08-09,0.943,0.94,0.946,0.936,124594,11714975.0,1.06,-0.21,-0.002,10.49
18,2022-08-10,0.94,0.932,0.94,0.927,227734,21182695.0,1.38,-0.85,-0.008,19.17
19,2022-08-11,0.935,0.943,0.945,0.935,201739,18997326.0,1.07,1.18,0.011,16.98
20,2022-08-12,0.943,0.957,0.961,0.943,179845,17209069.0,1.91,1.48,0.014,15.14
21,2022-08-15,0.956,0.97,0.971,0.955,207169,19965416.0,1.67,1.36,0.013,17.44
22,2022-08-16,0.97,0.978,0.984,0.97,217248,21208496.0,1.44,0.82,0.008,18.28
23,2022-08-17,0.977,0.993,0.998,0.977,255816,25327878.0,2.15,1.53,0.015,21.53
24,2022-08-18,0.993,0.974,1.012,0.971,224761,22100948.0,4.13,-1.91,-0.019,18.92
25,2022-08-19,0.979,1.012,1.017,0.966,576846,57569759.0,5.24,3.9,0.038,48.55
26,2022-08-22,1.011,1.008,1.025,1.0,327154,33063843.0,2.47,-0.4,-0.004,27.54
27,2022-08-23,1.007,1.016,1.024,1.0,405658,41173977.0,2.38,0.79,0.008,34.14
28,2022-08-24,1.015,0.996,1.017,0.994,199112,20034949.0,2.26,-1.97,-0.02,16.76
29,2022-08-25,0.996,1.01,1.014,0.993,253284,25414373.0,2.11,1.41,0.014,21.32
30,2022-08-26,1.005,1.005,1.021,0.978,268102,27200780.0,4.26,-0.5,-0.005,22.56
31,2022-08-29,0.999,1.004,1.007,0.989,219544,21958320.0,1.79,-0.1,-0.001,18.48
32,2022-08-30,1.004,0.992,1.014,0.984,148934,14749827.0,2.99,-1.2,-0.012,12.54
33,2022-08-31,0.991,0.975,0.992,0.968,186578,18216137.0,2.42,-1.71,-0.017,15.7
34,2022-09-01,0.972,0.965,0.978,0.965,172857,16794754.0,1.33,-1.03,-0.01,14.55
35,2022-09-02,0.966,0.977,0.993,0.966,192050,18842660.0,2.8,1.24,0.012,16.16
36,2022-09-05,0.977,0.991,0.996,0.963,201207,19884722.0,3.38,1.43,0.014,16.93
37,2022-09-06,0.993,1.014,1.016,0.987,264963,26593567.0,2.93,2.32,0.023,22.3
38,2022-09-07,1.013,1.032,1.033,1.008,395505,40313916.0,2.47,1.78,0.018,33.29
39,2022-09-08,1.03,1.035,1.053,1.029,333135,34610083.0,2.33,0.29,0.003,28.04
40,2022-09-09,1.034,1.031,1.042,1.021,230447,23714836.0,2.03,-0.39,-0.004,19.4
41,2022-09-13,1.031,1.011,1.033,1.008,208033,21141106.0,2.42,-1.94,-0.02,17.51
42,2022-09-14,1.006,0.998,1.007,0.993,135078,13483477.0,1.38,-1.29,-0.013,11.37
43,2022-09-15,1.004,0.979,1.005,0.971,150445,14894269.0,3.41,-1.9,-0.019,12.66
44,2022-09-16,0.979,0.947,0.979,0.946,104096,9996695.0,3.37,-3.27,-0.032,8.76
45,2022-09-19,0.939,0.935,0.946,0.92,67717,6319353.0,2.75,-1.27,-0.012,5.7
46,2022-09-20,0.942,0.943,0.945,0.936,188762,17751358.0,0.96,0.86,0.008,15.89
47,2022-09-21,0.936,0.954,0.958,0.931,180609,17021217.0,2.86,1.17,0.011,15.2
48,2022-09-22,0.947,0.953,0.955,0.943,163527,15515726.0,1.26,-0.1,-0.001,13.76
49,2022-09-23,0.953,0.94,0.958,0.933,103204,9741775.0,2.62,-1.36,-0.013,8.69
50,2022-09-26,0.94,0.923,0.94,0.92,144837,13489120.0,2.13,-1.81,-0.017,12.19
51,2022-09-27,0.928,0.928,0.929,0.914,123333,11362547.0,1.63,0.54,0.005,10.38
52,2022-09-28,0.93,0.908,0.937,0.904,141354,12879362.0,3.56,-2.16,-0.02,11.9
53,2022-09-29,0.911,0.902,0.913,0.895,92036,8340001.0,1.98,-0.66,-0.006,7.75
54,2022-09-30,0.902,0.901,0.906,0.899,182507,16461587.0,0.78,-0.11,-0.001,15.36
55,2022-10-10,0.899,0.9,0.911,0.897,175670,15942188.0,1.55,-0.11,-0.001,14.79
56,2022-10-11,0.895,0.931,0.932,0.895,193826,17756122.0,4.11,3.44,0.031,16.31
