,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-12,0.996,1.005,1.014,0.982,1112535,111259576.0,0.0,0.0,0.0,11.49
1,2021-08-13,0.998,1.01,1.041,0.995,693649,70429394.0,4.58,0.5,0.005,7.17
2,2021-08-16,1.008,0.952,1.008,0.943,496665,47572618.0,6.44,-5.74,-0.058,5.13
3,2021-08-17,0.953,0.935,0.962,0.928,296083,28106464.0,3.57,-1.79,-0.017,3.06
4,2021-08-18,0.933,0.93,0.958,0.924,282963,26586884.0,3.64,-0.53,-0.005,2.92
5,2021-08-19,0.922,0.961,0.972,0.92,376446,35694173.0,5.59,3.33,0.031,3.89
6,2021-08-20,0.955,0.961,0.975,0.945,235830,22642111.0,3.12,0.0,0.0,2.44
7,2021-08-23,0.962,0.981,0.984,0.949,290490,28075988.0,3.64,2.08,0.02,3.0
8,2021-08-24,0.981,1.007,1.019,0.981,397348,40009083.0,3.87,2.65,0.026,4.1
9,2021-08-25,1.011,1.013,1.014,0.987,254018,25450566.0,2.68,0.6,0.006,2.62
10,2021-08-26,1.012,1.001,1.035,0.998,241094,24462832.0,3.65,-1.18,-0.012,2.49
11,2021-08-27,0.996,1.01,1.014,0.986,246219,24653650.0,2.8,0.9,0.009,2.54
12,2021-08-30,1.01,1.026,1.05,1.0,462824,47798751.0,4.95,1.58,0.016,4.78
13,2021-08-31,1.027,1.012,1.027,0.999,330455,33283306.0,2.73,-1.36,-0.014,3.41
14,2021-09-01,1.005,0.966,1.016,0.949,355670,34605996.0,6.62,-4.55,-0.046,3.67
15,2021-09-02,0.966,0.974,0.984,0.96,217116,21137850.0,2.48,0.83,0.008,2.24
16,2021-09-03,0.973,0.946,0.981,0.937,283219,26989749.0,4.52,-2.87,-0.028,2.93
17,2021-09-06,0.956,0.971,0.972,0.93,302325,28793964.0,4.44,2.64,0.025,3.12
18,2021-09-07,0.97,1.013,1.015,0.966,425301,42698021.0,5.05,4.33,0.042,4.39
19,2021-09-08,1.01,0.997,1.02,0.992,254333,25585214.0,2.76,-1.58,-0.016,2.63
20,2021-09-09,1.01,1.003,1.018,0.986,182980,18266665.0,3.21,0.6,0.006,1.89
21,2021-09-10,1.003,1.015,1.018,0.993,255003,25687001.0,2.49,1.2,0.012,2.63
22,2021-09-13,1.015,1.004,1.024,0.992,156023,15696620.0,3.15,-1.08,-0.011,1.61
23,2021-09-14,1.008,1.042,1.058,0.989,532494,55376685.0,6.87,3.78,0.038,5.5
24,2021-09-15,1.035,1.044,1.052,1.032,227667,23708908.0,1.92,0.19,0.002,2.35
25,2021-09-16,1.039,1.001,1.042,1.0,334263,33845913.0,4.02,-4.12,-0.043,3.45
26,2021-09-17,1.001,1.01,1.021,0.982,315353,31645626.0,3.9,0.9,0.009,3.26
27,2021-09-22,0.998,1.004,1.013,0.993,239862,24130309.0,1.98,-0.59,-0.006,2.48
28,2021-09-23,1.009,1.0,1.017,0.997,240392,24113303.0,1.99,-0.4,-0.004,2.48
29,2021-09-24,1.004,1.015,1.04,0.986,343566,34836897.0,5.4,1.5,0.015,3.55
30,2021-09-27,1.015,0.994,1.031,0.972,323513,32311936.0,5.81,-2.07,-0.021,3.34
31,2021-09-28,0.994,0.973,1.004,0.969,328647,32316787.0,3.52,-2.11,-0.021,3.39
32,2021-09-29,0.974,0.956,0.984,0.951,274652,26540901.0,3.39,-1.75,-0.017,2.84
33,2021-09-30,0.97,1.0,1.005,0.961,388406,38453392.0,4.6,4.6,0.044,4.01
34,2021-10-08,1.002,0.98,1.019,0.97,300341,29495379.0,4.9,-2.0,-0.02,3.1
35,2021-10-11,0.981,0.972,0.986,0.952,266369,25845689.0,3.47,-0.82,-0.008,2.75
36,2021-10-12,0.965,0.945,0.971,0.932,312728,29747591.0,4.01,-2.78,-0.027,3.23
37,2021-10-13,0.945,0.979,0.983,0.945,371875,36106664.0,4.02,3.6,0.034,3.84
