,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-05,0.99,0.958,0.99,0.956,338544,33023346.0,0.0,0.0,0.0,21.09
1,2022-01-06,0.95,0.954,0.962,0.939,57328,5449161.0,2.4,-0.42,-0.004,3.57
2,2022-01-07,0.96,0.943,0.963,0.937,147494,13936218.0,2.73,-1.15,-0.011,9.19
3,2022-01-10,0.943,0.936,0.945,0.929,51984,4866032.0,1.7,-0.74,-0.007,3.24
4,2022-01-11,0.942,0.931,0.95,0.93,40739,3815624.0,2.14,-0.53,-0.005,2.54
5,2022-01-12,0.931,0.955,0.958,0.931,83841,7969179.0,2.9,2.58,0.024,5.22
6,2022-01-13,0.959,0.95,0.963,0.943,56459,5381318.0,2.09,-0.52,-0.005,3.52
7,2022-01-14,0.958,0.958,0.964,0.941,72947,6997222.0,2.42,0.84,0.008,4.55
8,2022-01-17,0.967,0.978,0.982,0.949,119665,11659300.0,3.44,2.09,0.02,7.46
9,2022-01-18,0.977,0.968,0.979,0.957,45341,4389156.0,2.25,-1.02,-0.01,2.83
10,2022-01-19,0.967,0.945,0.967,0.94,57209,5418762.0,2.79,-2.38,-0.023,3.56
11,2022-01-20,0.945,0.944,0.952,0.943,35624,3374105.0,0.95,-0.11,-0.001,2.22
12,2022-01-21,0.938,0.945,0.954,0.936,50531,4776677.0,1.91,0.11,0.001,3.15
13,2022-01-24,0.945,0.957,0.966,0.931,74617,7131778.0,3.7,1.27,0.012,4.65
14,2022-01-25,0.957,0.939,0.963,0.935,53022,5011961.0,2.93,-1.88,-0.018,3.3
15,2022-01-26,0.947,0.954,0.957,0.943,62327,5918490.0,1.49,1.6,0.015,3.88
16,2022-01-27,0.954,0.929,0.955,0.929,49640,4659317.0,2.73,-2.62,-0.025,3.09
17,2022-01-28,0.938,0.932,0.943,0.91,77619,7161241.0,3.55,0.32,0.003,4.84
18,2022-02-07,0.932,0.936,0.949,0.93,30276,2840459.0,2.04,0.43,0.004,1.89
19,2022-02-08,0.927,0.908,0.927,0.889,82571,7463357.0,4.06,-2.99,-0.028,5.14
20,2022-02-09,0.908,0.911,0.911,0.891,53452,4825362.0,2.2,0.33,0.003,3.33
21,2022-02-10,0.911,0.885,0.913,0.875,162567,14387500.0,4.17,-2.85,-0.026,10.13
22,2022-02-11,0.879,0.864,0.886,0.861,64996,5670094.0,2.82,-2.37,-0.021,4.05
