,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-02-24,0.994,0.988,0.995,0.982,3487343,345390974.0,0.0,0.0,0.0,60.24
1,2023-02-27,0.988,0.975,0.994,0.97,1096441,107698271.0,2.43,-1.32,-0.013,18.94
2,2023-02-28,0.976,0.985,0.987,0.975,720692,70760440.0,1.23,1.03,0.01,12.45
3,2023-03-01,0.984,0.983,0.987,0.978,297891,29258150.0,0.91,-0.2,-0.002,5.15
4,2023-03-02,0.981,0.973,0.986,0.972,291327,28510720.0,1.42,-1.02,-0.01,5.03
5,2023-03-03,0.975,0.977,0.983,0.971,496509,48487921.0,1.23,0.41,0.004,8.58
6,2023-03-06,0.977,0.979,0.981,0.973,309716,30284535.0,0.82,0.2,0.002,5.35
7,2023-03-07,0.978,0.961,0.984,0.959,438688,42574647.0,2.55,-1.84,-0.018,7.58
8,2023-03-08,0.96,0.959,0.962,0.954,373050,35729785.0,0.83,-0.21,-0.002,6.44
9,2023-03-09,0.959,0.976,0.98,0.959,548641,53314861.0,2.19,1.77,0.017,9.48
10,2023-03-10,0.977,0.976,0.985,0.967,585135,57256689.0,1.84,0.0,0.0,10.11
11,2023-03-13,0.976,0.965,0.976,0.959,279714,27008508.0,1.74,-1.13,-0.011,4.83
12,2023-03-14,0.964,0.965,0.98,0.961,316324,30721369.0,1.97,0.0,0.0,5.46
13,2023-03-15,0.964,0.967,0.977,0.964,298571,29042360.0,1.35,0.21,0.002,5.16
14,2023-03-16,0.967,0.956,0.968,0.954,257978,24791092.0,1.45,-1.14,-0.011,4.46
15,2023-03-17,0.958,0.944,0.965,0.942,400377,38045600.0,2.41,-1.26,-0.012,6.92
16,2023-03-20,0.946,0.938,0.948,0.932,342100,32145881.0,1.69,-0.64,-0.006,5.91
17,2023-03-21,0.939,0.952,0.959,0.939,400673,38165523.0,2.13,1.49,0.014,6.92
18,2023-03-22,0.949,0.953,0.958,0.946,190013,18098512.0,1.26,0.11,0.001,3.28
19,2023-03-23,0.948,0.944,0.951,0.94,226329,21346072.0,1.15,-0.94,-0.009,3.91
20,2023-03-24,0.944,0.94,0.951,0.939,168265,15885995.0,1.27,-0.42,-0.004,2.91
21,2023-03-27,0.94,0.939,0.95,0.932,238252,22447468.0,1.91,-0.11,-0.001,4.12
22,2023-03-28,0.939,0.929,0.943,0.926,236540,22052414.0,1.81,-1.06,-0.01,4.09
23,2023-03-29,0.929,0.917,0.929,0.917,357401,32876537.0,1.29,-1.29,-0.012,6.17
24,2023-03-30,0.917,0.918,0.92,0.907,358462,32722626.0,1.42,0.11,0.001,6.19
25,2023-03-31,0.918,0.915,0.922,0.913,233281,21390346.0,0.98,-0.33,-0.003,4.03
26,2023-04-03,0.915,0.912,0.918,0.91,255915,23342329.0,0.87,-0.33,-0.003,4.42
27,2023-04-04,0.912,0.918,0.923,0.912,285443,26207967.0,1.21,0.66,0.006,4.93
28,2023-04-06,0.917,0.929,0.932,0.917,266884,24747273.0,1.63,1.2,0.011,4.61
29,2023-04-07,0.929,0.956,0.957,0.929,519542,49423015.0,3.01,2.91,0.027,8.97
30,2023-04-10,0.956,0.955,0.967,0.954,254065,24388193.0,1.36,-0.1,-0.001,4.39
31,2023-04-11,0.955,0.955,0.965,0.949,189306,18076312.0,1.68,0.0,0.0,3.27
32,2023-04-12,0.953,0.949,0.962,0.948,201518,19189734.0,1.47,-0.63,-0.006,3.48
33,2023-04-13,0.946,0.963,0.97,0.945,351689,33843342.0,2.63,1.48,0.014,6.08
34,2023-04-14,0.968,0.964,0.98,0.96,267472,25943678.0,2.08,0.1,0.001,4.62
35,2023-04-17,0.963,0.968,0.971,0.958,177026,17108389.0,1.35,0.41,0.004,3.06
36,2023-04-18,0.967,0.96,0.968,0.958,132208,12707374.0,1.03,-0.83,-0.008,2.28
37,2023-04-19,0.959,0.945,0.96,0.943,136701,12982359.0,1.77,-1.56,-0.015,2.36
38,2023-04-20,0.948,0.93,0.948,0.927,122104,11386168.0,2.22,-1.59,-0.015,2.11
39,2023-04-21,0.93,0.927,0.939,0.926,162048,15124477.0,1.4,-0.32,-0.003,2.8
40,2023-04-24,0.927,0.926,0.94,0.921,120105,11174446.0,2.05,-0.11,-0.001,2.07
41,2023-04-25,0.926,0.896,0.926,0.891,211354,19084886.0,3.78,-3.24,-0.03,3.65
42,2023-04-26,0.896,0.903,0.912,0.896,139198,12608056.0,1.79,0.78,0.007,2.4
43,2023-04-27,0.906,0.911,0.915,0.901,107143,9735483.0,1.55,0.89,0.008,1.85
44,2023-04-28,0.914,0.913,0.919,0.905,103259,9417961.0,1.54,0.22,0.002,1.78
45,2023-05-04,0.913,0.911,0.917,0.908,82313,7510343.0,0.99,-0.22,-0.002,1.42
46,2023-05-05,0.912,0.891,0.912,0.89,136823,12239236.0,2.41,-2.2,-0.02,2.36
47,2023-05-08,0.89,0.887,0.894,0.878,145603,12871694.0,1.8,-0.45,-0.004,2.52
48,2023-05-09,0.886,0.87,0.886,0.868,112216,9836937.0,2.03,-1.92,-0.017,1.94
49,2023-05-10,0.869,0.87,0.872,0.861,150561,13060576.0,1.26,0.0,0.0,2.6
50,2023-05-11,0.868,0.87,0.881,0.868,105352,9230707.0,1.49,0.0,0.0,1.82
51,2023-05-12,0.871,0.866,0.879,0.866,135456,11799353.0,1.49,-0.46,-0.004,2.34
52,2023-05-15,0.866,0.876,0.878,0.86,165786,14352278.0,2.08,1.15,0.01,2.86
53,2023-05-16,0.876,0.882,0.884,0.873,181657,15988835.0,1.26,0.68,0.006,3.14
54,2023-05-17,0.879,0.876,0.879,0.872,90286,7905864.0,0.79,-0.68,-0.006,1.56
55,2023-05-18,0.876,0.863,0.879,0.861,152234,13233390.0,2.05,-1.48,-0.013,2.63
56,2023-05-19,0.862,0.87,0.874,0.859,158318,13750223.0,1.74,0.81,0.007,2.73
57,2023-05-22,0.87,0.877,0.881,0.87,137385,12018544.0,1.26,0.8,0.007,2.37
58,2023-05-23,0.878,0.892,0.896,0.878,214397,19093745.0,2.05,1.71,0.015,3.7
59,2023-05-24,0.889,0.871,0.889,0.87,208086,18175974.0,2.13,-2.35,-0.021,3.59
60,2023-05-25,0.869,0.865,0.87,0.858,169294,14628215.0,1.38,-0.69,-0.006,2.92
61,2023-05-26,0.862,0.869,0.875,0.862,174196,15134352.0,1.5,0.46,0.004,3.01
62,2023-05-29,0.869,0.864,0.877,0.858,236669,20499749.0,2.19,-0.58,-0.005,4.09
63,2023-05-30,0.867,0.857,0.869,0.845,140232,12045227.0,2.78,-0.81,-0.007,2.42
64,2023-05-31,0.85,0.848,0.86,0.846,183617,15689689.0,1.63,-1.05,-0.009,3.17
65,2023-06-01,0.845,0.85,0.859,0.845,147212,12548543.0,1.65,0.24,0.002,2.54
