,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-14,0.998,0.995,1.0,0.992,1260518,125662452.0,0.0,0.0,0.0,168.27
1,2023-12-15,0.997,0.99,0.999,0.99,320065,31879939.0,0.9,-0.5,-0.005,42.73
2,2023-12-18,0.991,0.99,0.995,0.987,225099,22342562.0,0.81,0.0,0.0,30.05
3,2023-12-19,0.99,0.99,0.991,0.986,103600,10233219.0,0.51,0.0,0.0,13.83
4,2023-12-20,0.99,0.99,0.997,0.988,176974,17586391.0,0.91,0.0,0.0,23.62
5,2023-12-21,0.989,0.986,0.989,0.977,109493,10753781.0,1.21,-0.4,-0.004,14.62
6,2023-12-22,0.985,0.986,0.99,0.983,94851,9357115.0,0.71,0.0,0.0,12.66
7,2023-12-25,0.986,0.986,0.986,0.977,72089,7067226.0,0.91,0.0,0.0,9.62
8,2023-12-26,0.986,0.985,0.993,0.984,84461,8343103.0,0.91,-0.1,-0.001,11.27
9,2023-12-27,0.985,0.99,0.991,0.981,53445,5276303.0,1.02,0.51,0.005,7.13
10,2023-12-28,0.991,0.987,0.992,0.984,81780,8075489.0,0.81,-0.3,-0.003,10.92
11,2023-12-29,0.987,0.991,0.992,0.986,81922,8099606.0,0.61,0.41,0.004,10.94
12,2024-01-02,0.992,1.002,1.007,0.991,324804,32533402.0,1.61,1.11,0.011,43.36
13,2024-01-03,1.0,1.012,1.016,1.0,184781,18660850.0,1.6,1.0,0.01,24.67
14,2024-01-04,1.012,1.024,1.025,1.012,119796,12201879.0,1.28,1.19,0.012,15.99
15,2024-01-05,1.02,1.027,1.04,1.02,118530,12207437.0,1.95,0.29,0.003,15.82
16,2024-01-08,1.027,1.018,1.027,1.016,84575,8625153.0,1.07,-0.88,-0.009,11.29
17,2024-01-09,1.013,1.024,1.025,1.01,55195,5625773.0,1.47,0.59,0.006,7.37
18,2024-01-10,1.02,1.016,1.025,1.016,24444,2489452.0,0.88,-0.78,-0.008,3.26
19,2024-01-11,1.018,1.013,1.018,1.01,40228,4073511.0,0.79,-0.3,-0.003,5.37
20,2024-01-12,1.009,1.013,1.019,1.008,48551,4929972.0,1.09,0.0,0.0,6.48
21,2024-01-15,1.016,1.023,1.023,1.014,44253,4509623.0,0.89,0.99,0.01,5.91
22,2024-01-16,1.02,1.027,1.028,1.018,47657,4873278.0,0.98,0.39,0.004,6.36
23,2024-01-17,1.025,1.015,1.03,1.015,58779,6010955.0,1.46,-1.17,-0.012,7.85
24,2024-01-18,1.015,1.008,1.015,0.981,132493,13180410.0,3.35,-0.69,-0.007,17.69
25,2024-01-19,1.007,1.002,1.007,0.993,45236,4525815.0,1.39,-0.6,-0.006,6.04
26,2024-01-22,1.0,0.979,1.001,0.97,68406,6755685.0,3.09,-2.3,-0.023,9.13
27,2024-01-23,0.97,0.985,0.987,0.964,41668,4059537.0,2.35,0.61,0.006,5.56
28,2024-01-24,0.986,1.005,1.006,0.984,70712,7057004.0,2.23,2.03,0.02,9.44
29,2024-01-25,1.007,1.035,1.036,1.006,85941,8803262.0,2.99,2.99,0.03,11.47
30,2024-01-26,1.032,1.048,1.049,1.029,99172,10333427.0,1.93,1.26,0.013,13.24
