,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-10-26,1.002,1.009,1.02,0.981,3276102,329128372.0,0.0,0.0,0.0,221.47
1,2022-10-27,1.003,0.99,1.015,0.989,244228,24515398.0,2.58,-1.88,-0.019,16.51
2,2022-10-28,0.99,0.962,0.991,0.957,426056,41568797.0,3.43,-2.83,-0.028,28.8
3,2022-10-31,0.957,0.991,1.0,0.946,318642,31376264.0,5.61,3.01,0.029,21.54
4,2022-11-01,0.993,1.002,1.009,0.97,397259,39569896.0,3.94,1.11,0.011,26.86
5,2022-11-02,1.005,1.013,1.024,1.0,569230,57696108.0,2.4,1.1,0.011,38.48
6,2022-11-03,1.018,1.034,1.034,1.008,351343,36144772.0,2.57,2.07,0.021,23.75
7,2022-11-04,1.044,1.056,1.069,1.036,397994,41725600.0,3.19,2.13,0.022,26.9
8,2022-11-07,1.054,1.049,1.067,1.043,453483,47702574.0,2.27,-0.66,-0.007,30.66
9,2022-11-08,1.044,1.042,1.057,1.032,406171,42244785.0,2.38,-0.67,-0.007,27.46
10,2022-11-09,1.052,1.037,1.061,1.036,220765,22993407.0,2.4,-0.48,-0.005,14.92
11,2022-11-10,1.027,1.011,1.036,1.007,416417,42591504.0,2.8,-2.51,-0.026,28.15
12,2022-11-11,1.06,1.019,1.06,1.017,397465,40791116.0,4.25,0.79,0.008,26.87
13,2022-11-14,1.019,1.007,1.026,1.001,343660,34836607.0,2.45,-1.18,-0.012,23.23
14,2022-11-15,1.002,1.045,1.046,1.0,473523,48531551.0,4.57,3.77,0.038,32.01
15,2022-11-16,1.05,1.028,1.05,1.019,550678,56553576.0,2.97,-1.63,-0.017,37.23
16,2022-11-17,1.018,1.015,1.018,0.995,518650,52075967.0,2.24,-1.26,-0.013,35.06
17,2022-11-18,1.002,1.008,1.025,1.002,460063,46837328.0,2.27,-0.69,-0.007,31.1
18,2022-11-21,1.003,1.021,1.021,0.994,447139,45167851.0,2.68,1.29,0.013,30.23
19,2022-11-22,1.022,1.003,1.022,0.999,424307,42936381.0,2.25,-1.76,-0.018,28.68
20,2022-11-23,1.0,1.007,1.008,0.976,374260,37207000.0,3.19,0.4,0.004,25.3
21,2022-11-24,1.0,1.011,1.02,1.0,445077,44944384.0,1.99,0.4,0.004,30.09
22,2022-11-25,1.001,0.989,1.006,0.987,379836,37854276.0,1.88,-2.18,-0.022,25.68
23,2022-11-28,0.978,0.979,0.983,0.971,348401,33992512.0,1.21,-1.01,-0.01,23.55
24,2022-11-29,0.981,0.982,0.987,0.97,431745,42197589.0,1.74,0.31,0.003,29.19
25,2022-11-30,0.983,0.982,0.991,0.977,375984,36869791.0,1.43,0.0,0.0,25.42
26,2022-12-01,0.984,1.002,1.013,0.984,244327,24561691.0,2.95,2.04,0.02,16.52
27,2022-12-02,0.992,1.004,1.017,0.992,274114,27700044.0,2.5,0.2,0.002,18.53
28,2022-12-05,1.004,1.0,1.007,0.996,200261,20005464.0,1.1,-0.4,-0.004,13.54
29,2022-12-06,0.996,1.01,1.019,0.991,277950,27813954.0,2.8,1.0,0.01,18.79
30,2022-12-07,1.006,1.017,1.028,1.006,219335,22431333.0,2.18,0.69,0.007,14.83
31,2022-12-08,1.018,1.006,1.02,1.005,204221,20669633.0,1.47,-1.08,-0.011,13.81
32,2022-12-09,1.006,0.997,1.01,0.995,268519,26867168.0,1.49,-0.89,-0.009,18.15
33,2022-12-12,0.998,0.997,1.003,0.983,236302,23486258.0,2.01,0.0,0.0,15.97
34,2022-12-13,0.993,0.976,0.997,0.975,258815,25498372.0,2.21,-2.11,-0.021,17.5
35,2022-12-14,0.99,0.972,0.991,0.97,194883,19064793.0,2.15,-0.41,-0.004,13.17
36,2022-12-15,0.971,0.981,0.981,0.962,208756,20371677.0,1.95,0.93,0.009,14.11
37,2022-12-16,0.972,0.955,0.977,0.951,214518,20564224.0,2.65,-2.65,-0.026,14.5
38,2022-12-19,0.953,0.942,0.964,0.94,233892,22213300.0,2.51,-1.36,-0.013,15.81
39,2022-12-20,0.941,0.936,0.945,0.932,187139,17526178.0,1.38,-0.64,-0.006,12.65
40,2022-12-21,0.93,0.917,0.934,0.917,191869,17806188.0,1.82,-2.03,-0.019,12.97
41,2022-12-22,0.911,0.894,0.925,0.891,199002,18045531.0,3.71,-2.51,-0.023,13.45
42,2022-12-23,0.899,0.881,0.899,0.876,171916,15168867.0,2.57,-1.45,-0.013,11.62
43,2022-12-26,0.873,0.919,0.924,0.873,179084,16228625.0,5.79,4.31,0.038,12.11
44,2022-12-27,0.92,0.931,0.931,0.915,159890,14730290.0,1.74,1.31,0.012,10.81
45,2022-12-28,0.93,0.919,0.933,0.91,104753,9663914.0,2.47,-1.29,-0.012,7.08
46,2022-12-29,0.921,0.924,0.931,0.919,209538,19372418.0,1.31,0.54,0.005,14.17
47,2022-12-30,0.926,0.914,0.931,0.912,161860,14869138.0,2.06,-1.08,-0.01,10.94
48,2023-01-03,0.915,0.937,0.94,0.907,182379,16902974.0,3.61,2.52,0.023,12.33
49,2023-01-04,0.936,0.929,0.936,0.921,179269,16616362.0,1.6,-0.85,-0.008,12.12
50,2023-01-05,0.929,0.944,0.947,0.926,104960,9852625.0,2.26,1.61,0.015,7.1
51,2023-01-06,0.943,0.957,0.97,0.943,117771,11326053.0,2.86,1.38,0.013,7.96
52,2023-01-09,0.964,0.956,0.971,0.954,188469,18095078.0,1.78,-0.1,-0.001,12.74
53,2023-01-10,0.956,0.956,0.965,0.947,226062,21569408.0,1.88,0.0,0.0,15.28
54,2023-01-11,0.961,0.942,0.961,0.94,211130,20067610.0,2.2,-1.46,-0.014,14.27
55,2023-01-12,0.95,0.948,0.956,0.944,210249,19939914.0,1.27,0.64,0.006,14.21
56,2023-01-13,0.942,0.941,0.949,0.929,166526,15651099.0,2.11,-0.74,-0.007,11.26
57,2023-01-16,0.943,0.958,0.964,0.936,107243,10220387.0,2.98,1.81,0.017,7.25
58,2023-01-17,0.963,0.967,0.975,0.958,174995,16970324.0,1.77,0.94,0.009,11.83
59,2023-01-18,0.958,0.969,0.987,0.958,227924,22123867.0,3.0,0.21,0.002,15.41
60,2023-01-19,0.97,0.98,0.98,0.963,163692,15955918.0,1.75,1.14,0.011,11.07
61,2023-01-20,0.987,0.985,0.988,0.98,200829,19743717.0,0.82,0.51,0.005,13.58
62,2023-01-30,0.994,0.999,1.008,0.986,249013,24947926.0,2.23,1.42,0.014,16.83
63,2023-01-31,0.997,0.997,1.002,0.99,217096,21638998.0,1.2,-0.2,-0.002,14.68
64,2023-02-01,1.0,1.015,1.016,1.0,220491,22269790.0,1.6,1.81,0.018,14.91
65,2023-02-02,1.019,1.013,1.023,1.012,216135,21983534.0,1.08,-0.2,-0.002,14.61
66,2023-02-03,1.01,1.008,1.013,0.994,333925,33473661.0,1.88,-0.49,-0.005,22.57
67,2023-02-06,1.011,0.997,1.011,0.993,244944,24486188.0,1.79,-1.09,-0.011,16.56
68,2023-02-07,1.002,0.998,1.002,0.991,177284,17621765.0,1.1,0.1,0.001,11.98
69,2023-02-08,0.996,0.995,1.004,0.994,152423,15216929.0,1.0,-0.3,-0.003,10.3
70,2023-02-09,0.99,1.013,1.014,0.99,190136,19135203.0,2.41,1.81,0.018,12.85
71,2023-02-10,1.013,1.004,1.013,0.996,193101,19351094.0,1.68,-0.89,-0.009,13.05
72,2023-02-13,1.0,1.007,1.011,0.995,185589,18672447.0,1.59,0.3,0.003,12.55
73,2023-02-14,1.007,1.006,1.008,1.0,177928,17827737.0,0.79,-0.1,-0.001,12.03
74,2023-02-15,1.011,1.0,1.011,0.997,191802,19197421.0,1.39,-0.6,-0.006,12.97
75,2023-02-16,0.995,0.975,1.001,0.967,148398,14742300.0,3.4,-2.5,-0.025,10.03
76,2023-02-17,0.965,0.962,0.976,0.962,219317,21204975.0,1.44,-1.33,-0.013,14.83
77,2023-02-20,0.96,0.964,0.965,0.948,220962,21065262.0,1.77,0.21,0.002,14.94
78,2023-02-21,0.961,0.964,0.97,0.958,197091,18970675.0,1.24,0.0,0.0,13.32
79,2023-02-22,0.962,0.96,0.964,0.958,166390,15971915.0,0.62,-0.41,-0.004,11.25
80,2023-02-23,0.948,0.964,0.968,0.948,155703,14984431.0,2.08,0.42,0.004,10.53
81,2023-02-24,0.963,0.958,0.966,0.955,157547,15087910.0,1.14,-0.62,-0.006,10.65
82,2023-02-27,0.95,0.949,0.961,0.946,154526,14692751.0,1.57,-0.94,-0.009,10.45
83,2023-02-28,0.949,0.953,0.953,0.942,185950,17599282.0,1.16,0.42,0.004,12.57
84,2023-03-01,0.952,0.955,0.955,0.948,162105,15429274.0,0.73,0.21,0.002,10.96
85,2023-03-02,0.956,0.939,0.96,0.937,145975,13791928.0,2.41,-1.68,-0.016,9.87
86,2023-03-03,0.943,0.941,0.945,0.936,207906,19515304.0,0.96,0.21,0.002,14.05
87,2023-03-06,0.943,0.953,0.953,0.933,168625,15896667.0,2.13,1.28,0.012,11.4
