,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-09-15,0.988,0.986,0.998,0.973,4436282,436413994.0,0.0,0.0,0.0,5.81
1,2023-09-18,0.983,0.986,0.996,0.978,2214955,218950896.0,1.83,0.0,0.0,2.9
2,2023-09-19,0.987,0.978,0.987,0.975,1864098,182580174.0,1.22,-0.81,-0.008,2.44
3,2023-09-20,0.973,0.966,0.98,0.965,1726708,167494669.0,1.53,-1.23,-0.012,2.26
4,2023-09-21,0.963,0.956,0.967,0.956,1720821,165322358.0,1.14,-1.04,-0.01,2.25
5,2023-09-22,0.952,0.979,0.98,0.952,1785636,172652069.0,2.93,2.41,0.023,2.34
6,2023-09-25,0.979,0.98,0.984,0.973,2394656,234250325.0,1.12,0.1,0.001,3.14
7,2023-09-26,0.98,0.979,0.988,0.974,3149249,308920866.0,1.43,-0.1,-0.001,4.12
8,2023-09-27,0.979,0.995,0.998,0.979,3281302,325821004.0,1.94,1.63,0.016,4.3
9,2023-09-28,0.994,0.999,1.002,0.991,3816255,380848253.0,1.11,0.4,0.004,5.0
10,2023-10-09,0.999,0.989,0.999,0.987,2603873,258340688.0,1.2,-1.0,-0.01,3.41
11,2023-10-10,0.989,0.981,0.993,0.981,2711202,267026970.0,1.21,-0.81,-0.008,3.55
12,2023-10-11,0.985,0.998,1.005,0.983,2916827,291251681.0,2.24,1.73,0.017,3.82
13,2023-10-12,1.003,1.003,1.004,0.992,2550075,254363227.0,1.2,0.5,0.005,3.34
14,2023-10-13,1.001,1.003,1.003,0.994,2191773,218785025.0,0.9,0.0,0.0,2.87
15,2023-10-16,1.0,0.985,1.005,0.98,2644471,260748831.0,2.49,-1.79,-0.018,3.46
16,2023-10-17,0.98,0.987,0.988,0.976,2946373,289393439.0,1.22,0.2,0.002,3.86
17,2023-10-18,0.983,0.97,0.984,0.966,3260380,317039550.0,1.82,-1.72,-0.017,4.27
18,2023-10-19,0.966,0.967,0.979,0.963,3258783,316653129.0,1.65,-0.31,-0.003,4.27
