,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-02,0.992,0.987,1.0,0.986,1060076,105391310.0,0.0,0.0,0.0,141.27
1,2021-12-03,0.987,0.992,0.996,0.985,73793,7316247.0,1.11,0.51,0.005,9.83
2,2021-12-06,0.994,0.975,0.994,0.971,65730,6463492.0,2.32,-1.71,-0.017,8.76
3,2021-12-07,0.98,0.963,0.98,0.955,34730,3339009.0,2.56,-1.23,-0.012,4.63
4,2021-12-08,0.968,0.975,0.977,0.965,12938,1258358.0,1.25,1.25,0.012,1.72
5,2021-12-09,0.976,0.992,0.997,0.973,41259,4089295.0,2.46,1.74,0.017,5.5
6,2021-12-10,0.993,0.99,1.0,0.983,53052,5285167.0,1.71,-0.2,-0.002,7.07
7,2021-12-13,0.981,0.996,1.003,0.981,12620,1258709.0,2.22,0.61,0.006,1.68
8,2021-12-14,0.998,0.994,0.999,0.993,8526,850018.0,0.6,-0.2,-0.002,1.14
9,2021-12-15,0.994,0.984,0.997,0.982,12287,1217409.0,1.51,-1.01,-0.01,1.64
10,2021-12-16,0.984,0.987,0.99,0.984,15048,1482772.0,0.61,0.3,0.003,2.01
11,2021-12-17,0.987,0.975,0.987,0.972,7448,727512.0,1.52,-1.22,-0.012,0.99
12,2021-12-20,0.972,0.949,0.984,0.942,18813,1801644.0,4.31,-2.67,-0.026,2.51
13,2021-12-21,0.948,0.953,0.954,0.942,7799,738657.0,1.26,0.42,0.004,1.04
14,2021-12-22,0.955,0.953,0.957,0.95,4338,413753.0,0.73,0.0,0.0,0.58
15,2021-12-23,0.954,0.954,0.957,0.949,6318,601221.0,0.84,0.1,0.001,0.84
16,2021-12-24,0.945,0.936,0.956,0.936,13330,1254046.0,2.1,-1.89,-0.018,1.78
17,2021-12-27,0.943,0.936,0.943,0.927,5258,492549.0,1.71,0.0,0.0,0.7
18,2021-12-28,0.936,0.947,0.947,0.93,4401,413183.0,1.82,1.18,0.011,0.59
19,2021-12-29,0.947,0.936,0.956,0.927,3755,351417.0,3.06,-1.16,-0.011,0.5
20,2021-12-30,0.93,0.965,0.967,0.93,6600,619438.0,3.95,3.1,0.029,0.88
21,2021-12-31,0.964,0.945,0.973,0.94,8352,787284.0,3.42,-2.07,-0.02,1.11
22,2022-01-04,0.944,0.914,0.944,0.911,21689,1992441.0,3.49,-3.28,-0.031,2.89
23,2022-01-05,0.915,0.887,0.915,0.885,17475,1562429.0,3.28,-2.95,-0.027,2.33
24,2022-01-06,0.872,0.885,0.895,0.87,9933,871155.0,2.82,-0.23,-0.002,1.32
25,2022-01-07,0.885,0.874,0.885,0.872,8079,708069.0,1.47,-1.24,-0.011,1.08
26,2022-01-10,0.875,0.88,0.88,0.861,16147,1402767.0,2.17,0.69,0.006,2.15
27,2022-01-11,0.88,0.878,0.884,0.865,9294,807284.0,2.16,-0.23,-0.002,1.24
28,2022-01-12,0.878,0.885,0.905,0.873,7503,660763.0,3.64,0.8,0.007,1.0
29,2022-01-13,0.878,0.875,0.885,0.875,7556,665267.0,1.13,-1.13,-0.01,1.01
30,2022-01-14,0.877,0.884,0.886,0.876,7927,699991.0,1.14,1.03,0.009,1.06
31,2022-01-17,0.876,0.893,0.896,0.869,7192,639549.0,3.05,1.02,0.009,0.96
32,2022-01-18,0.886,0.893,0.903,0.886,7100,637185.0,1.9,0.0,0.0,0.95
33,2022-01-19,0.886,0.874,0.886,0.869,9178,803658.0,1.9,-2.13,-0.019,1.22
34,2022-01-20,0.87,0.872,0.88,0.87,9087,794835.0,1.14,-0.23,-0.002,1.21
35,2022-01-21,0.864,0.866,0.875,0.789,4615,399656.0,9.86,-0.69,-0.006,0.62
36,2022-01-24,0.86,0.873,1.036,0.86,2809,247015.0,20.32,0.81,0.007,0.37
37,2022-01-25,0.865,0.858,0.874,0.858,10254,885803.0,1.83,-1.72,-0.015,1.37
38,2022-01-26,0.852,0.859,0.866,0.848,4554,389685.0,2.1,0.12,0.001,0.61
39,2022-01-27,0.859,0.83,0.859,0.826,16283,1367462.0,3.84,-3.38,-0.029,2.17
40,2022-01-28,0.833,0.837,0.85,0.821,3637,301113.0,3.49,0.84,0.007,0.48
41,2022-02-07,0.845,0.827,0.859,0.825,5632,468695.0,4.06,-1.19,-0.01,0.75
42,2022-02-08,0.827,0.802,0.848,0.789,19159,1527551.0,7.13,-3.02,-0.025,2.55
43,2022-02-09,0.793,0.809,0.809,0.793,9452,758603.0,2.0,0.87,0.007,1.26
44,2022-02-10,0.802,0.792,0.817,0.787,9989,791944.0,3.71,-2.1,-0.017,1.33
45,2022-02-11,0.791,0.778,0.791,0.76,12076,936897.0,3.91,-1.77,-0.014,1.61
46,2022-02-14,0.778,0.781,0.79,0.769,4121,318241.0,2.7,0.39,0.003,0.55
47,2022-02-15,0.782,0.799,0.799,0.778,2164,171621.0,2.69,2.3,0.018,0.29
48,2022-02-16,0.806,0.803,0.812,0.8,4273,342697.0,1.5,0.5,0.004,0.57
49,2022-02-17,0.805,0.806,0.812,0.805,9977,804594.0,0.87,0.37,0.003,1.33
50,2022-02-18,0.801,0.804,0.804,0.798,5884,470858.0,0.74,-0.25,-0.002,0.78
51,2022-02-21,0.807,0.8,0.807,0.796,15299,1222743.0,1.37,-0.5,-0.004,2.04
52,2022-02-22,0.792,0.793,0.793,0.784,2854,224718.0,1.13,-0.88,-0.007,0.38
53,2022-02-23,0.8,0.817,0.818,0.8,20111,1628569.0,2.27,3.03,0.024,2.68
54,2022-02-24,0.815,0.805,0.818,0.793,5199,419528.0,3.06,-1.47,-0.012,0.69
55,2022-02-25,0.797,0.822,0.83,0.797,7146,587881.0,4.1,2.11,0.017,0.95
56,2022-02-28,0.821,0.827,0.828,0.818,4118,338846.0,1.22,0.61,0.005,0.55
57,2022-03-01,0.833,0.828,0.833,0.824,4342,359606.0,1.09,0.12,0.001,0.58
58,2022-03-02,0.82,0.814,0.82,0.81,3188,259278.0,1.21,-1.69,-0.014,0.42
59,2022-03-03,0.814,0.805,0.815,0.803,2459,198498.0,1.47,-1.11,-0.009,0.33
60,2022-03-04,0.797,0.793,0.806,0.773,3774,296472.0,4.1,-1.49,-0.012,0.5
61,2022-03-07,0.786,0.765,0.786,0.763,10378,800375.0,2.9,-3.53,-0.028,1.38
62,2022-03-08,0.765,0.764,0.771,0.748,6450,489688.0,3.01,-0.13,-0.001,0.86
63,2022-03-09,0.757,0.743,0.759,0.718,10175,751145.0,5.37,-2.75,-0.021,1.36
64,2022-03-10,0.75,0.762,0.768,0.75,48605,3714264.0,2.42,2.56,0.019,6.48
65,2022-03-11,0.755,0.78,0.78,0.745,5869,448920.0,4.59,2.36,0.018,0.78
66,2022-03-14,0.78,0.749,0.78,0.749,3695,280611.0,3.97,-3.97,-0.031,0.49
