,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-08-07,1.0,0.986,1.007,0.984,1436248,143849427.644,0.0,0.0,0.0,237.61
1,2023-08-08,0.986,0.983,0.995,0.983,76378,7558645.195,1.22,-0.3,-0.003,12.64
2,2023-08-09,0.983,0.959,0.984,0.959,183654,17761992.736,2.54,-2.44,-0.024,30.38
3,2023-08-10,0.958,0.963,0.978,0.956,73509,7082146.562,2.29,0.42,0.004,12.16
4,2023-08-11,0.962,0.951,0.975,0.949,103766,9986525.212,2.7,-1.25,-0.012,17.17
5,2023-08-14,0.941,0.971,0.972,0.936,127182,12187099.499,3.79,2.1,0.02,21.04
6,2023-08-15,0.97,0.959,0.973,0.952,44766,4300760.199,2.16,-1.24,-0.012,7.41
7,2023-08-16,0.95,0.937,0.956,0.931,56428,5306585.507,2.61,-2.29,-0.022,9.34
8,2023-08-17,0.928,0.943,0.946,0.921,59617,5577408.949,2.67,0.64,0.006,9.86
9,2023-08-18,0.935,0.917,0.946,0.916,53657,4965405.197,3.18,-2.76,-0.026,8.88
10,2023-08-21,0.917,0.922,0.938,0.917,77176,7146115.275,2.29,0.55,0.005,12.77
11,2023-08-22,0.931,0.955,0.956,0.925,153610,14457236.197,3.36,3.58,0.033,25.41
12,2023-08-23,0.952,0.937,0.952,0.937,26503,2497964.6,1.57,-1.88,-0.018,4.38
13,2023-08-24,0.943,0.94,0.956,0.938,56299,5324996.335,1.92,0.32,0.003,9.31
14,2023-08-25,0.929,0.911,0.936,0.906,44524,4081605.422,3.19,-3.09,-0.029,7.37
15,2023-08-28,0.955,0.928,0.959,0.927,62488,5841682.311,3.51,1.87,0.017,10.34
16,2023-08-29,0.937,0.952,0.956,0.935,72798,6896109.848,2.26,2.59,0.024,12.04
17,2023-08-30,0.955,0.963,0.967,0.952,69596,6682631.723,1.58,1.16,0.011,11.51
18,2023-08-31,0.954,0.955,0.967,0.952,28421,2729253.291,1.56,-0.83,-0.008,4.7
19,2023-09-01,0.95,0.945,0.952,0.941,43067,4079538.699,1.15,-1.05,-0.01,7.13
20,2023-09-04,0.945,0.957,0.957,0.944,57386,5471435.629,1.38,1.27,0.012,9.49
21,2023-09-05,0.957,0.94,0.957,0.938,23110,2185609.689,1.99,-1.78,-0.017,3.82
22,2023-09-06,0.932,0.934,0.937,0.925,35231,3278283.4,1.28,-0.64,-0.006,5.83
23,2023-09-07,0.936,0.921,0.936,0.921,38376,3556686.756,1.61,-1.39,-0.013,6.35
24,2023-09-08,0.918,0.921,0.924,0.91,37330,3429308.699,1.52,0.0,0.0,6.18
25,2023-09-11,0.93,0.935,0.945,0.913,47362,4414119.608,3.47,1.52,0.014,7.84
26,2023-09-12,0.937,0.936,0.938,0.931,20928,1956417.532,0.75,0.11,0.001,3.46
27,2023-09-13,0.93,0.923,0.931,0.917,38140,3516794.32,1.5,-1.39,-0.013,6.31
28,2023-09-14,0.923,0.923,0.931,0.918,16237,1498843.049,1.41,0.0,0.0,2.69
29,2023-09-15,0.921,0.913,0.93,0.911,58908,5403599.425,2.06,-1.08,-0.01,9.75
30,2023-09-18,0.914,0.91,0.921,0.908,33725,3071149.2,1.42,-0.33,-0.003,5.58
31,2023-09-19,0.906,0.901,0.909,0.898,34824,3143324.541,1.21,-0.99,-0.009,5.76
32,2023-09-20,0.904,0.898,0.909,0.898,21704,1962177.8,1.22,-0.33,-0.003,3.59
33,2023-09-21,0.9,0.896,0.905,0.896,23750,2137133.194,1.0,-0.22,-0.002,3.93
34,2023-09-22,0.896,0.929,0.931,0.896,72611,6674413.98,3.91,3.68,0.033,12.01
35,2023-09-25,0.93,0.92,0.93,0.917,19529,1794874.952,1.4,-0.97,-0.009,3.23
36,2023-09-26,0.923,0.92,0.933,0.919,35006,3234225.519,1.52,0.0,0.0,5.79
37,2023-09-27,0.919,0.919,0.924,0.918,36926,3396334.458,0.65,-0.11,-0.001,6.11
38,2023-09-28,0.923,0.918,0.923,0.915,29931,2744022.7,0.87,-0.11,-0.001,4.95
39,2023-10-09,0.911,0.918,0.924,0.908,64060,5887082.041,1.74,0.0,0.0,10.6
