,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-10-16,1.01,1.002,1.011,0.997,2425423,244193099.961,0.0,0.0,0.0,486.09
1,2023-10-17,1.001,1.0,1.001,0.992,214146,21354985.296,0.9,-0.2,-0.002,42.92
2,2023-10-18,0.995,0.983,0.996,0.982,137897,13603922.247,1.4,-1.7,-0.017,27.64
3,2023-10-19,0.974,0.972,0.984,0.97,83727,8191310.892,1.42,-1.12,-0.011,16.78
4,2023-10-20,0.972,0.959,0.972,0.958,49407,4770359.58,1.44,-1.34,-0.013,9.9
5,2023-10-23,0.95,0.936,0.958,0.932,94513,8863815.953,2.71,-2.4,-0.023,18.94
6,2023-10-24,0.936,0.953,0.955,0.936,102937,9750290.994,2.03,1.82,0.017,20.63
7,2023-10-25,0.958,0.967,0.971,0.955,105336,10191773.398,1.68,1.47,0.014,21.11
8,2023-10-26,0.967,0.971,0.971,0.955,78261,7534029.523,1.65,0.41,0.004,15.68
9,2023-10-27,0.967,0.983,0.987,0.967,44444,4338244.016,2.06,1.24,0.012,8.91
10,2023-10-30,0.967,0.998,1.001,0.967,197100,19635849.862,3.46,1.53,0.015,39.5
11,2023-10-31,0.998,0.995,1.0,0.99,79003,7875109.498,1.0,-0.3,-0.003,15.83
12,2023-11-01,0.995,0.994,0.998,0.993,75046,7466134.754,0.5,-0.1,-0.001,15.04
13,2023-11-02,0.995,0.983,0.996,0.983,45480,4495295.535,1.31,-1.11,-0.011,9.11
14,2023-11-03,0.974,0.993,0.997,0.974,83296,8271128.044,2.34,1.02,0.01,16.69
15,2023-11-06,0.994,1.016,1.016,0.994,423030,42720485.871,2.22,2.32,0.023,84.78
16,2023-11-07,1.013,1.024,1.025,1.012,224887,22918380.845,1.28,0.79,0.008,45.07
17,2023-11-08,1.018,1.027,1.03,1.018,81045,8306580.013,1.17,0.29,0.003,16.24
18,2023-11-09,1.027,1.02,1.03,1.017,72033,7368274.499,1.27,-0.68,-0.007,14.44
19,2023-11-10,1.01,1.016,1.019,1.01,62063,6303358.741,0.88,-0.39,-0.004,12.44
20,2023-11-13,1.016,1.027,1.027,1.016,69504,7115919.765,1.08,1.08,0.011,13.93
21,2023-11-14,1.025,1.036,1.036,1.025,56153,5794771.502,1.07,0.88,0.009,11.25
22,2023-11-15,1.036,1.042,1.042,1.035,52652,5471316.676,0.68,0.58,0.006,10.55
23,2023-11-16,1.034,1.033,1.04,1.032,49681,5141057.316,0.77,-0.86,-0.009,9.96
24,2023-11-17,1.033,1.043,1.043,1.031,97449,10106971.068,1.16,0.97,0.01,19.53
25,2023-11-20,1.043,1.052,1.052,1.041,74504,7784493.291,1.05,0.86,0.009,14.93
26,2023-11-21,1.052,1.045,1.054,1.045,82986,8728463.073,0.86,-0.67,-0.007,16.63
27,2023-11-22,1.044,1.035,1.049,1.035,43736,4557514.229,1.34,-0.96,-0.01,8.77
28,2023-11-23,1.034,1.043,1.044,1.031,55050,5722990.894,1.26,0.77,0.008,11.03
29,2023-11-24,1.037,1.033,1.039,1.028,81106,8379088.471,1.05,-0.96,-0.01,16.25
30,2023-11-27,1.031,1.032,1.034,1.025,90673,9331029.253,0.87,-0.1,-0.001,18.17
31,2023-11-28,1.023,1.04,1.04,1.023,319844,33204303.356,1.65,0.78,0.008,64.1
32,2023-11-29,1.035,1.033,1.037,1.03,52062,5383679.5,0.67,-0.67,-0.007,10.43
33,2023-11-30,1.028,1.024,1.029,1.017,75400,7693702.715,1.16,-0.87,-0.009,15.11
34,2023-12-01,1.024,1.035,1.035,1.023,58034,5966527.5,1.17,1.07,0.011,11.63
35,2023-12-04,1.032,1.035,1.036,1.031,38046,3935238.32,0.48,0.0,0.0,7.62
36,2023-12-05,1.035,1.014,1.035,1.014,43696,4456508.8,2.03,-2.03,-0.021,8.76
37,2023-12-06,1.014,1.016,1.023,1.014,26644,2711691.26,0.89,0.2,0.002,5.34
38,2023-12-07,1.011,1.018,1.02,1.011,23079,2347445.6,0.89,0.2,0.002,4.63
39,2023-12-08,1.018,1.01,1.022,1.01,35043,3553042.515,1.18,-0.79,-0.008,7.02
40,2023-12-11,1.004,1.018,1.02,1.003,57113,5771785.668,1.68,0.79,0.008,11.45
41,2023-12-12,1.008,1.024,1.025,1.008,54325,5548534.742,1.67,0.59,0.006,10.89
42,2023-12-13,1.016,1.016,1.025,1.014,52681,5377891.1,1.07,-0.78,-0.008,10.56
43,2023-12-14,1.026,1.011,1.107,1.011,46252,4697678.71,9.45,-0.49,-0.005,9.27
44,2023-12-15,1.007,1.003,1.011,1.002,37196,3735614.5,0.89,-0.79,-0.008,7.45
45,2023-12-18,1.003,0.989,1.003,0.989,48247,4788070.192,1.4,-1.4,-0.014,9.67
46,2023-12-19,1.038,0.987,1.038,0.983,62375,6154547.261,5.56,-0.2,-0.002,12.5
47,2023-12-20,0.99,0.977,0.99,0.977,53196,5214846.6,1.32,-1.01,-0.01,10.66
48,2023-12-21,0.968,0.981,0.981,0.967,45105,4414641.4,1.43,0.41,0.004,9.04
49,2023-12-22,0.977,0.971,0.982,0.968,77947,7585567.236,1.43,-1.02,-0.01,15.62
50,2023-12-25,0.968,0.968,0.968,0.962,13816,1333340.598,0.62,-0.31,-0.003,2.77
51,2023-12-26,0.962,0.956,0.962,0.951,14302,1366032.9,1.14,-1.24,-0.012,2.87
52,2023-12-27,0.952,0.96,0.965,0.952,97903,9407159.6,1.36,0.42,0.004,19.62
53,2023-12-28,0.955,0.987,0.99,0.953,140653,13689992.979,3.85,2.81,0.027,28.19
54,2023-12-29,0.981,0.994,0.994,0.98,48790,4827059.13,1.42,0.71,0.007,9.78
55,2024-01-02,0.994,0.988,1.079,0.988,34171,3388973.3,9.15,-0.6,-0.006,6.85
56,2024-01-03,0.988,0.982,0.988,0.977,25259,2477851.8,1.11,-0.61,-0.006,5.06
57,2024-01-04,0.976,0.978,0.979,0.971,170633,16634478.076,0.81,-0.41,-0.004,34.2
58,2024-01-05,0.972,0.958,0.979,0.955,60667,5863922.2,2.45,-2.04,-0.02,12.16
59,2024-01-08,0.952,0.94,0.952,0.939,72928,6885529.3,1.36,-1.88,-0.018,14.62
60,2024-01-09,0.949,0.942,0.952,0.935,64543,6074324.9,1.81,0.21,0.002,12.94
61,2024-01-10,0.934,0.934,0.942,0.929,62722,5871895.2,1.38,-0.85,-0.008,12.57
62,2024-01-11,0.937,0.949,0.953,0.935,21179,2000867.9,1.93,1.61,0.015,4.24
63,2024-01-12,0.94,0.947,0.955,0.94,43394,4115912.6,1.58,-0.21,-0.002,8.7
64,2024-01-15,0.956,0.942,0.956,0.91,10769,1017304.629,4.86,-0.53,-0.005,2.16
65,2024-01-16,0.933,0.934,0.942,0.91,60261,5617717.572,3.4,-0.85,-0.008,12.08
66,2024-01-17,0.928,0.913,1.027,0.841,54492,5033386.2,19.91,-2.25,-0.021,10.92
67,2024-01-18,0.912,0.908,0.943,0.862,78869,7039977.594,8.87,-0.55,-0.005,15.81
68,2024-01-19,0.909,0.898,0.909,0.896,70613,6359947.4,1.43,-1.1,-0.01,14.15
69,2024-01-22,0.896,0.849,0.896,0.838,58692,5051088.9,6.46,-5.46,-0.049,11.76
70,2024-01-23,0.835,0.852,0.857,0.833,75040,6372137.8,2.83,0.35,0.003,15.04
71,2024-01-24,0.859,0.862,0.863,0.831,67996,5765360.617,3.76,1.17,0.01,13.63
72,2024-01-25,0.854,0.893,0.893,0.854,61265,5401318.8,4.52,3.6,0.031,12.28
73,2024-01-26,0.895,0.887,0.898,0.884,60214,5366812.909,1.57,-0.67,-0.006,12.07
