,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-12,1.018,1.018,1.021,1.005,2291272,232813413.149,0.0,0.0,0.0,344.16
1,2023-12-13,1.015,1.015,1.027,1.01,297222,30307609.109,1.67,-0.29,-0.003,44.64
2,2023-12-14,1.016,1.007,1.022,1.006,134716,13648657.869,1.58,-0.79,-0.008,20.23
3,2023-12-15,1.01,1.0,1.01,0.997,77661,7803410.581,1.29,-0.7,-0.007,11.66
4,2023-12-18,1.0,0.981,1.0,0.98,46698,4612699.847,2.0,-1.9,-0.019,7.01
5,2023-12-19,0.98,0.992,0.993,0.98,35215,3467644.073,1.33,1.12,0.011,5.29
6,2023-12-20,0.988,0.975,0.993,0.975,23116,2274483.512,1.81,-1.71,-0.017,3.47
7,2023-12-21,0.975,0.982,0.985,0.96,36331,3548302.573,2.56,0.72,0.007,5.46
8,2023-12-22,0.982,0.971,0.986,0.966,20406,1994018.773,2.04,-1.12,-0.011,3.07
9,2023-12-25,0.97,0.975,0.98,0.968,19003,1851398.033,1.24,0.41,0.004,2.85
10,2023-12-26,0.971,0.958,0.971,0.953,33882,3250961.403,1.85,-1.74,-0.017,5.09
11,2023-12-27,0.958,0.964,0.965,0.952,7561,724063.683,1.36,0.63,0.006,1.14
12,2023-12-28,0.957,0.985,0.989,0.955,52536,5151746.548,3.53,2.18,0.021,7.89
13,2023-12-29,0.985,1.003,1.004,0.985,56012,5595401.2,1.93,1.83,0.018,8.41
14,2024-01-02,1.002,0.993,1.005,0.993,90506,9034232.1,1.2,-1.0,-0.01,13.59
15,2024-01-03,0.988,0.97,0.988,0.962,13084,1272168.0,2.62,-2.32,-0.023,1.97
16,2024-01-04,0.962,0.956,0.962,0.954,31950,3058155.098,0.82,-1.44,-0.014,4.8
17,2024-01-05,0.966,0.939,0.967,0.933,18506,1751657.9,3.56,-1.78,-0.017,2.78
18,2024-01-08,0.93,0.915,0.934,0.915,41581,3828938.961,2.02,-2.56,-0.024,6.25
19,2024-01-09,0.914,0.924,0.932,0.914,34229,3165242.2,1.97,0.98,0.009,5.14
20,2024-01-10,0.924,0.91,0.925,0.908,27179,2496358.2,1.84,-1.52,-0.014,4.08
21,2024-01-11,0.908,0.924,0.929,0.908,55626,5137156.2,2.31,1.54,0.014,8.36
22,2024-01-12,0.919,0.918,0.927,0.917,11567,1066686.5,1.08,-0.65,-0.006,1.74
23,2024-01-15,0.912,0.911,0.92,0.904,12412,1124715.0,1.74,-0.76,-0.007,1.86
24,2024-01-16,0.91,0.908,0.91,0.898,50659,4587291.941,1.32,-0.33,-0.003,7.61
25,2024-01-17,0.914,0.887,0.914,0.886,39222,3501340.7,3.08,-2.31,-0.021,5.89
26,2024-01-18,0.883,0.885,0.888,0.863,37810,3281910.108,2.82,-0.23,-0.002,5.68
27,2024-01-19,0.89,0.877,0.89,0.876,2252,198836.83,1.58,-0.9,-0.008,0.34
28,2024-01-22,0.885,0.844,0.885,0.834,46543,3977974.313,5.82,-3.76,-0.033,6.99
29,2024-01-23,0.844,0.854,0.86,0.836,24279,2058483.866,2.84,1.18,0.01,3.65
30,2024-01-24,0.862,0.859,0.862,0.834,11438,967704.245,3.28,0.59,0.005,1.72
31,2024-01-25,0.86,0.877,0.879,0.852,21723,1893818.5,3.14,2.1,0.018,3.26
32,2024-01-26,0.869,0.867,0.875,0.865,47216,4101059.63,1.14,-1.14,-0.01,7.09
