,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,1.029,1.015,1.029,1.011,2438464,248518672.274,0.0,0.0,0.0,329.6
1,2024-01-03,1.006,1.005,1.015,0.996,393037,39584522.794,1.87,-0.99,-0.01,53.13
2,2024-01-04,0.997,1.001,1.002,0.994,218360,21803314.445,0.8,-0.4,-0.004,29.52
3,2024-01-05,1.0,0.985,1.004,0.972,131439,13048144.019,3.2,-1.6,-0.016,17.77
4,2024-01-08,0.976,0.954,0.976,0.952,121381,11645519.843,2.44,-3.15,-0.031,16.41
5,2024-01-09,0.954,0.956,0.968,0.947,145654,13971472.658,2.2,0.21,0.002,19.69
6,2024-01-10,0.947,0.945,0.958,0.937,89978,8526311.103,2.2,-1.15,-0.011,12.16
7,2024-01-11,0.945,0.969,0.971,0.945,66934,6412713.237,2.75,2.54,0.024,9.05
8,2024-01-12,0.967,0.955,0.97,0.954,22305,2154661.9,1.65,-1.44,-0.014,3.01
9,2024-01-15,0.948,0.953,0.96,0.943,38709,3701098.234,1.78,-0.21,-0.002,5.23
10,2024-01-16,0.951,0.949,0.953,0.933,27210,2577638.431,2.1,-0.42,-0.004,3.68
11,2024-01-17,0.95,0.923,0.95,0.922,7006,654539.651,2.95,-2.74,-0.026,0.95
12,2024-01-18,0.932,0.927,0.932,0.897,58727,5364346.232,3.79,0.43,0.004,7.94
13,2024-01-19,0.92,0.914,0.933,0.913,31536,2918144.452,2.16,-1.4,-0.013,4.26
14,2024-01-22,0.912,0.858,0.912,0.851,14071,1229925.912,6.67,-6.13,-0.056,1.9
15,2024-01-23,0.854,0.87,0.875,0.854,6295,545317.737,2.45,1.4,0.012,0.85
16,2024-01-24,0.873,0.876,0.878,0.845,32187,2761234.625,3.79,0.69,0.006,4.35
17,2024-01-25,0.87,0.908,0.908,0.87,52778,4700481.7,4.34,3.65,0.032,7.13
18,2024-01-26,0.905,0.893,0.916,0.893,28733,2599210.952,2.53,-1.65,-0.015,3.88
