,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-25,0.972,0.975,0.981,0.967,1918457,186977524.956,0.0,0.0,0.0,35.56
1,2023-12-26,0.975,0.957,0.975,0.952,767105,73620560.178,2.36,-1.85,-0.018,14.22
2,2023-12-27,0.957,0.964,0.967,0.955,403912,38832849.506,1.25,0.73,0.007,7.49
3,2023-12-28,0.964,0.982,0.987,0.958,612536,59961506.267,3.01,1.87,0.018,11.35
4,2023-12-29,0.985,1.004,1.004,0.981,2507244,250580381.713,2.34,2.24,0.022,46.48
5,2024-01-02,1.005,0.992,1.007,0.991,513270,51388665.951,1.59,-1.2,-0.012,9.51
6,2024-01-03,0.99,0.986,0.995,0.976,163241,16074722.462,1.92,-0.6,-0.006,3.03
7,2024-01-04,0.981,0.979,0.982,0.973,95718,9352370.261,0.91,-0.71,-0.007,1.77
8,2024-01-05,0.975,0.954,0.982,0.951,176221,16999640.43,3.17,-2.55,-0.025,3.27
9,2024-01-08,0.951,0.932,0.954,0.932,148615,14008825.464,2.31,-2.31,-0.022,2.75
10,2024-01-09,0.932,0.935,0.945,0.928,160343,15008482.716,1.82,0.32,0.003,2.97
11,2024-01-10,0.934,0.924,0.936,0.914,214417,19847454.247,2.35,-1.18,-0.011,3.97
12,2024-01-11,0.924,0.945,0.947,0.915,130222,12184754.094,3.46,2.27,0.021,2.41
13,2024-01-12,0.94,0.937,0.946,0.932,184166,17295477.344,1.48,-0.85,-0.008,3.41
14,2024-01-15,0.936,0.927,0.938,0.922,458704,42748994.553,1.71,-1.07,-0.01,8.5
15,2024-01-16,0.926,0.923,0.926,0.91,118410,10855259.308,1.73,-0.43,-0.004,2.19
16,2024-01-17,0.92,0.898,0.921,0.898,273675,24935210.416,2.49,-2.71,-0.025,5.07
17,2024-01-18,0.889,0.902,0.908,0.873,365948,32340591.609,3.9,0.45,0.004,6.78
18,2024-01-19,0.896,0.888,0.91,0.888,191287,17159576.995,2.44,-1.55,-0.014,3.55
19,2024-01-22,0.887,0.837,0.887,0.83,288113,24723017.315,6.42,-5.74,-0.051,5.34
20,2024-01-23,0.837,0.848,0.852,0.821,326117,27414403.291,3.7,1.31,0.011,6.05
21,2024-01-24,0.847,0.853,0.856,0.82,252382,21185170.985,4.25,0.59,0.005,4.68
22,2024-01-25,0.853,0.881,0.882,0.845,303107,26328563.345,4.34,3.28,0.028,5.62
23,2024-01-26,0.879,0.869,0.889,0.867,178185,15641355.632,2.5,-1.36,-0.012,3.3
