,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-07,0.966,0.948,0.971,0.947,1015442,97445827.0,0.0,0.0,0.0,4.61
1,2022-01-10,0.94,0.939,0.944,0.933,597727,56112170.0,1.16,-0.95,-0.009,2.71
2,2022-01-11,0.939,0.944,0.959,0.938,855922,81177992.0,2.24,0.53,0.005,3.88
3,2022-01-12,0.943,0.946,0.95,0.935,595282,56024964.0,1.59,0.21,0.002,2.7
4,2022-01-13,0.947,0.936,0.947,0.931,596854,55849940.0,1.69,-1.06,-0.01,2.71
5,2022-01-14,0.927,0.928,0.941,0.923,468231,43641540.0,1.92,-0.85,-0.008,2.13
6,2022-01-17,0.929,0.932,0.936,0.923,324839,30276005.0,1.4,0.43,0.004,1.47
7,2022-01-18,0.931,0.954,0.96,0.924,985039,93323190.0,3.86,2.36,0.022,4.47
8,2022-01-19,0.954,0.944,0.954,0.938,721364,68077142.0,1.68,-1.05,-0.01,3.27
9,2022-01-20,0.944,0.944,0.956,0.931,920917,86988753.0,2.65,0.0,0.0,4.18
10,2022-01-21,0.939,0.932,0.957,0.932,897248,84756948.0,2.65,-1.27,-0.012,4.07
11,2022-01-24,0.928,0.932,0.936,0.921,488758,45376791.0,1.61,0.0,0.0,2.22
12,2022-01-25,0.93,0.89,0.93,0.89,961183,87333046.0,4.29,-4.51,-0.042,4.36
13,2022-01-26,0.896,0.904,0.913,0.893,609058,55109908.0,2.25,1.57,0.014,2.76
14,2022-01-27,0.906,0.889,0.906,0.888,488003,43719224.0,1.99,-1.66,-0.015,2.22
15,2022-01-28,0.894,0.883,0.897,0.872,613930,54324126.0,2.81,-0.67,-0.006,2.79
16,2022-02-07,0.891,0.907,0.907,0.89,578987,52162966.0,1.93,2.72,0.024,2.63
17,2022-02-08,0.907,0.929,0.93,0.899,766352,70149644.0,3.42,2.43,0.022,3.48
18,2022-02-09,0.93,0.946,0.952,0.923,1039503,97840247.0,3.12,1.83,0.017,4.72
19,2022-02-10,0.948,0.952,0.957,0.942,875703,83146976.0,1.59,0.63,0.006,3.97
20,2022-02-11,0.95,0.94,0.956,0.937,561442,53103661.0,2.0,-1.26,-0.012,2.55
21,2022-02-14,0.935,0.915,0.935,0.91,725107,66692174.0,2.66,-2.66,-0.025,3.29
22,2022-02-15,0.919,0.915,0.919,0.907,564619,51497628.0,1.31,0.0,0.0,2.56
23,2022-02-16,0.919,0.914,0.925,0.911,609922,56028120.0,1.53,-0.11,-0.001,2.77
24,2022-02-17,0.912,0.918,0.921,0.907,603388,55203907.0,1.53,0.44,0.004,2.74
25,2022-02-18,0.908,0.918,0.925,0.907,567645,51957500.0,1.96,0.0,0.0,2.58
26,2022-02-21,0.922,0.918,0.922,0.91,584636,53483509.0,1.31,0.0,0.0,2.65
27,2022-02-22,0.908,0.905,0.913,0.899,718011,64957186.0,1.53,-1.42,-0.013,3.26
28,2022-02-23,0.905,0.912,0.912,0.905,531510,48293883.0,0.77,0.77,0.007,2.41
29,2022-02-24,0.907,0.905,0.931,0.894,1429522,130876006.0,4.06,-0.77,-0.007,6.49
30,2022-02-25,0.908,0.938,0.938,0.908,1396934,128990577.0,3.31,3.65,0.033,6.34
31,2022-02-28,0.93,0.941,0.949,0.926,1063206,99558591.0,2.45,0.32,0.003,4.83
32,2022-03-01,0.944,0.942,0.951,0.937,779948,73557041.0,1.49,0.11,0.001,3.54
33,2022-03-02,0.932,0.939,0.944,0.931,619827,58071896.0,1.38,-0.32,-0.003,2.81
34,2022-03-03,0.944,0.952,0.957,0.942,955950,90969146.0,1.6,1.38,0.013,4.34
35,2022-03-04,0.942,0.949,0.959,0.934,1178800,111534249.0,2.63,-0.32,-0.003,5.35
36,2022-03-07,0.943,0.938,0.963,0.934,959118,90965730.0,3.06,-1.16,-0.011,4.35
37,2022-03-08,0.933,0.905,0.937,0.9,1108986,101898508.0,3.94,-3.52,-0.033,5.03
38,2022-03-09,0.91,0.919,0.932,0.883,1246873,113724441.0,5.41,1.55,0.014,5.66
39,2022-03-10,0.932,0.94,0.948,0.915,1411935,131843515.0,3.59,2.29,0.021,6.41
40,2022-03-11,0.921,0.92,0.925,0.897,1165408,106315564.0,2.98,-2.13,-0.02,5.29
41,2022-03-14,0.907,0.889,0.911,0.888,736949,66337636.0,2.5,-3.37,-0.031,3.34
42,2022-03-15,0.889,0.826,0.889,0.82,1377594,117370689.0,7.76,-7.09,-0.063,6.25
43,2022-03-16,0.837,0.861,0.863,0.816,1400638,117902999.0,5.69,4.24,0.035,6.36
44,2022-03-17,0.867,0.86,0.875,0.858,1101763,95479722.0,1.97,-0.12,-0.001,5.0
45,2022-03-18,0.861,0.88,0.883,0.852,1073859,93914892.0,3.6,2.33,0.02,4.87
46,2022-03-21,0.876,0.875,0.88,0.864,913924,79791899.0,1.82,-0.57,-0.005,4.15
47,2022-03-22,0.873,0.877,0.88,0.865,553302,48187960.0,1.71,0.23,0.002,2.51
48,2022-03-23,0.885,0.875,0.89,0.873,606060,53327916.0,1.94,-0.23,-0.002,2.75
49,2022-03-24,0.865,0.858,0.871,0.857,577056,49721122.0,1.6,-1.94,-0.017,2.62
50,2022-03-25,0.857,0.844,0.858,0.841,576353,48992160.0,1.98,-1.63,-0.014,2.62
51,2022-03-28,0.842,0.853,0.853,0.83,515503,43360525.0,2.73,1.07,0.009,2.34
52,2022-03-29,0.853,0.851,0.863,0.85,792831,67800727.0,1.52,-0.23,-0.002,3.6
53,2022-03-30,0.855,0.863,0.863,0.854,608652,52298195.0,1.06,1.41,0.012,2.76
54,2022-03-31,0.863,0.853,0.864,0.852,649933,55603091.0,1.39,-1.16,-0.01,2.95
55,2022-04-01,0.84,0.858,0.86,0.837,578127,49234978.0,2.7,0.59,0.005,2.62
56,2022-04-06,0.851,0.865,0.865,0.85,487821,41826188.0,1.75,0.82,0.007,2.21
57,2022-04-07,0.863,0.851,0.864,0.85,485464,41687505.0,1.62,-1.62,-0.014,2.2
58,2022-04-08,0.849,0.85,0.856,0.842,549920,46723481.0,1.65,-0.12,-0.001,2.5
