,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-08-08,0.988,0.989,1.002,0.94,399818,39830644.874,0.0,0.0,0.0,34.6
1,2022-08-09,0.989,0.989,0.989,0.978,80336,7903760.211,1.11,0.0,0.0,6.95
2,2022-08-10,0.989,0.983,0.992,0.978,151725,14920673.741,1.42,-0.61,-0.006,13.13
3,2022-08-11,0.975,0.997,0.998,0.974,145613,14450321.625,2.44,1.42,0.014,12.6
4,2022-08-12,0.996,0.998,1.001,0.994,132901,13275980.614,0.7,0.1,0.001,11.5
5,2022-08-15,0.997,1.001,1.006,0.995,202277,20267695.548,1.1,0.3,0.003,17.5
6,2022-08-16,0.995,1.011,1.012,0.995,221409,22296701.59,1.7,1.0,0.01,19.16
7,2022-08-17,1.011,1.004,1.011,0.999,79163,7937552.271,1.19,-0.69,-0.007,6.85
8,2022-08-18,1.008,0.993,1.008,0.992,59758,5939572.346,1.59,-1.1,-0.011,5.17
9,2022-08-19,0.993,1.003,1.011,0.993,138213,13903965.281,1.81,1.01,0.01,11.96
10,2022-08-22,1.003,1.022,1.022,1.001,296282,30097893.875,2.09,1.89,0.019,25.64
11,2022-08-23,1.02,1.024,1.026,1.016,167284,17103692.389,0.98,0.2,0.002,14.48
12,2022-08-24,1.014,1.012,1.037,1.008,176683,18114536.111,2.83,-1.17,-0.012,15.29
13,2022-08-25,1.012,1.021,1.026,1.007,112056,11400164.617,1.88,0.89,0.009,9.7
14,2022-08-26,1.021,1.034,1.042,1.021,194588,20152414.665,2.06,1.27,0.013,16.84
15,2022-08-29,1.034,1.039,1.041,1.024,75879,7863998.274,1.64,0.48,0.005,6.57
16,2022-08-30,1.038,1.033,1.038,1.021,79428,8168649.085,1.64,-0.58,-0.006,6.87
17,2022-08-31,1.033,1.01,1.035,1.008,78805,8032675.639,2.61,-2.23,-0.023,6.82
18,2022-09-01,1.008,1.006,1.02,1.004,49332,5001142.596,1.58,-0.4,-0.004,4.27
19,2022-09-02,1.001,1.007,1.011,1.0,45034,4526720.623,1.09,0.1,0.001,3.9
20,2022-09-05,1.007,1.002,1.007,0.992,37082,3692718.374,1.49,-0.5,-0.005,3.21
21,2022-09-06,1.005,1.02,1.02,1.005,66046,6707578.226,1.5,1.8,0.018,5.72
22,2022-09-07,1.02,1.012,1.02,1.008,44262,4477507.692,1.18,-0.78,-0.008,3.83
23,2022-09-08,1.016,0.996,1.016,0.994,29624,2973739.898,2.17,-1.58,-0.016,2.56
24,2022-09-09,0.996,0.999,1.0,0.99,23887,2378994.074,1.0,0.3,0.003,2.07
25,2022-09-13,0.997,1.008,1.015,0.997,66386,6677009.905,1.8,0.9,0.009,5.74
26,2022-09-14,1.007,0.991,1.007,0.986,32864,3260275.731,2.08,-1.69,-0.017,2.84
27,2022-09-15,0.991,0.966,0.993,0.956,35765,3465624.91,3.73,-2.52,-0.025,3.09
28,2022-09-16,0.966,0.949,0.967,0.948,31974,3054695.82,1.97,-1.76,-0.017,2.77
29,2022-09-19,0.947,0.952,0.963,0.946,9818,938916.49,1.79,0.32,0.003,0.85
30,2022-09-20,0.959,0.955,0.964,0.953,26327,2514160.096,1.16,0.32,0.003,2.28
31,2022-09-21,0.955,0.945,0.955,0.941,17534,1657663.723,1.47,-1.05,-0.01,1.52
32,2022-09-22,0.944,0.946,0.952,0.942,27322,2582658.7,1.06,0.11,0.001,2.36
33,2022-09-23,0.945,0.929,0.946,0.921,27490,2566194.7,2.64,-1.8,-0.017,2.38
34,2022-09-26,0.92,0.906,0.925,0.903,26973,2469162.182,2.37,-2.48,-0.023,2.33
35,2022-09-27,0.905,0.921,0.921,0.903,67530,6161497.04,1.99,1.66,0.015,5.84
36,2022-09-28,0.919,0.899,0.921,0.899,50386,4576269.852,2.39,-2.39,-0.022,4.36
37,2022-09-29,0.899,0.909,0.921,0.899,60612,5523277.324,2.45,1.11,0.01,5.25
38,2022-09-30,0.908,0.904,0.917,0.901,61089,5551588.7,1.76,-0.55,-0.005,5.29
39,2022-10-10,0.913,0.912,0.928,0.908,52554,4841003.468,2.21,0.88,0.008,4.55
40,2022-10-11,0.904,0.917,0.919,0.903,63323,5786138.13,1.75,0.55,0.005,5.48
41,2022-10-12,0.919,0.931,0.932,0.902,52441,4828925.256,3.27,1.53,0.014,4.54
42,2022-10-13,0.932,0.941,0.954,0.92,48979,4598650.389,3.65,1.07,0.01,4.24
43,2022-10-14,0.94,0.954,0.955,0.94,38182,3627674.504,1.59,1.38,0.013,3.3
44,2022-10-17,0.945,0.958,0.958,0.944,19429,1848369.929,1.47,0.42,0.004,1.68
45,2022-10-18,0.962,0.956,0.964,0.953,23038,2203249.663,1.15,-0.21,-0.002,1.99
46,2022-10-19,0.964,0.934,0.964,0.933,20955,1970026.487,3.24,-2.3,-0.022,1.81
47,2022-10-20,0.932,0.925,0.937,0.918,17739,1645371.134,2.03,-0.96,-0.009,1.54
48,2022-10-21,0.925,0.918,0.928,0.914,38615,3556460.58,1.51,-0.76,-0.007,3.34
49,2022-10-24,0.919,0.901,0.924,0.897,43595,3966340.54,2.94,-1.85,-0.017,3.77
50,2022-10-25,0.901,0.891,0.901,0.881,29710,2646349.628,2.22,-1.11,-0.01,2.57
51,2022-10-26,0.894,0.89,0.908,0.885,28376,2549232.8,2.58,-0.11,-0.001,2.46
52,2022-10-27,0.895,0.896,0.901,0.886,25404,2267145.365,1.69,0.67,0.006,2.2
53,2022-10-28,0.896,0.855,0.896,0.851,37429,3235311.356,5.02,-4.58,-0.041,3.24
54,2022-10-31,0.849,0.857,0.866,0.849,38322,3292084.295,1.99,0.23,0.002,3.32
55,2022-11-01,0.85,0.886,0.886,0.85,37927,3320453.915,4.2,3.38,0.029,3.28
56,2022-11-02,0.889,0.894,0.899,0.884,43786,3915090.192,1.69,0.9,0.008,3.79
57,2022-11-03,0.878,0.898,0.899,0.878,36919,3305562.185,2.35,0.45,0.004,3.19
58,2022-11-04,0.898,0.916,0.918,0.896,35665,3253495.6,2.45,2.0,0.018,3.09
59,2022-11-07,0.916,0.926,0.93,0.916,43237,4003426.082,1.53,1.09,0.01,3.74
60,2022-11-08,0.928,0.921,0.931,0.913,62711,5758121.676,1.94,-0.54,-0.005,5.43
61,2022-11-09,0.921,0.914,0.921,0.913,43967,4041732.7,0.87,-0.76,-0.007,3.8
62,2022-11-10,0.919,0.913,0.919,0.905,17931,1633488.433,1.53,-0.11,-0.001,1.55
63,2022-11-11,1.004,0.921,1.004,0.916,27747,2559707.6,9.64,0.88,0.008,2.4
