,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-04-22,0.95,0.943,0.962,0.941,996557,94716101.0,0.0,0.0,0.0,35.45
1,2022-04-25,0.93,0.87,0.934,0.856,367887,33542158.0,8.27,-7.74,-0.073,13.09
2,2022-04-26,0.871,0.872,0.901,0.87,217801,19242449.0,3.56,0.23,0.002,7.75
3,2022-04-27,0.859,0.945,0.949,0.859,317286,28456360.0,10.32,8.37,0.073,11.29
4,2022-04-28,0.943,0.952,0.968,0.923,259382,24703578.0,4.76,0.74,0.007,9.23
5,2022-04-29,0.941,0.985,0.99,0.941,345987,33592324.0,5.15,3.47,0.033,12.31
6,2022-05-05,0.984,0.992,1.008,0.971,367132,36719314.0,3.76,0.71,0.007,13.06
7,2022-05-06,0.979,0.972,0.989,0.969,150251,14658821.0,2.02,-2.02,-0.02,5.34
8,2022-05-09,0.971,0.989,1.0,0.971,143935,14257334.0,2.98,1.75,0.017,5.12
9,2022-05-10,0.985,1.01,1.032,0.985,701565,71372610.0,4.75,2.12,0.021,24.96
10,2022-05-11,1.013,1.044,1.062,1.013,687356,71865890.0,4.85,3.37,0.034,24.45
11,2022-05-12,1.041,1.03,1.043,1.024,290469,30027603.0,1.82,-1.34,-0.014,10.33
12,2022-05-13,1.028,1.04,1.046,1.028,186983,19402680.0,1.75,0.97,0.01,6.65
13,2022-05-16,1.039,1.024,1.059,1.024,137472,14283064.0,3.37,-1.54,-0.016,4.89
14,2022-05-17,1.022,1.061,1.065,1.022,149925,15743939.0,4.2,3.61,0.037,5.33
15,2022-05-18,1.061,1.078,1.085,1.057,208478,22282162.0,2.64,1.6,0.017,7.42
16,2022-05-19,1.065,1.132,1.141,1.061,245327,27265033.0,7.42,5.01,0.054,8.73
17,2022-05-20,1.144,1.145,1.146,1.121,204970,23224156.0,2.21,1.15,0.013,7.29
18,2022-05-23,1.143,1.139,1.143,1.12,157654,17839129.0,2.01,-0.52,-0.006,5.61
19,2022-05-24,1.138,1.105,1.148,1.1,287955,32630912.0,4.21,-2.99,-0.034,10.24
20,2022-05-25,1.1,1.115,1.117,1.094,232589,25733915.0,2.08,0.9,0.01,8.27
21,2022-05-26,1.116,1.11,1.129,1.094,173996,19342653.0,3.14,-0.45,-0.005,6.19
22,2022-05-27,1.11,1.104,1.128,1.097,114348,12735278.0,2.79,-0.54,-0.006,4.07
23,2022-05-30,1.11,1.11,1.111,1.095,110623,12215244.0,1.45,0.54,0.006,3.93
