,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-05-09,0.999,0.973,0.999,0.972,293222,28758599.223,0.0,0.0,0.0,16.42
1,2023-05-10,0.971,0.977,0.979,0.967,125407,12226331.118,1.23,0.41,0.004,7.02
2,2023-05-11,0.978,0.978,0.995,0.976,99178,9784719.712,1.94,0.1,0.001,5.55
3,2023-05-12,0.98,0.971,0.987,0.97,112313,10960723.648,1.74,-0.72,-0.007,6.29
4,2023-05-15,0.973,0.985,0.987,0.966,181951,17720983.58,2.16,1.44,0.014,10.19
5,2023-05-16,0.985,0.996,1.001,0.984,361692,36036958.787,1.73,1.12,0.011,20.25
6,2023-05-17,0.997,0.979,0.999,0.975,199203,19562881.913,2.41,-1.71,-0.017,11.15
7,2023-05-18,0.979,0.97,0.982,0.966,172315,16763995.09,1.63,-0.92,-0.009,9.65
8,2023-05-19,0.97,0.973,0.978,0.964,123442,12007120.653,1.44,0.31,0.003,6.91
9,2023-05-22,0.973,0.985,0.992,0.97,134475,13230518.32,2.26,1.23,0.012,7.53
10,2023-05-23,0.986,0.989,1.003,0.985,224808,22451392.874,1.83,0.41,0.004,12.59
11,2023-05-24,0.99,0.977,0.992,0.977,161856,15926088.968,1.52,-1.21,-0.012,9.06
12,2023-05-25,0.977,0.97,0.979,0.963,141844,13775544.509,1.64,-0.72,-0.007,7.94
13,2023-05-26,0.97,0.97,0.976,0.965,117635,11404720.639,1.13,0.0,0.0,6.59
14,2023-05-29,0.97,0.964,0.977,0.958,102030,9850986.968,1.96,-0.62,-0.006,5.71
15,2023-05-30,0.965,0.954,0.97,0.94,147857,14185773.367,3.11,-1.04,-0.01,8.28
16,2023-05-31,0.954,0.933,0.954,0.929,105228,9906926.308,2.62,-2.2,-0.021,5.89
17,2023-06-01,0.928,0.943,0.954,0.928,132071,12494132.776,2.79,1.07,0.01,7.39
18,2023-06-02,0.941,0.954,0.958,0.941,117557,11176369.153,1.8,1.17,0.011,6.58
19,2023-06-05,0.953,0.944,0.957,0.94,57520,5442567.318,1.78,-1.05,-0.01,3.22
20,2023-06-06,0.944,0.93,0.945,0.929,113297,10651937.068,1.69,-1.48,-0.014,6.34
21,2023-06-07,0.933,0.927,0.945,0.924,119705,11161670.008,2.26,-0.32,-0.003,6.7
22,2023-06-08,0.926,0.918,0.926,0.914,128912,11823322.218,1.29,-0.97,-0.009,7.22
23,2023-06-09,0.916,0.932,0.933,0.916,179504,16676405.736,1.85,1.53,0.014,10.05
24,2023-06-12,0.937,0.925,0.937,0.919,158905,14692326.297,1.93,-0.75,-0.007,8.9
25,2023-06-13,0.925,0.923,0.932,0.918,142200,13120020.105,1.51,-0.22,-0.002,7.96
26,2023-06-14,0.923,0.922,0.935,0.918,157286,14579826.743,1.84,-0.11,-0.001,8.81
27,2023-06-15,0.922,0.934,0.935,0.922,141525,13156560.346,1.41,1.3,0.012,7.92
28,2023-06-16,0.935,0.95,0.958,0.935,138475,13146008.943,2.46,1.71,0.016,7.75
29,2023-06-19,0.952,0.938,0.953,0.934,139378,13108815.2,2.0,-1.26,-0.012,7.8
30,2023-06-20,0.938,0.912,0.945,0.912,178344,16610519.099,3.52,-2.77,-0.026,9.99
31,2023-06-21,0.911,0.884,0.911,0.881,236824,21201615.333,3.29,-3.07,-0.028,13.26
32,2023-06-26,0.864,0.883,0.888,0.864,150542,13293356.785,2.71,-0.11,-0.001,8.43
33,2023-06-27,0.883,0.884,0.893,0.871,132628,11737676.202,2.49,0.11,0.001,7.43
34,2023-06-28,0.884,0.876,0.884,0.871,160155,14064786.585,1.47,-0.9,-0.008,8.97
35,2023-06-29,0.881,0.874,0.883,0.868,154795,13540820.092,1.71,-0.23,-0.002,8.67
36,2023-06-30,0.874,0.885,0.891,0.874,147581,13041217.964,1.95,1.26,0.011,8.26
37,2023-07-03,0.891,0.891,0.891,0.88,131317,11636110.978,1.24,0.68,0.006,7.35
38,2023-07-04,0.891,0.915,0.92,0.883,199662,17943176.351,4.15,2.69,0.024,11.18
39,2023-07-05,0.915,0.905,0.915,0.904,121533,11021126.815,1.2,-1.09,-0.01,6.8
40,2023-07-06,0.91,0.888,0.91,0.888,113673,10155893.965,2.43,-1.88,-0.017,6.36
41,2023-07-07,0.882,0.887,0.893,0.882,121302,10769933.905,1.24,-0.11,-0.001,6.79
42,2023-07-10,0.888,0.888,0.9,0.886,147561,13165316.917,1.58,0.11,0.001,8.26
43,2023-07-11,0.892,0.893,0.897,0.888,117587,10497633.122,1.01,0.56,0.005,6.58
44,2023-07-12,0.893,0.884,0.896,0.884,126173,11235916.4,1.34,-1.01,-0.009,7.06
45,2023-07-13,0.888,0.909,0.915,0.888,152348,13766108.644,3.05,2.83,0.025,8.53
46,2023-07-14,0.912,0.91,0.912,0.907,112767,10247281.664,0.55,0.11,0.001,6.31
47,2023-07-17,0.91,0.896,0.91,0.893,118869,10652574.794,1.87,-1.54,-0.014,6.66
48,2023-07-18,0.897,0.899,0.899,0.891,104738,9403253.196,0.89,0.33,0.003,5.86
49,2023-07-19,0.898,0.892,0.9,0.889,161780,14454435.9,1.22,-0.78,-0.007,9.06
50,2023-07-20,0.893,0.889,0.903,0.888,108479,9723975.639,1.68,-0.34,-0.003,6.07
51,2023-07-21,0.889,0.904,0.912,0.884,129119,11705514.123,3.15,1.69,0.015,7.23
52,2023-07-24,0.9,0.908,0.921,0.9,118497,10819610.543,2.32,0.44,0.004,6.63
53,2023-07-25,0.921,0.918,0.927,0.91,416704,38205917.86,1.87,1.1,0.01,23.33
54,2023-07-26,0.918,0.932,0.934,0.918,146081,13572372.929,1.74,1.53,0.014,8.18
55,2023-07-27,0.937,0.933,0.938,0.929,155321,14478556.908,0.97,0.11,0.001,8.7
56,2023-07-28,0.933,0.955,0.956,0.928,170714,16063426.992,3.0,2.36,0.022,9.56
57,2023-07-31,0.955,0.939,0.967,0.937,159851,15284841.484,3.14,-1.68,-0.016,8.95
58,2023-08-01,0.939,0.937,0.96,0.891,133199,12638666.375,7.35,-0.21,-0.002,7.46
59,2023-08-02,0.937,0.917,0.939,0.915,101595,9365987.12,2.56,-2.13,-0.02,5.69
60,2023-08-03,0.921,0.93,0.933,0.91,88638,8197888.567,2.51,1.42,0.013,4.96
61,2023-08-04,0.932,0.927,0.941,0.922,115776,10742729.2,2.04,-0.32,-0.003,6.48
62,2023-08-07,0.925,0.882,0.926,0.881,202142,18007748.067,4.85,-4.85,-0.045,11.32
