,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-04-29,0.998,1.002,1.009,0.989,5106916,510495088.0,0.0,0.0,0.0,221.16
1,2022-05-05,1.004,1.021,1.028,1.002,2538073,258542592.0,2.59,1.9,0.019,109.91
2,2022-05-06,1.006,0.999,1.01,0.993,607593,60880066.0,1.67,-2.15,-0.022,26.31
3,2022-05-09,0.999,1.006,1.013,0.994,646352,65117425.0,1.9,0.7,0.007,27.99
4,2022-05-10,1.002,1.038,1.042,0.995,1201272,123234831.0,4.67,3.18,0.032,52.02
5,2022-05-11,1.038,1.038,1.057,1.035,969924,101553677.0,2.12,0.0,0.0,42.0
6,2022-05-12,1.042,1.041,1.062,1.031,662518,69449349.0,2.99,0.29,0.003,28.69
7,2022-05-13,1.043,1.058,1.06,1.04,620894,65351738.0,1.92,1.63,0.017,26.89
8,2022-05-16,1.058,1.052,1.063,1.046,551256,57947339.0,1.61,-0.57,-0.006,23.87
9,2022-05-17,1.055,1.05,1.055,1.037,439914,45876976.0,1.71,-0.19,-0.002,19.05
10,2022-05-18,1.049,1.054,1.062,1.043,380155,39964981.0,1.81,0.38,0.004,16.46
11,2022-05-19,1.043,1.068,1.069,1.036,451830,47695859.0,3.13,1.33,0.014,19.57
12,2022-05-20,1.063,1.081,1.087,1.063,511375,55178419.0,2.25,1.22,0.013,22.15
13,2022-05-23,1.081,1.074,1.083,1.065,279184,29935507.0,1.67,-0.65,-0.007,12.09
14,2022-05-24,1.075,1.046,1.08,1.045,507011,53960909.0,3.26,-2.61,-0.028,21.96
15,2022-05-25,1.047,1.074,1.074,1.041,552394,58626896.0,3.15,2.68,0.028,23.92
16,2022-05-26,1.071,1.081,1.086,1.066,522204,56298217.0,1.86,0.65,0.007,22.61
17,2022-05-27,1.081,1.079,1.086,1.069,491891,52992792.0,1.57,-0.19,-0.002,21.3
18,2022-05-30,1.08,1.088,1.088,1.074,506130,54665279.0,1.3,0.83,0.009,21.92
19,2022-05-31,1.094,1.105,1.106,1.085,516662,56698185.0,1.93,1.56,0.017,22.37
20,2022-06-01,1.095,1.1,1.103,1.084,432846,47325947.0,1.72,-0.45,-0.005,18.74
21,2022-06-02,1.091,1.096,1.099,1.086,372534,40740853.0,1.18,-0.36,-0.004,16.13
22,2022-06-06,1.097,1.106,1.107,1.088,483299,52957868.0,1.73,0.91,0.01,20.93
23,2022-06-07,1.106,1.1,1.111,1.094,460412,50775233.0,1.54,-0.54,-0.006,19.94
24,2022-06-08,1.1,1.105,1.11,1.087,473932,52114594.0,2.09,0.45,0.005,20.52
25,2022-06-09,1.101,1.095,1.115,1.091,473175,52246627.0,2.17,-0.9,-0.01,20.49
26,2022-06-10,1.089,1.118,1.118,1.084,464997,51551438.0,3.11,2.1,0.023,20.14
27,2022-06-13,1.117,1.1,1.117,1.088,517364,56861505.0,2.59,-1.61,-0.018,22.41
28,2022-06-14,1.09,1.11,1.11,1.079,407482,44621676.0,2.82,0.91,0.01,17.65
29,2022-06-15,1.102,1.104,1.119,1.099,421054,46643186.0,1.8,-0.54,-0.006,18.23
30,2022-06-16,1.105,1.098,1.11,1.096,327492,36103540.0,1.27,-0.54,-0.006,14.18
31,2022-06-17,1.095,1.109,1.11,1.092,351294,38715177.0,1.64,1.0,0.011,15.21
32,2022-06-20,1.109,1.124,1.131,1.105,421661,47295553.0,2.34,1.35,0.015,18.26
33,2022-06-21,1.124,1.124,1.135,1.114,414374,46547001.0,1.87,0.0,0.0,17.94
34,2022-06-22,1.124,1.107,1.125,1.106,347637,38836820.0,1.69,-1.51,-0.017,15.05
35,2022-06-23,1.107,1.115,1.115,1.094,391623,43112443.0,1.9,0.72,0.008,16.96
36,2022-06-24,1.114,1.115,1.12,1.107,414456,46106235.0,1.17,0.0,0.0,17.95
37,2022-06-27,1.116,1.115,1.12,1.108,350549,39057033.0,1.08,0.0,0.0,15.18
38,2022-06-28,1.117,1.133,1.133,1.114,479882,53927799.0,1.7,1.61,0.018,20.78
39,2022-06-29,1.133,1.115,1.133,1.114,436292,48909113.0,1.68,-1.59,-0.018,18.89
40,2022-06-30,1.115,1.121,1.128,1.111,470024,52661274.0,1.52,0.54,0.006,20.35
41,2022-07-01,1.125,1.141,1.15,1.125,539504,61715042.0,2.23,1.78,0.02,23.36
42,2022-07-04,1.141,1.164,1.165,1.132,484788,56088581.0,2.89,2.02,0.023,20.99
43,2022-07-05,1.166,1.171,1.181,1.16,584546,68482572.0,1.8,0.6,0.007,25.31
44,2022-07-06,1.171,1.162,1.185,1.151,503819,58705966.0,2.9,-0.77,-0.009,21.82
45,2022-07-07,1.161,1.189,1.19,1.161,556381,65566900.0,2.5,2.32,0.027,24.09
46,2022-07-08,1.191,1.184,1.191,1.171,444705,52275569.0,1.68,-0.42,-0.005,19.26
47,2022-07-11,1.18,1.179,1.189,1.169,576500,68090319.0,1.69,-0.42,-0.005,24.97
48,2022-07-12,1.181,1.183,1.201,1.171,553664,65757593.794,2.54,0.34,0.004,23.98
49,2022-07-13,1.183,1.207,1.208,1.174,636483,76007869.251,2.87,2.03,0.024,27.56
50,2022-07-14,1.208,1.189,1.208,1.181,630865,74971855.786,2.24,-1.49,-0.018,27.32
51,2022-07-15,1.19,1.175,1.19,1.172,563248,66432408.275,1.51,-1.18,-0.014,24.39
52,2022-07-18,1.175,1.202,1.203,1.175,631445,75306011.378,2.38,2.3,0.027,27.35
53,2022-07-19,1.2,1.188,1.201,1.182,496172,59016864.603,1.58,-1.16,-0.014,21.49
54,2022-07-20,1.183,1.189,1.192,1.178,506583,60014324.524,1.18,0.08,0.001,21.94
55,2022-07-21,1.187,1.172,1.187,1.17,481286,56580447.256,1.43,-1.43,-0.017,20.84
