,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-07-21,0.992,0.975,0.995,0.973,1510267,149176437.804,0.0,0.0,0.0,80.15
1,2022-07-22,0.987,0.978,0.991,0.97,852275,84038747.776,2.15,0.31,0.003,45.23
2,2022-07-25,0.978,0.965,0.982,0.962,495717,48126510.949,2.04,-1.33,-0.013,26.31
3,2022-07-26,0.965,0.981,0.987,0.965,253682,24729245.446,2.28,1.66,0.016,13.46
4,2022-07-27,0.981,0.984,0.988,0.972,181661,17817138.286,1.63,0.31,0.003,9.64
5,2022-07-28,0.984,0.981,0.991,0.978,138667,13664868.131,1.32,-0.3,-0.003,7.36
6,2022-07-29,0.981,0.976,0.99,0.972,156956,15368873.815,1.83,-0.51,-0.005,8.33
7,2022-08-01,0.982,0.987,0.988,0.963,186636,18273485.983,2.56,1.13,0.011,9.9
8,2022-08-02,0.979,0.965,0.979,0.956,189594,18264515.235,2.33,-2.23,-0.022,10.06
9,2022-08-03,0.96,0.943,0.979,0.939,165420,15875458.745,4.15,-2.28,-0.022,8.78
10,2022-08-04,0.943,0.942,0.952,0.933,90162,8499023.522,2.01,-0.11,-0.001,4.78
11,2022-08-05,0.944,0.954,0.955,0.938,115342,10922636.211,1.8,1.27,0.012,6.12
12,2022-08-08,0.954,0.958,0.959,0.946,54960,5250063.394,1.36,0.42,0.004,2.92
13,2022-08-09,0.958,0.967,0.974,0.954,105349,10200518.498,2.09,0.94,0.009,5.59
14,2022-08-10,0.967,0.959,0.969,0.955,68076,6539243.87,1.45,-0.83,-0.008,3.61
15,2022-08-11,0.96,0.969,0.97,0.951,164141,15828150.489,1.98,1.04,0.01,8.71
16,2022-08-12,0.966,0.967,0.972,0.966,73231,7095354.69,0.62,-0.21,-0.002,3.89
17,2022-08-15,0.967,0.984,0.989,0.957,231429,22765445.31,3.31,1.76,0.017,12.28
18,2022-08-16,0.982,0.986,0.994,0.982,134729,13336271.887,1.22,0.2,0.002,7.15
19,2022-08-17,0.991,0.991,0.993,0.979,157655,15577879.931,1.42,0.51,0.005,8.37
20,2022-08-18,0.995,0.993,0.999,0.989,204119,20285825.083,1.01,0.2,0.002,10.83
21,2022-08-19,0.986,0.975,0.987,0.974,152579,14933551.48,1.31,-1.81,-0.018,8.1
22,2022-08-22,0.974,0.986,0.988,0.966,85310,8385652.169,2.26,1.13,0.011,4.53
23,2022-08-23,0.995,0.984,0.996,0.981,106692,10521453.65,1.52,-0.2,-0.002,5.66
24,2022-08-24,0.993,0.959,0.993,0.957,115011,11135468.452,3.66,-2.54,-0.025,6.1
25,2022-08-25,0.96,0.956,0.965,0.944,67878,6462288.135,2.19,-0.31,-0.003,3.6
26,2022-08-26,0.955,0.951,0.964,0.951,46494,4449240.503,1.36,-0.52,-0.005,2.47
27,2022-08-29,0.951,0.948,0.951,0.94,33554,3173870.885,1.16,-0.32,-0.003,1.78
28,2022-08-30,0.948,0.94,0.95,0.936,67819,6387118.518,1.48,-0.84,-0.008,3.6
29,2022-08-31,0.935,0.916,0.936,0.913,130024,11977493.077,2.45,-2.55,-0.024,6.9
30,2022-09-01,0.928,0.911,0.928,0.91,59740,5465157.402,1.97,-0.55,-0.005,3.17
31,2022-09-02,0.913,0.905,0.915,0.9,70875,6437018.266,1.65,-0.66,-0.006,3.76
32,2022-09-05,0.904,0.903,0.906,0.897,94075,8479449.099,0.99,-0.22,-0.002,4.99
33,2022-09-06,0.902,0.922,0.924,0.899,85029,7773954.847,2.77,2.1,0.019,4.51
34,2022-09-07,0.917,0.931,0.936,0.916,103565,9647211.374,2.17,0.98,0.009,5.5
35,2022-09-08,0.931,0.922,0.935,0.922,62978,5849946.4,1.4,-0.97,-0.009,3.34
36,2022-09-09,0.922,0.933,0.933,0.921,38488,3575068.905,1.3,1.19,0.011,2.04
37,2022-09-13,0.937,0.931,0.937,0.925,78516,7310634.106,1.29,-0.21,-0.002,4.17
38,2022-09-14,0.917,0.916,0.924,0.912,83795,7684869.739,1.29,-1.61,-0.015,4.45
39,2022-09-15,0.916,0.889,0.917,0.882,107788,9619511.945,3.82,-2.95,-0.027,5.72
40,2022-09-16,0.889,0.869,0.889,0.869,92256,8082855.8,2.25,-2.25,-0.02,4.9
41,2022-09-19,0.869,0.867,0.876,0.864,94618,8221453.098,1.38,-0.23,-0.002,5.02
42,2022-09-20,0.867,0.882,0.89,0.867,90300,7983469.782,2.65,1.73,0.015,4.79
43,2022-09-21,0.88,0.877,0.883,0.869,128200,11262301.946,1.59,-0.57,-0.005,6.8
44,2022-09-22,0.878,0.872,0.881,0.867,97808,8553818.054,1.6,-0.57,-0.005,5.19
45,2022-09-23,0.873,0.866,0.88,0.858,121602,10586402.035,2.52,-0.69,-0.006,6.45
46,2022-09-26,0.86,0.862,0.877,0.86,138450,12028457.194,1.96,-0.46,-0.004,7.35
47,2022-09-27,0.867,0.867,0.868,0.854,136089,11697887.114,1.62,0.58,0.005,7.22
48,2022-09-28,0.862,0.84,0.864,0.84,150163,12728292.748,2.77,-3.11,-0.027,7.97
49,2022-09-29,0.84,0.847,0.853,0.84,168145,14282624.182,1.55,0.83,0.007,8.92
50,2022-09-30,0.846,0.832,0.848,0.832,131912,11086344.827,1.89,-1.77,-0.015,7.0
51,2022-10-10,0.835,0.817,0.837,0.815,155109,12822888.631,2.64,-1.8,-0.015,8.23
52,2022-10-11,0.817,0.834,0.835,0.817,123260,10217405.192,2.2,2.08,0.017,6.54
53,2022-10-12,0.831,0.853,0.853,0.817,160895,13302713.593,4.32,2.28,0.019,8.54
54,2022-10-13,0.852,0.846,0.854,0.845,105711,8970542.915,1.06,-0.82,-0.007,5.61
55,2022-10-14,0.85,0.867,0.876,0.85,96173,8302574.677,3.07,2.48,0.021,5.1
56,2022-10-17,0.865,0.861,0.865,0.849,101018,8627034.383,1.85,-0.69,-0.006,5.36
57,2022-10-18,0.863,0.863,0.871,0.86,82636,7143528.872,1.28,0.23,0.002,4.39
58,2022-10-19,0.86,0.856,0.87,0.855,144941,12474424.855,1.74,-0.81,-0.007,7.69
59,2022-10-20,0.843,0.837,0.849,0.829,178975,15021148.463,2.34,-2.22,-0.019,9.5
60,2022-10-21,0.839,0.837,0.847,0.833,159086,13370157.695,1.67,0.0,0.0,8.44
61,2022-10-24,0.831,0.821,0.843,0.816,101448,8431483.6,3.23,-1.91,-0.016,5.38
62,2022-10-25,0.811,0.831,0.838,0.811,44817,3703360.97,3.29,1.22,0.01,2.38
63,2022-10-26,0.821,0.838,0.846,0.821,153809,12940031.114,3.01,0.84,0.007,8.16
64,2022-10-27,0.845,0.834,0.851,0.833,138708,11666132.229,2.15,-0.48,-0.004,7.36
65,2022-10-28,0.83,0.8,0.83,0.797,115425,9343777.914,3.96,-4.08,-0.034,6.13
