,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-03-24,0.993,0.995,0.997,0.992,882874,87734511.709,0.0,0.0,0.0,804.66
1,2023-03-27,0.95,0.99,0.994,0.95,324199,32126384.115,4.42,-0.5,-0.005,295.48
2,2023-03-28,0.996,0.992,0.996,0.989,194552,19327320.832,0.71,0.2,0.002,177.32
3,2023-03-29,0.992,0.993,0.997,0.99,149635,14868130.264,0.71,0.1,0.001,136.38
4,2023-03-30,0.99,1.0,1.001,0.987,384343,38310088.906,1.41,0.7,0.007,350.29
5,2023-03-31,1.0,1.002,1.006,0.999,233062,23370020.868,0.7,0.2,0.002,212.41
6,2023-04-03,1.002,1.005,1.007,1.0,213976,21491119.557,0.7,0.3,0.003,195.02
7,2023-04-04,0.98,1.007,1.007,0.98,124005,12450234.169,2.69,0.2,0.002,113.02
8,2023-04-06,1.007,1.004,1.007,0.997,85223,8560892.779,0.99,-0.3,-0.003,77.67
9,2023-04-07,1.004,1.011,1.015,1.004,164463,16610354.123,1.1,0.7,0.007,149.89
10,2023-04-10,1.018,1.009,1.018,1.006,69857,7050738.733,1.19,-0.2,-0.002,63.67
11,2023-04-11,1.007,1.004,1.009,1.003,18369,1849363.802,0.59,-0.5,-0.005,16.74
12,2023-04-12,1.007,1.003,1.007,1.003,39097,3934512.946,0.4,-0.1,-0.001,35.63
13,2023-04-13,0.998,1.0,1.002,0.996,2787,278509.266,0.6,-0.3,-0.003,2.54
14,2023-04-14,1.004,1.006,1.008,1.002,15943,1600308.874,0.6,0.6,0.006,14.53
15,2023-04-17,1.0,1.012,1.012,1.0,25308,2552066.754,1.19,0.6,0.006,23.07
16,2023-04-18,1.013,1.02,1.022,1.01,80615,8199048.806,1.19,0.79,0.008,73.47
17,2023-04-19,1.019,1.011,1.019,1.011,4709,476794.256,0.78,-0.88,-0.009,4.29
18,2023-04-20,1.008,1.003,1.011,1.003,4240,425814.697,0.79,-0.79,-0.008,3.86
19,2023-04-21,0.993,1.001,1.007,0.993,11443,1147523.789,1.4,-0.2,-0.002,10.43
20,2023-04-24,0.992,0.982,0.992,0.982,18595,1827091.672,1.0,-1.9,-0.019,16.95
21,2023-04-25,0.973,0.975,0.978,0.972,5714,556188.115,0.61,-0.71,-0.007,5.21
22,2023-04-26,0.975,0.974,0.977,0.972,2087,203467.998,0.51,-0.1,-0.001,1.9
23,2023-04-27,0.974,0.984,0.984,0.974,25762,2528149.194,1.03,1.03,0.01,23.48
24,2023-04-28,0.977,0.993,0.993,0.977,21995,2171782.3,1.63,0.91,0.009,20.05
25,2023-05-04,0.987,0.989,0.991,0.985,68768,6796326.5,0.6,-0.4,-0.004,62.68
26,2023-05-05,0.987,0.985,0.989,0.981,34099,3356416.5,0.81,-0.4,-0.004,31.08
27,2023-05-08,0.988,0.996,0.996,0.986,39611,3906438.3,1.02,1.12,0.011,36.1
28,2023-05-09,0.987,0.982,0.987,0.982,37569,3694624.3,0.5,-1.41,-0.014,34.24
29,2023-05-10,0.979,0.988,0.991,0.977,32415,3174606.4,1.43,0.61,0.006,29.54
30,2023-05-11,0.978,0.979,0.979,0.978,14835,1452344.5,0.1,-0.91,-0.009,13.52
31,2023-05-12,0.976,0.965,0.977,0.965,4525,440225.042,1.23,-1.43,-0.014,4.12
32,2023-05-15,0.963,0.977,0.977,0.963,1920,186211.824,1.45,1.24,0.012,1.75
33,2023-05-16,0.978,0.974,0.981,0.974,1203,117654.302,0.72,-0.31,-0.003,1.1
34,2023-05-17,0.973,0.973,0.983,0.968,42752,4150828.954,1.54,-0.1,-0.001,38.96
35,2023-05-18,0.976,0.973,0.978,0.973,5413,527447.1,0.51,0.0,0.0,4.93
36,2023-05-19,0.972,0.972,0.972,0.972,1,97.2,0.0,-0.1,-0.001,0.0
37,2023-05-22,0.978,0.985,0.999,0.977,9204,899454.0,2.26,1.34,0.013,8.39
38,2023-05-23,0.977,0.974,0.987,0.973,23737,2319310.422,1.42,-1.12,-0.011,21.63
39,2023-05-24,0.983,0.962,0.983,0.961,203,19631.6,2.26,-1.23,-0.012,0.19
40,2023-05-25,0.955,0.961,0.971,0.952,34907,3329970.9,1.98,-0.1,-0.001,31.81
41,2023-05-26,0.97,0.954,0.972,0.943,56944,5419326.856,3.02,-0.73,-0.007,51.9
42,2023-05-29,0.954,0.953,0.955,0.948,12916,1226410.4,0.73,-0.1,-0.001,11.77
43,2023-05-30,0.962,0.949,0.962,0.939,30312,2862868.8,2.41,-0.42,-0.004,27.63
44,2023-05-31,0.942,0.939,0.947,0.936,9152,860008.9,1.16,-1.05,-0.01,8.34
45,2023-06-01,0.945,0.943,0.948,0.937,29987,2830504.841,1.17,0.43,0.004,27.33
46,2023-06-02,0.952,0.954,0.972,0.947,35257,3360490.013,2.65,1.17,0.011,32.13
47,2023-06-05,0.95,0.952,0.952,0.948,26,2466.8,0.42,-0.21,-0.002,0.02
48,2023-06-06,0.955,0.947,0.956,0.947,15134,1440621.876,0.95,-0.53,-0.005,13.79
49,2023-06-07,0.941,0.941,0.943,0.938,35386,3326324.2,0.53,-0.63,-0.006,32.25
50,2023-06-08,0.943,0.949,0.949,0.938,49895,4725575.0,1.17,0.85,0.008,45.47
51,2023-06-09,0.948,0.952,0.952,0.942,28749,2730587.7,1.05,0.32,0.003,26.2
52,2023-06-12,0.948,0.951,0.955,0.948,15911,1515110.602,0.74,-0.11,-0.001,14.5
53,2023-06-13,0.951,0.96,0.96,0.951,3504,333924.7,0.95,0.95,0.009,3.19
54,2023-06-14,0.964,0.96,0.964,0.957,11922,1144302.96,0.73,0.0,0.0,10.87
55,2023-06-15,0.969,0.975,0.975,0.96,3828,371463.245,1.56,1.56,0.015,3.49
56,2023-06-16,0.977,0.985,0.985,0.975,55698,5459616.7,1.03,1.03,0.01,50.76
57,2023-06-19,0.978,0.977,0.978,0.977,3,293.2,0.1,-0.81,-0.008,0.0
58,2023-06-20,0.973,0.969,0.974,0.969,14069,1368190.7,0.51,-0.82,-0.008,12.82
59,2023-06-21,0.968,0.967,0.968,0.967,1273,123222.572,0.1,-0.21,-0.002,1.16
60,2023-06-26,0.951,0.949,0.955,0.944,54168,5128194.6,1.14,-1.86,-0.018,49.37
61,2023-06-27,0.94,0.957,0.959,0.94,11933,1134873.0,2.0,0.84,0.008,10.88
62,2023-06-28,0.955,0.958,0.958,0.951,36146,3452661.1,0.73,0.1,0.001,32.94
63,2023-06-29,0.952,0.955,0.956,0.952,61105,5826536.6,0.42,-0.31,-0.003,55.69
64,2023-06-30,0.954,0.96,0.964,0.954,453644,43563929.05,1.05,0.52,0.005,413.45
65,2023-07-03,0.952,0.968,0.969,0.952,371618,35816558.664,1.77,0.83,0.008,338.69
66,2023-07-04,0.965,0.967,0.967,0.965,4647,448832.656,0.21,-0.1,-0.001,4.24
67,2023-07-05,0.967,0.962,0.967,0.962,17561,1690935.726,0.52,-0.52,-0.005,16.01
68,2023-07-06,0.958,0.958,0.958,0.958,100,9580.0,0.0,-0.42,-0.004,0.09
69,2023-07-07,0.951,0.952,0.952,0.951,140,13317.0,0.1,-0.63,-0.006,0.13
70,2023-07-10,0.954,0.958,0.958,0.954,21,2007.8,0.42,0.63,0.006,0.02
71,2023-07-11,0.958,0.959,0.959,0.958,10000,957993.328,0.1,0.1,0.001,9.11
72,2023-07-12,0.96,0.961,0.961,0.959,8723,837607.843,0.21,0.21,0.002,7.95
73,2023-07-13,0.961,0.968,0.968,0.961,9118,880847.364,0.73,0.73,0.007,8.31
74,2023-07-14,0.968,0.968,0.968,0.968,15593,1509430.472,0.0,0.0,0.0,14.21
75,2023-07-17,0.963,0.965,0.965,0.963,1010,97465.926,0.21,-0.31,-0.003,0.92
76,2023-07-18,0.96,0.959,0.962,0.959,5214,500315.507,0.31,-0.62,-0.006,4.75
77,2023-07-19,0.956,0.956,0.956,0.956,1,95.6,0.0,-0.31,-0.003,0.0
78,2023-07-20,0.961,0.953,0.961,0.953,403,38767.036,0.84,-0.31,-0.003,0.37
79,2023-07-21,0.944,0.951,0.954,0.944,502,47761.673,1.05,-0.21,-0.002,0.46
80,2023-07-24,0.951,0.948,0.952,0.948,2762,261994.636,0.42,-0.32,-0.003,2.52
81,2023-07-25,0.957,0.97,0.97,0.939,10265,993679.937,3.27,2.32,0.022,9.36
82,2023-07-26,0.972,0.971,0.972,0.97,11527,1119476.971,0.21,0.1,0.001,10.51
83,2023-07-27,0.971,0.976,1.02,0.971,28908,2822189.6,5.05,0.51,0.005,26.35
84,2023-07-28,0.976,0.989,1.008,0.974,17110,1680962.689,3.48,1.33,0.013,15.59
85,2023-07-31,0.989,0.996,1.006,0.982,7357,735474.4,2.43,0.71,0.007,6.71
86,2023-08-01,0.987,0.993,0.996,0.987,5219,518652.7,0.9,-0.3,-0.003,4.76
87,2023-08-02,0.991,0.985,0.991,0.985,6070,599895.0,0.6,-0.81,-0.008,5.53
88,2023-08-03,0.984,0.994,0.994,0.983,21344,2103167.3,1.12,0.91,0.009,19.45
89,2023-08-04,0.995,1.002,1.003,0.992,27906,2781916.497,1.11,0.8,0.008,25.43
90,2023-08-07,0.992,0.988,0.992,0.986,7444,736907.569,0.6,-1.4,-0.014,6.78
91,2023-08-08,0.984,0.989,0.991,0.984,4376,431784.685,0.71,0.1,0.001,3.99
92,2023-08-09,0.988,0.986,0.988,0.986,27,2666.2,0.2,-0.3,-0.003,0.02
93,2023-08-10,0.984,0.985,0.985,0.983,1028,101155.2,0.2,-0.1,-0.001,0.94
94,2023-08-11,0.983,0.968,0.983,0.968,2501,242645.7,1.52,-1.73,-0.017,2.28
95,2023-08-14,0.959,0.959,0.959,0.953,3320,317085.4,0.62,-0.93,-0.009,3.03
96,2023-08-15,0.958,0.957,0.962,0.957,1102,105571.9,0.52,-0.21,-0.002,1.0
97,2023-08-16,0.956,0.958,0.958,0.956,4049,387494.2,0.21,0.1,0.001,3.69
98,2023-08-17,0.949,0.955,0.955,0.949,2202,210074.8,0.63,-0.31,-0.003,2.01
99,2023-08-18,0.955,0.956,0.956,0.953,1072,102375.9,0.31,0.1,0.001,0.98
100,2023-08-21,0.947,0.944,0.947,0.937,128,12070.2,1.05,-1.26,-0.012,0.12
101,2023-08-22,0.943,0.941,0.943,0.93,605,56626.204,1.38,-0.32,-0.003,0.55
102,2023-08-23,0.937,0.932,0.937,0.932,103,9622.902,0.53,-0.96,-0.009,0.09
103,2023-08-24,0.941,0.935,0.941,0.929,1040,96940.529,1.29,0.32,0.003,0.95
