,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-10-26,1.024,1.03,1.03,1.002,3997537,405637526.248,0.0,0.0,0.0,375.29
1,2022-10-27,1.027,1.017,1.05,1.015,769540,79630337.498,3.4,-1.26,-0.013,72.25
2,2022-10-28,1.007,0.968,1.007,0.965,390620,38490817.911,4.13,-4.82,-0.049,36.67
3,2022-10-31,0.957,0.978,0.985,0.871,221552,21564997.069,11.78,1.03,0.01,20.8
4,2022-11-01,0.988,1.005,1.005,0.978,264490,26336054.029,2.76,2.76,0.027,24.83
5,2022-11-02,1.0,1.02,1.03,0.997,314646,31987929.623,3.28,1.49,0.015,29.54
6,2022-11-03,1.02,1.025,1.03,1.01,308543,31629693.336,1.96,0.49,0.005,28.97
7,2022-11-04,1.025,1.048,1.052,1.025,347933,36320031.868,2.63,2.24,0.023,32.66
8,2022-11-07,1.056,1.044,1.058,1.037,289034,30211275.686,2.0,-0.38,-0.004,27.13
9,2022-11-08,1.043,1.031,1.043,1.024,210012,21590188.141,1.82,-1.25,-0.013,19.72
10,2022-11-09,1.031,1.027,1.038,1.022,171122,17629169.777,1.55,-0.39,-0.004,16.07
11,2022-11-10,1.011,1.006,1.025,1.003,214765,21717528.395,2.14,-2.04,-0.021,20.16
12,2022-11-11,1.03,1.022,1.036,1.016,229304,23503567.684,1.99,1.59,0.016,21.53
13,2022-11-14,1.022,0.995,1.022,0.993,177425,17755408.144,2.84,-2.64,-0.027,16.66
14,2022-11-15,0.995,1.037,1.038,0.993,233955,23974080.976,4.52,4.22,0.042,21.96
15,2022-11-16,1.038,1.022,1.038,1.019,165778,16981601.085,1.83,-1.45,-0.015,15.56
16,2022-11-17,1.019,1.017,1.019,1.002,196388,19790343.984,1.66,-0.49,-0.005,18.44
17,2022-11-18,1.01,1.017,1.038,1.01,299717,30797174.358,2.75,0.0,0.0,28.14
18,2022-11-21,1.005,1.035,1.035,1.005,339493,34699291.56,2.95,1.77,0.018,31.87
19,2022-11-22,1.035,1.011,1.035,1.007,283476,28897829.486,2.71,-2.32,-0.024,26.61
20,2022-11-23,1.01,1.002,1.01,0.98,217290,21530463.9,2.97,-0.89,-0.009,20.4
21,2022-11-24,1.008,0.997,1.012,0.994,204505,20537305.821,1.8,-0.5,-0.005,19.2
22,2022-11-25,0.997,0.978,0.997,0.977,218596,21483051.736,2.01,-1.91,-0.019,20.52
23,2022-11-28,0.969,0.968,0.969,0.957,201495,19394998.427,1.23,-1.02,-0.01,18.92
24,2022-11-29,0.969,0.98,0.982,0.966,175790,17142691.001,1.65,1.24,0.012,16.5
25,2022-11-30,0.981,0.979,0.988,0.975,169833,16616346.6,1.33,-0.1,-0.001,15.94
26,2022-12-01,0.986,0.993,1.003,0.986,187988,18746530.897,1.74,1.43,0.014,17.65
27,2022-12-02,0.99,1.001,1.009,0.99,161796,16239558.912,1.91,0.81,0.008,15.19
28,2022-12-05,1.006,1.0,1.006,0.99,205177,20433599.581,1.6,-0.1,-0.001,19.26
29,2022-12-06,1.0,1.002,1.008,0.988,119109,11903210.603,2.0,0.2,0.002,11.18
30,2022-12-07,0.998,0.993,1.007,0.99,189823,18918212.657,1.7,-0.9,-0.009,17.82
31,2022-12-08,0.993,0.986,0.998,0.984,131162,13020743.448,1.41,-0.7,-0.007,12.31
32,2022-12-09,0.986,0.984,0.992,0.977,169963,16763437.051,1.52,-0.2,-0.002,15.96
33,2022-12-12,0.981,0.991,0.995,0.975,158130,15629703.952,2.03,0.71,0.007,14.85
34,2022-12-13,0.986,0.972,0.991,0.97,147546,14444427.248,2.12,-1.92,-0.019,13.85
35,2022-12-14,0.972,0.972,0.984,0.971,112456,10988565.949,1.34,0.0,0.0,10.56
36,2022-12-15,0.975,0.983,0.984,0.965,176671,17287406.7,1.95,1.13,0.011,16.59
37,2022-12-16,0.983,0.967,0.983,0.961,155988,15073092.156,2.24,-1.63,-0.016,14.64
38,2022-12-19,0.967,0.956,0.973,0.951,245460,23629405.4,2.28,-1.14,-0.011,23.04
39,2022-12-20,0.96,0.959,0.964,0.949,205283,19659391.0,1.57,0.31,0.003,19.27
40,2022-12-21,0.959,0.939,0.959,0.935,189374,17896625.558,2.5,-2.09,-0.02,17.78
41,2022-12-22,0.939,0.92,0.939,0.915,181542,16866637.844,2.56,-2.02,-0.019,17.04
42,2022-12-23,0.93,0.904,0.93,0.897,246748,22387066.343,3.59,-1.74,-0.016,23.17
43,2022-12-26,0.893,0.937,0.937,0.893,185985,17285495.661,4.87,3.65,0.033,17.46
44,2022-12-27,0.933,0.945,0.945,0.931,188620,17715310.87,1.49,0.85,0.008,17.71
45,2022-12-28,0.94,0.93,0.94,0.928,195914,18252977.4,1.27,-1.59,-0.015,18.39
46,2022-12-29,0.93,0.929,0.936,0.927,231920,21588011.334,0.97,-0.11,-0.001,21.77
47,2022-12-30,0.931,0.924,0.933,0.923,159871,14826447.4,1.08,-0.54,-0.005,15.01
48,2023-01-03,0.924,0.952,0.954,0.921,200133,18882548.0,3.57,3.03,0.028,18.79
49,2023-01-04,0.95,0.945,0.95,0.935,199463,18818146.2,1.58,-0.74,-0.007,18.73
50,2023-01-05,0.945,0.956,0.958,0.942,190008,18091054.0,1.69,1.16,0.011,17.84
51,2023-01-06,0.955,0.964,0.971,0.955,204246,19716400.784,1.67,0.84,0.008,19.17
52,2023-01-09,0.964,0.968,0.976,0.964,192336,18640173.19,1.24,0.41,0.004,18.06
53,2023-01-10,0.975,0.963,0.975,0.958,170252,16357401.032,1.76,-0.52,-0.005,15.98
54,2023-01-11,0.963,0.95,0.963,0.948,302872,29012368.0,1.56,-1.35,-0.013,28.43
55,2023-01-12,0.96,0.96,0.968,0.954,240221,23129119.667,1.47,1.05,0.01,22.55
56,2023-01-13,0.96,0.955,0.96,0.947,166718,15867656.164,1.35,-0.52,-0.005,15.65
57,2023-01-16,0.956,0.965,0.973,0.954,213764,20658852.098,1.99,1.05,0.01,20.07
58,2023-01-17,0.968,0.973,0.975,0.967,217886,21135068.022,0.83,0.83,0.008,20.46
59,2023-01-18,0.975,0.985,0.986,0.974,151645,14902585.38,1.23,1.23,0.012,14.24
60,2023-01-19,0.985,0.992,0.994,0.977,179353,17721083.595,1.73,0.71,0.007,16.84
61,2023-01-20,0.999,1.01,1.013,0.999,211085,21269557.627,1.41,1.81,0.018,19.82
62,2023-01-30,1.04,1.018,1.04,1.01,235442,24134395.82,2.97,0.79,0.008,22.1
63,2023-01-31,1.018,1.031,1.036,1.018,251231,25892985.325,1.77,1.28,0.013,23.59
64,2023-02-01,1.034,1.045,1.046,1.029,303811,31571407.862,1.65,1.36,0.014,28.52
65,2023-02-02,1.046,1.05,1.06,1.042,249786,26314448.339,1.72,0.48,0.005,23.45
66,2023-02-03,1.05,1.052,1.053,1.034,244235,25460364.75,1.81,0.19,0.002,22.93
67,2023-02-06,1.04,1.041,1.046,1.028,283883,29515916.645,1.71,-1.05,-0.011,26.65
68,2023-02-07,1.037,1.074,1.074,1.037,257919,27376760.262,3.55,3.17,0.033,24.21
69,2023-02-08,1.076,1.054,1.076,1.054,229810,24386146.341,2.05,-1.86,-0.02,21.57
70,2023-02-09,1.051,1.071,1.073,1.051,185876,19791348.7,2.09,1.61,0.017,17.45
71,2023-02-10,1.071,1.061,1.074,1.056,221732,23643473.404,1.68,-0.93,-0.01,20.82
72,2023-02-13,1.061,1.069,1.07,1.049,173402,18509480.349,1.98,0.75,0.008,16.28
73,2023-02-14,1.069,1.066,1.071,1.061,201582,21438351.762,0.94,-0.28,-0.003,18.92
74,2023-02-15,1.065,1.063,1.067,1.059,182759,19426224.813,0.75,-0.28,-0.003,17.16
75,2023-02-16,1.06,1.04,1.064,1.029,282743,29853493.286,3.29,-2.16,-0.023,26.54
76,2023-02-17,1.041,1.024,1.043,1.023,203139,20919905.962,1.92,-1.54,-0.016,19.07
77,2023-02-20,1.019,1.035,1.035,1.016,238362,24455405.889,1.86,1.07,0.011,22.38
78,2023-02-21,1.036,1.043,1.044,1.032,221531,23008790.229,1.16,0.77,0.008,20.8
79,2023-02-22,1.032,1.041,1.044,1.032,168942,17568054.412,1.15,-0.19,-0.002,15.86
80,2023-02-23,1.042,1.041,1.044,1.036,190702,19814662.456,0.77,0.0,0.0,17.9
81,2023-02-24,1.051,1.032,1.053,1.025,184258,18995510.5,2.69,-0.86,-0.009,17.3
82,2023-02-27,1.033,1.02,1.033,1.018,165901,16996782.9,1.45,-1.16,-0.012,15.57
83,2023-02-28,1.023,1.027,1.027,1.015,160641,16406958.462,1.18,0.69,0.007,15.08
84,2023-03-01,1.028,1.035,1.036,1.025,172424,17786371.6,1.07,0.78,0.008,16.19
85,2023-03-02,1.038,1.031,1.046,1.03,207804,21531446.77,1.55,-0.39,-0.004,19.51
86,2023-03-03,1.031,1.028,1.033,1.019,96839,9947462.727,1.36,-0.29,-0.003,9.09
87,2023-03-06,1.033,1.031,1.035,1.02,123288,12688701.5,1.46,0.29,0.003,11.57
88,2023-03-07,1.026,1.004,1.026,1.003,198714,20221923.7,2.23,-2.62,-0.027,18.66
89,2023-03-08,1.004,1.007,1.007,0.999,133599,13403762.4,0.8,0.3,0.003,12.54
90,2023-03-09,1.007,1.0,1.01,1.0,158342,15867813.1,0.99,-0.7,-0.007,14.87
91,2023-03-10,0.99,0.986,1.001,0.985,175167,17309901.24,1.6,-1.4,-0.014,16.44
92,2023-03-13,0.979,0.99,0.991,0.978,163862,16141773.681,1.32,0.41,0.004,15.38
93,2023-03-14,0.984,0.976,0.984,0.965,145469,14184700.1,1.92,-1.41,-0.014,13.66
94,2023-03-15,0.981,0.984,0.996,0.981,148190,14639921.9,1.54,0.82,0.008,13.91
95,2023-03-16,0.984,0.963,0.984,0.959,181572,17579148.6,2.54,-2.13,-0.021,17.05
96,2023-03-17,0.968,0.966,0.974,0.963,107628,10423033.4,1.14,0.31,0.003,10.1
97,2023-03-20,0.965,0.964,0.969,0.953,148361,14311684.3,1.66,-0.21,-0.002,13.93
98,2023-03-21,0.964,0.982,0.982,0.964,137999,13436438.4,1.87,1.87,0.018,12.96
99,2023-03-22,0.983,0.982,0.985,0.978,133258,13084723.0,0.71,0.0,0.0,12.51
100,2023-03-23,0.982,0.989,0.989,0.981,133889,13191384.388,0.81,0.71,0.007,12.57
101,2023-03-24,0.994,1.002,1.005,0.986,234573,23422858.2,1.92,1.31,0.013,22.02
102,2023-03-27,1.002,1.012,1.017,1.001,125175,12647718.6,1.6,1.0,0.01,11.75
103,2023-03-28,1.012,0.993,1.013,0.992,133862,13411997.421,2.08,-1.88,-0.019,12.57
104,2023-03-29,0.992,0.993,1.0,0.992,127896,12740509.0,0.81,0.0,0.0,12.01
105,2023-03-30,0.993,0.994,0.996,0.986,175180,17346705.3,1.01,0.1,0.001,16.45
106,2023-03-31,0.995,1.001,1.003,0.995,107740,10773936.9,0.8,0.7,0.007,10.11
107,2023-04-03,1.009,1.027,1.027,1.006,168234,17109394.32,2.1,2.6,0.026,15.79
108,2023-04-04,1.029,1.017,1.031,1.011,139729,14247692.3,1.95,-0.97,-0.01,13.12
109,2023-04-06,1.016,1.043,1.043,1.008,258727,26442884.721,3.44,2.56,0.026,24.29
110,2023-04-07,1.042,1.049,1.05,1.034,140165,14657610.746,1.53,0.58,0.006,13.16
111,2023-04-10,1.046,1.055,1.065,1.045,189761,20057963.304,1.91,0.57,0.006,17.82
112,2023-04-11,1.066,1.043,1.066,1.038,149407,15612454.736,2.65,-1.14,-0.012,14.03
113,2023-04-12,1.038,1.054,1.056,1.038,152083,15960974.956,1.73,1.05,0.011,14.28
