,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-05-09,0.989,0.989,1.003,0.984,1167917,115886403.173,0.0,0.0,0.0,267.22
1,2023-05-10,0.989,0.988,0.993,0.982,189973,18802241.743,1.11,-0.1,-0.001,43.47
2,2023-05-11,0.982,0.986,0.997,0.982,83844,8292537.975,1.52,-0.2,-0.002,19.18
3,2023-05-12,0.98,0.984,0.996,0.978,80721,7965588.322,1.83,-0.2,-0.002,18.47
4,2023-05-15,0.984,0.988,0.988,0.973,81464,8001266.696,1.52,0.41,0.004,18.64
5,2023-05-16,0.98,0.98,0.983,0.975,50120,4895804.066,0.81,-0.81,-0.008,11.47
6,2023-05-17,0.899,0.97,0.979,0.899,36832,3579609.275,8.16,-1.02,-0.01,8.43
7,2023-05-18,0.974,0.966,0.976,0.964,53323,5185637.052,1.24,-0.41,-0.004,12.2
8,2023-05-19,0.956,0.978,0.983,0.956,56658,5534718.237,2.8,1.24,0.012,12.96
9,2023-05-22,0.973,1.007,1.01,0.973,363520,36467848.588,3.78,2.97,0.029,83.17
10,2023-05-23,1.008,0.994,1.008,0.994,27500,2753810.863,1.39,-1.29,-0.013,6.29
11,2023-05-24,0.984,0.978,0.993,0.977,24796,2445915.137,1.61,-1.61,-0.016,5.67
12,2023-05-25,0.97,0.97,0.973,0.965,18369,1778009.103,0.82,-0.82,-0.008,4.2
13,2023-05-26,0.962,0.972,0.977,0.957,17686,1713382.732,2.06,0.21,0.002,4.05
14,2023-05-29,0.981,0.965,0.981,0.958,23187,2243850.758,2.37,-0.72,-0.007,5.31
15,2023-05-30,0.963,0.953,0.967,0.945,20019,1913487.024,2.28,-1.24,-0.012,4.58
16,2023-05-31,0.962,0.937,0.962,0.933,23037,2155547.28,3.04,-1.68,-0.016,5.27
17,2023-06-01,0.936,0.941,0.955,0.936,5640,534281.841,2.03,0.43,0.004,1.29
18,2023-06-02,0.938,0.963,0.965,0.938,15789,1518603.184,2.87,2.34,0.022,3.61
19,2023-06-05,0.963,0.953,0.963,0.95,11533,1098300.752,1.35,-1.04,-0.01,2.64
20,2023-06-06,0.953,0.955,0.964,0.951,27864,2666503.671,1.36,0.21,0.002,6.38
21,2023-06-07,0.955,0.948,0.962,0.948,19447,1863052.6,1.47,-0.73,-0.007,4.45
