,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-07-19,0.995,0.997,0.999,0.992,1093905,108947151.963,0.0,0.0,0.0,393.27
1,2023-07-20,0.997,0.993,1.004,0.991,628128,62853268.548,1.3,-0.4,-0.004,225.82
2,2023-07-21,0.99,0.995,0.998,0.987,127119,12627709.569,1.11,0.2,0.002,45.7
3,2023-07-24,0.986,0.988,0.994,0.983,33686,3321484.589,1.11,-0.7,-0.007,12.11
4,2023-07-25,0.99,1.014,1.014,0.99,772291,77727095.576,2.43,2.63,0.026,277.65
5,2023-07-26,1.011,1.012,1.014,1.007,107500,10856758.632,0.69,-0.2,-0.002,38.65
6,2023-07-27,1.01,1.01,1.016,1.005,137300,13918595.536,1.09,-0.2,-0.002,49.36
7,2023-07-28,1.0,1.028,1.03,1.0,92791,9481931.474,2.97,1.78,0.018,33.36
8,2023-07-31,1.028,1.036,1.044,1.027,103827,10759051.911,1.65,0.78,0.008,37.33
9,2023-08-01,1.036,1.03,1.037,1.026,54155,5587355.483,1.06,-0.58,-0.006,19.47
10,2023-08-02,1.026,1.023,1.033,1.02,23069,2364524.996,1.26,-0.68,-0.007,8.29
11,2023-08-03,1.022,1.029,1.03,1.022,31659,3251055.169,0.78,0.59,0.006,11.38
12,2023-08-04,1.036,1.034,1.042,1.032,19825,2058060.386,0.97,0.49,0.005,7.13
13,2023-08-07,1.027,1.025,1.03,1.022,28964,2968837.92,0.77,-0.87,-0.009,10.41
14,2023-08-08,1.021,1.025,1.029,1.021,7391,757884.021,0.78,0.0,0.0,2.66
15,2023-08-09,1.023,1.023,1.026,1.023,5410,553897.826,0.29,-0.2,-0.002,1.95
16,2023-08-10,1.013,1.022,1.025,1.0,36237,3686422.133,2.44,-0.1,-0.001,13.03
17,2023-08-11,1.022,1.002,1.022,1.002,64823,6532222.334,1.96,-1.96,-0.02,23.3
18,2023-08-14,0.995,0.994,0.995,0.983,8435,834482.402,1.2,-0.8,-0.008,3.03
19,2023-08-15,0.994,0.991,0.995,0.983,8990,890588.27,1.21,-0.3,-0.003,3.23
20,2023-08-16,0.987,0.983,0.992,0.979,26578,2614631.692,1.31,-0.81,-0.008,9.56
21,2023-08-17,0.978,0.988,0.988,0.978,32704,3214135.2,1.02,0.51,0.005,11.76
22,2023-08-18,0.987,0.977,0.987,0.977,5331,523465.064,1.01,-1.11,-0.011,1.92
23,2023-08-21,0.971,0.966,0.977,0.966,4489,436875.806,1.13,-1.13,-0.011,1.61
24,2023-08-22,0.964,0.971,0.974,0.959,2303,222356.0,1.55,0.52,0.005,0.83
25,2023-08-23,0.965,0.954,0.966,0.954,1509,145406.562,1.24,-1.75,-0.017,0.54
